scenario,world_gdp,mean_stability,price_energy,price_chips,mean_debt_gdp,defaults,shortages
earth_earth_bailout_or_contagion,-52.641999999999996,-0.0899999999999963,0.11280000000000001,0.08279999999999998,6.5,1.0,125
earth_earth_ban_fusion,-31.503800000000012,-2.3699999999999974,0.3882000000000001,0.08190000000000008,6.900000000000006,-1.0,88
earth_earth_chaos,-8.803600000000017,-4.039999999999999,0.1241000000000001,0.0,9.600000000000009,-1.0,32
earth_earth_chaos_if_nuke,-15.078000000000003,-4.390000000000001,0.14789999999999992,0.0,9.0,-1.0,65
earth_earth_financial_crisis,-56.74980000000001,-1.0399999999999991,0.2627999999999999,0.08279999999999998,9.600000000000009,2.0,148
earth_earth_financial_crisis_if_t6,-30.499500000000012,-0.4299999999999997,0.1645000000000001,0.08279999999999998,13.5,0.0,136
earth_earth_financial_crisis_if_t6_2,-28.320999999999998,0.5900000000000034,0.1721999999999999,0.08279999999999998,13.600000000000009,0.0,138
earth_earth_hormuz,-33.3767,-1.0600000000000023,0.3143,0.08489999999999998,2.0,0.0,162
earth_earth_hormuz_if_t1_ban,-32.269800000000004,-1.6899999999999977,0.35020000000000007,0.08679999999999999,1.4000000000000057,0.0,162
earth_earth_hormuz_if_t5,-31.47229999999999,0.5799999999999983,0.09000000000000008,0.08279999999999998,6.799999999999997,-1.0,104
earth_earth_taiwan,-19.90469999999999,-0.04999999999999716,0.009400000000000075,0.04469999999999996,-0.20000000000000284,0.0,75
earth_earth_triple_crisis,-53.9521,-1.2000000000000028,0.14900000000000002,0.10759999999999992,3.4000000000000057,0.0,261
earth_financial_crisis_rl_debtors,-56.7282,0.0,0.17300000000000004,0.08279999999999998,8.900000000000006,2.0,128
earth_financial_crisis_rl_debtors_dd,-56.7282,0.0,0.17300000000000004,0.08279999999999998,8.900000000000006,2.0,128
