policy,deterrence,seed,ticks,wars_started,first_war_tick,wars_with_nuclear_side,defaults,gdp_delta_pct,mean_unemployment
heuristic,expanded,0,72,85,14,0,1,0.3,10.02
heuristic,expanded,1,72,104,16,0,1,-0.35,10.6
heuristic,expanded,2,72,99,14,0,1,-0.13,9.67
heuristic,expanded,3,72,60,17,0,1,0.47,10.1
heuristic,expanded,4,72,83,15,0,1,-0.23,10.34
heuristic,expanded,5,72,85,14,0,1,0.4,9.66
heuristic,expanded,6,72,80,15,0,1,0.38,10.2
heuristic,expanded,7,72,102,15,0,1,0.09,9.85
heuristic,expanded,8,72,98,14,0,1,0.36,9.96
heuristic,expanded,9,72,98,14,0,1,0.31,10.1
