policy,deterrence,seed,ticks,wars_started,first_war_tick,wars_with_nuclear_side,defaults,gdp_delta_pct,mean_unemployment
heuristic,none,0,72,223,6,0,2,-5.98,8.56
heuristic,none,1,72,206,3,0,2,-4.34,8.2
heuristic,none,2,72,206,4,0,2,-4.46,8.94
heuristic,none,3,72,217,3,0,2,-6.82,8.79
heuristic,none,4,72,227,8,0,2,-5.82,8.25
heuristic,none,5,72,178,3,0,2,-4.29,8.97
heuristic,none,6,72,235,3,0,2,-7.19,8.33
heuristic,none,7,72,229,3,0,2,-8.14,8.18
heuristic,none,8,72,259,4,0,2,-7.06,8.29
heuristic,none,9,72,216,3,0,2,-5.52,8.32
