policy,deterrence,seed,ticks,wars_started,first_war_tick,wars_with_nuclear_side,defaults,gdp_delta_pct,mean_unemployment
heuristic,status,0,72,145,7,0,0,-2.76,10.33
heuristic,status,1,72,157,5,0,1,-3.56,10.65
heuristic,status,2,72,161,3,0,1,-1.66,10.0
heuristic,status,3,72,165,4,0,0,-1.99,9.73
heuristic,status,4,72,138,5,0,1,-4.01,10.91
heuristic,status,5,72,150,6,0,0,-3.45,10.33
heuristic,status,6,72,117,3,0,1,-2.18,10.4
heuristic,status,7,72,135,3,0,1,-1.55,11.14
heuristic,status,8,72,177,3,0,1,-2.67,9.96
heuristic,status,9,72,158,3,0,1,-2.43,10.15
