policy,deterrence,seed,ticks,wars_started,first_war_tick,wars_with_nuclear_side,defaults,gdp_delta_pct,mean_unemployment
rl,expanded,0,24,0,-1,0,1,77.92,7.51
rl,expanded,1,24,0,-1,0,0,80.08,7.17
rl,expanded,2,24,0,-1,0,1,80.14,7.34
rl,expanded,3,24,0,-1,0,0,80.72,7.15
rl,expanded,4,24,0,-1,0,1,78.36,7.55
rl,expanded,5,24,0,-1,0,0,81.43,7.15
rl,expanded,6,24,0,-1,0,1,77.89,7.52
rl,expanded,7,24,0,-1,0,0,80.19,7.16
rl,expanded,8,24,0,-1,0,1,79.49,7.46
rl,expanded,9,24,0,-1,0,0,80.48,7.13
