tick,base_world_gdp,base_mean_stability,base_wars,base_collapsed,base_price_energy,base_price_food,base_price_chips,base_mean_inflation,treat_world_gdp,treat_mean_stability,treat_wars,treat_collapsed,treat_price_energy,treat_price_food,treat_price_chips,treat_mean_inflation
0,29.5444,61.14,0,0,1.0,1.0,1.0,0.02,29.5444,61.14,0,0,1.0,1.0,1.0,0.02
1,30.8502,59.78,0,0,1.025,1.032,1.0,0.02616,30.8502,59.78,0,0,1.025,1.032,1.0,0.02616
2,32.1081,58.65,0,0,1.045,1.0576,1.0,0.03002,32.1081,58.65,0,0,1.045,1.0576,1.0,0.03002
3,33.3323,57.32,0,0,1.061,1.0781,1.0,0.03226,33.3323,57.32,0,0,1.061,1.0781,1.0,0.03226
4,34.5585,56.19,0,0,1.0738,1.0945,1.0,0.03337,34.5585,56.19,0,0,1.0738,1.0945,1.0,0.03337
5,35.7572,55.25,0,0,1.099,1.1316,1.0,0.03757,35.7572,55.25,0,0,1.099,1.1316,1.0,0.03757
6,36.9877,54.59,0,0,1.1042,1.1373,1.0,0.03598,36.6155,54.16,0,0,1.1681,1.1373,1.034,0.04396
7,38.186,54.05,0,0,1.1084,1.1418,1.0,0.03442,37.3235,52.93,0,0,1.2233,1.1418,1.0612,0.04723
8,39.4213,53.59,0,0,1.1117,1.1454,1.0,0.03293,38.0123,51.57,0,0,1.2803,1.1694,1.083,0.05183
9,40.6508,53.19,0,0,1.1294,1.1724,1.0,0.03524,38.7014,50.56,0,0,1.3258,1.1916,1.1004,0.05375
10,41.8343,52.82,0,0,1.1285,1.1699,1.0,0.03265,39.3343,49.77,0,0,1.3622,1.2092,1.1143,0.05391
11,43.0225,52.53,0,0,1.1278,1.1679,1.0,0.0305,39.9757,49.2,0,0,1.3914,1.2234,1.1254,0.05291
12,44.138,52.32,0,0,1.1422,1.1903,1.0,0.03238,40.6728,48.75,0,0,1.4147,1.2347,1.1343,0.05118
13,45.2891,52.23,0,0,1.1388,1.1843,1.0,0.02965,41.4286,48.41,0,0,1.4334,1.2438,1.1415,0.04904
14,46.4809,52.19,0,0,1.136,1.1794,1.0,0.0275,42.2426,48.22,0,0,1.4483,1.251,1.1472,0.0467
15,47.6613,52.12,0,0,1.1488,1.1995,1.0,0.02943,43.1125,48.19,0,0,1.4602,1.2568,1.1517,0.04429
16,48.8738,52.13,0,0,1.1441,1.1916,1.0,0.02686,44.0347,48.22,0,0,1.4698,1.2615,1.1554,0.04191
17,50.1235,52.18,0,0,1.1402,1.1853,1.0,0.02489,45.0053,48.25,0,0,1.4774,1.2652,1.1583,0.03963
18,51.3552,52.17,0,0,1.1522,1.2042,1.0,0.02702,46.02,48.33,0,0,1.4835,1.2681,1.1607,0.03749
19,52.6156,52.23,0,0,1.1468,1.1954,1.0,0.02466,47.0749,48.44,0,0,1.4884,1.2705,1.1625,0.03551
20,53.91,52.3,0,0,1.1424,1.1883,1.0,0.02291,48.1658,48.56,0,0,1.4923,1.2724,1.164,0.03369
21,55.1793,52.31,0,0,1.1539,1.2066,1.0,0.02523,49.2893,48.7,0,0,1.4955,1.2739,1.1652,0.03205
22,56.4751,52.37,0,0,1.1481,1.1973,1.0,0.02307,50.4417,48.83,0,0,1.498,1.2751,1.1662,0.03057
23,57.8026,52.44,0,0,1.1435,1.1899,1.0,0.0215,51.6201,48.97,0,0,1.5,1.2761,1.1669,0.02924
24,59.0983,52.45,0,0,1.1548,1.2079,1.0,0.02398,52.8216,49.1,0,0,1.5016,1.2769,1.1676,0.02806
25,60.4195,52.5,0,0,1.1488,1.1983,1.0,0.02197,54.0435,49.23,0,0,1.5029,1.2775,1.168,0.02702
26,61.7711,52.58,0,0,1.1441,1.1906,1.0,0.02053,55.2835,49.35,0,0,1.5039,1.278,1.1684,0.0261
27,63.144,52.65,0,0,1.1403,1.1845,1.0,0.01954,56.5397,49.45,0,0,1.5047,1.2784,1.1687,0.02529
28,64.4697,52.59,0,0,1.1522,1.2036,1.0,0.02248,57.81,49.55,0,0,1.5054,1.2787,1.169,0.02458
29,65.8163,52.63,0,0,1.1468,1.1949,1.0,0.02082,59.0928,49.64,0,0,1.5059,1.279,1.1692,0.02396
30,67.1895,52.69,0,0,1.1424,1.1879,1.0,0.01965,60.3866,49.69,0,0,1.5063,1.2792,1.1694,0.02342
31,68.5144,52.58,0,0,1.1539,1.2063,1.0,0.02247,61.6901,49.74,0,0,1.5067,1.2793,1.1695,0.02295
32,69.8644,52.63,0,0,1.1481,1.1971,1.0,0.02073,63.0022,49.79,0,0,1.5069,1.2795,1.1696,0.02254
33,71.244,52.69,0,0,1.1435,1.1897,1.0,0.01951,64.3216,49.83,0,0,1.5071,1.2796,1.1697,0.02219
34,72.5721,52.58,0,0,1.1548,1.2077,1.0,0.0223,65.6477,49.87,0,0,1.5073,1.2797,1.1697,0.02188
35,73.9282,52.64,0,0,1.1489,1.1982,1.0,0.02054,66.9794,49.91,0,0,1.5074,1.2797,1.1698,0.02162
