tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation
0,29.5444,61.14,0,0,1.0,1.0,1.0,0.02
1,30.8502,59.78,0,0,1.025,1.032,1.0,0.02616
2,32.1081,58.65,0,0,1.045,1.0576,1.0,0.03002
3,33.3323,57.32,0,0,1.061,1.0781,1.0,0.03226
4,34.5585,56.19,0,0,1.0738,1.0945,1.0,0.03337
5,35.7572,55.25,0,0,1.099,1.1316,1.0,0.03757
6,36.9877,54.59,0,0,1.1042,1.1373,1.0,0.03598
7,38.186,54.05,0,0,1.1084,1.1418,1.0,0.03442
8,39.4213,53.59,0,0,1.1117,1.1454,1.0,0.03293
9,40.6508,53.19,0,0,1.1294,1.1724,1.0,0.03524
10,41.8343,52.82,0,0,1.1285,1.1699,1.0,0.03265
11,43.0225,52.53,0,0,1.1278,1.1679,1.0,0.0305
12,44.138,52.32,0,0,1.1422,1.1903,1.0,0.03238
13,45.2891,52.23,0,0,1.1388,1.1843,1.0,0.02965
14,46.4809,52.19,0,0,1.136,1.1794,1.0,0.0275
15,47.6613,52.12,0,0,1.1488,1.1995,1.0,0.02943
16,48.8738,52.13,0,0,1.1441,1.1916,1.0,0.02686
17,50.1235,52.18,0,0,1.1402,1.1853,1.0,0.02489
18,51.3552,52.17,0,0,1.1522,1.2042,1.0,0.02702
19,52.6156,52.23,0,0,1.1468,1.1954,1.0,0.02466
20,53.91,52.3,0,0,1.1424,1.1883,1.0,0.02291
21,55.1793,52.31,0,0,1.1539,1.2066,1.0,0.02523
22,56.4751,52.37,0,0,1.1481,1.1973,1.0,0.02307
23,57.8026,52.44,0,0,1.1435,1.1899,1.0,0.0215
24,59.0983,52.45,0,0,1.1548,1.2079,1.0,0.02398
25,60.4195,52.5,0,0,1.1488,1.1983,1.0,0.02197
26,61.7711,52.58,0,0,1.1441,1.1906,1.0,0.02053
27,63.144,52.65,0,0,1.1403,1.1845,1.0,0.01954
28,64.4697,52.59,0,0,1.1522,1.2036,1.0,0.02248
29,65.8163,52.63,0,0,1.1468,1.1949,1.0,0.02082
30,67.1895,52.69,0,0,1.1424,1.1879,1.0,0.01965
31,68.5144,52.58,0,0,1.1539,1.2063,1.0,0.02247
32,69.8644,52.63,0,0,1.1481,1.1971,1.0,0.02073
33,71.244,52.69,0,0,1.1435,1.1897,1.0,0.01951
34,72.5721,52.58,0,0,1.1548,1.2077,1.0,0.0223
35,73.9282,52.64,0,0,1.1489,1.1982,1.0,0.02054
