tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation
0,29.5444,61.14,0,0,1.0,1.0,1.0,0.02
1,30.8502,59.78,0,0,1.025,1.032,1.0,0.02616
2,32.1081,58.65,0,0,1.045,1.0576,1.0,0.03002
3,33.3323,57.32,0,0,1.061,1.0781,1.0,0.03226
4,34.5585,56.19,0,0,1.0738,1.0945,1.0,0.03337
5,35.7572,55.25,0,0,1.099,1.1316,1.0,0.03757
6,36.6155,54.16,0,0,1.1681,1.1373,1.034,0.04396
7,37.3235,52.93,0,0,1.2233,1.1418,1.0612,0.04723
8,38.0123,51.57,0,0,1.2803,1.1694,1.083,0.05183
9,38.7014,50.56,0,0,1.3258,1.1916,1.1004,0.05375
10,39.3343,49.77,0,0,1.3622,1.2092,1.1143,0.05391
11,39.9757,49.2,0,0,1.3914,1.2234,1.1254,0.05291
12,40.6728,48.75,0,0,1.4147,1.2347,1.1343,0.05118
13,41.4286,48.41,0,0,1.4334,1.2438,1.1415,0.04904
14,42.2426,48.22,0,0,1.4483,1.251,1.1472,0.0467
15,43.1125,48.19,0,0,1.4602,1.2568,1.1517,0.04429
16,44.0347,48.22,0,0,1.4698,1.2615,1.1554,0.04191
17,45.0053,48.25,0,0,1.4774,1.2652,1.1583,0.03963
18,46.02,48.33,0,0,1.4835,1.2681,1.1607,0.03749
19,47.0749,48.44,0,0,1.4884,1.2705,1.1625,0.03551
20,48.1658,48.56,0,0,1.4923,1.2724,1.164,0.03369
21,49.2893,48.7,0,0,1.4955,1.2739,1.1652,0.03205
22,50.4417,48.83,0,0,1.498,1.2751,1.1662,0.03057
23,51.6201,48.97,0,0,1.5,1.2761,1.1669,0.02924
24,52.8216,49.1,0,0,1.5016,1.2769,1.1676,0.02806
25,54.0435,49.23,0,0,1.5029,1.2775,1.168,0.02702
26,55.2835,49.35,0,0,1.5039,1.278,1.1684,0.0261
27,56.5397,49.45,0,0,1.5047,1.2784,1.1687,0.02529
28,57.81,49.55,0,0,1.5054,1.2787,1.169,0.02458
29,59.0928,49.64,0,0,1.5059,1.279,1.1692,0.02396
30,60.3866,49.69,0,0,1.5063,1.2792,1.1694,0.02342
31,61.6901,49.74,0,0,1.5067,1.2793,1.1695,0.02295
32,63.0022,49.79,0,0,1.5069,1.2795,1.1696,0.02254
33,64.3216,49.83,0,0,1.5071,1.2796,1.1697,0.02219
34,65.6477,49.87,0,0,1.5073,1.2797,1.1697,0.02188
35,66.9794,49.91,0,0,1.5074,1.2797,1.1698,0.02162
