tick,base_world_gdp,base_mean_stability,base_wars,base_collapsed,base_price_energy,base_price_food,base_price_chips,base_mean_inflation,base_mean_debt_gdp,base_defaults,treat_world_gdp,treat_mean_stability,treat_wars,treat_collapsed,treat_price_energy,treat_price_food,treat_price_chips,treat_mean_inflation,treat_mean_debt_gdp,treat_defaults
0,88.2854,58.63,0,0,1.0,1.0,1.0,0.02,78.3,0,88.2854,58.63,0,0,1.0,1.0,1.0,0.02,78.3,0
1,91.2148,58.06,0,0,1.0,1.0,1.0,0.02,78.8,0,91.2148,58.06,0,0,1.0,1.0,1.0,0.02,78.8,0
2,94.2168,57.15,0,0,1.0,1.0,1.0,0.02,79.4,0,94.2168,57.15,0,0,1.0,1.0,1.0,0.02,79.4,0
3,97.1924,56.28,0,0,1.0,1.0,1.0,0.02,80.0,0,97.1924,56.28,0,0,1.0,1.0,1.0,0.02,80.0,0
4,100.1931,55.55,0,0,1.0,1.0,1.0,0.02,80.5,0,100.1931,55.55,0,0,1.0,1.0,1.0,0.02,80.5,0
5,103.2192,54.86,0,0,1.0,1.0,1.0,0.02,81.1,0,103.2192,54.86,0,0,1.0,1.0,1.0,0.02,81.1,0
6,106.2709,54.29,0,0,1.0,1.0,1.0,0.02,81.6,0,104.6501,53.83,0,0,1.0924,1.0,1.0166,0.03432,81.6,0
7,109.3007,53.86,0,0,1.0,1.0,1.0,0.02,82.2,0,104.8819,52.35,0,0,1.1664,1.0,1.0298,0.05224,74.0,1
8,112.353,53.48,0,0,1.0,1.0,1.0,0.02,82.7,0,105.0282,51.22,0,0,1.2255,1.0,1.0404,0.05554,74.8,1
9,115.4282,53.18,0,0,1.0,1.0,1.0,0.02,83.2,0,105.2231,50.33,0,0,1.278,1.0,1.0489,0.05692,75.5,1
10,118.4874,52.95,0,0,1.0,1.0,1.0,0.02,83.7,0,105.4914,49.72,0,0,1.3218,1.0,1.0557,0.05675,76.7,1
11,121.5697,52.63,0,0,1.0,1.0,1.0,0.02,84.3,0,105.8956,49.17,0,0,1.3569,1.0,1.0611,0.05541,78.0,1
12,124.5922,52.39,0,0,1.0,1.0,1.0,0.02,84.8,0,106.1064,48.25,0,0,1.385,1.0,1.0655,0.06275,76.1,2
