tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults
0,88.2854,58.63,0,0,1.0,1.0,1.0,0.02,78.3,0
1,91.2148,58.06,0,0,1.0,1.0,1.0,0.02,78.8,0
2,94.2168,57.15,0,0,1.0,1.0,1.0,0.02,79.4,0
3,97.1924,56.28,0,0,1.0,1.0,1.0,0.02,80.0,0
4,100.1931,55.55,0,0,1.0,1.0,1.0,0.02,80.5,0
5,103.2192,54.86,0,0,1.0,1.0,1.0,0.02,81.1,0
6,106.2709,54.29,0,0,1.0,1.0,1.0,0.02,81.6,0
7,109.3007,53.86,0,0,1.0,1.0,1.0,0.02,82.2,0
8,112.353,53.48,0,0,1.0,1.0,1.0,0.02,82.7,0
9,115.4282,53.18,0,0,1.0,1.0,1.0,0.02,83.2,0
10,118.4874,52.95,0,0,1.0,1.0,1.0,0.02,83.7,0
11,121.5697,52.63,0,0,1.0,1.0,1.0,0.02,84.3,0
12,124.5922,52.39,0,0,1.0,1.0,1.0,0.02,84.8,0
13,127.6322,52.18,0,0,1.0,1.0,1.0,0.02,85.3,0
14,130.69,51.98,0,0,1.0,1.0,1.0,0.02,85.8,0
15,133.7657,51.87,0,0,1.0,1.0,1.0,0.02,86.3,0
16,136.8595,51.8,0,0,1.0,1.0,1.0,0.02,86.8,0
17,139.9718,51.8,0,0,1.0,1.0,1.0,0.02,87.3,0
18,143.1026,51.8,0,0,1.0,1.0,1.0,0.02,87.8,0
19,146.2521,51.81,0,0,1.0,1.0,1.0,0.02,88.3,0
20,149.4207,51.81,0,0,1.0,1.0,1.0,0.02,88.8,0
21,152.5509,51.82,0,0,1.0,1.0,1.0,0.02,89.3,0
22,155.5872,51.84,0,0,1.0,1.0,1.0,0.02,89.8,0
23,158.5856,51.87,0,0,1.0,1.0,1.0,0.02,90.2,0
24,160.5465,51.44,0,0,1.0,1.0,1.0,0.02937,81.5,1
25,162.8969,51.48,0,0,1.0,1.0,1.0,0.02797,82.1,1
26,165.46,51.53,0,0,1.0,1.0,1.0,0.02677,82.7,1
27,167.9892,51.61,0,0,1.0,1.0,1.0,0.02576,83.2,1
28,170.5603,51.68,0,0,1.0,1.0,1.0,0.02489,83.7,1
29,173.3013,51.76,0,0,1.0,1.0,1.0,0.02416,84.2,1
30,175.9148,51.83,0,0,1.0,1.0,1.0,0.02354,84.7,1
31,178.6851,51.87,0,0,1.0,1.0,1.0,0.02301,85.2,1
32,181.3388,51.94,0,0,1.0,1.0,1.0,0.02255,85.6,1
33,183.9737,52.0,0,0,1.0,1.0,1.0,0.02217,86.0,1
34,186.622,52.15,0,0,1.0,1.0,1.0,0.02185,86.5,1
35,189.204,52.26,0,0,1.0,1.0,1.0,0.02157,86.9,1
