tick,base_world_gdp,base_mean_stability,base_wars,base_collapsed,base_price_energy,base_price_food,base_price_chips,base_mean_inflation,treat_world_gdp,treat_mean_stability,treat_wars,treat_collapsed,treat_price_energy,treat_price_food,treat_price_chips,treat_mean_inflation
0,87.8072,58.63,0,0,1.0,1.0,1.0,0.02,87.8072,58.63,0,0,1.0,1.0,1.0,0.02
1,90.1598,58.06,0,0,1.0,1.0,1.0,0.02,90.1598,58.06,0,0,1.0,1.0,1.0,0.02
2,92.5617,57.15,0,0,1.0,1.0,1.0,0.02,92.5617,57.15,0,0,1.0,1.0,1.0,0.02
3,94.935,56.28,0,0,1.0,1.0,1.0,0.02,94.935,56.28,0,0,1.0,1.0,1.0,0.02
4,97.3288,55.55,0,0,1.0,1.0,1.0,0.02,97.3288,55.55,0,0,1.0,1.0,1.0,0.02
5,99.7434,54.9,0,0,1.0,1.0,1.0,0.02,99.7434,54.9,0,0,1.0,1.0,1.0,0.02
6,102.1789,54.38,0,0,1.0,1.0,1.0,0.02,100.855,53.99,0,0,1.0924,1.0,1.0166,0.03121
7,104.5894,53.99,0,0,1.0,1.0,1.0,0.02,101.4369,53.16,0,0,1.1664,1.0,1.0298,0.0378
8,107.018,53.71,0,0,1.0,1.0,1.0,0.02,101.8011,52.4,0,0,1.2255,1.0,1.0404,0.04137
9,109.4648,53.49,0,0,1.0,1.0,1.0,0.02,102.1418,51.78,0,0,1.278,1.0,1.0489,0.04339
10,111.891,53.33,0,0,1.0,1.0,1.0,0.02,102.4829,51.29,0,0,1.3218,1.0,1.0557,0.04407
11,114.3357,53.2,0,0,1.0,1.0,1.0,0.02,102.8996,50.88,0,0,1.3569,1.0,1.0611,0.04371
12,116.7158,53.09,0,0,1.0,1.0,1.0,0.02,103.4306,50.57,0,0,1.385,1.0,1.0655,0.04269
13,119.1087,53.01,0,0,1.0,1.0,1.0,0.02,104.0946,50.37,0,0,1.4074,1.0,1.069,0.04128
14,121.5145,52.94,0,0,1.0,1.0,1.0,0.02,104.8979,50.23,0,0,1.4254,1.0,1.0718,0.03966
15,123.9335,52.89,0,0,1.0,1.0,1.0,0.02,105.8394,50.14,0,0,1.4398,1.0,1.074,0.03795
16,126.3657,52.86,0,0,1.0,1.0,1.0,0.02,106.9133,50.11,0,0,1.4513,1.0,1.0758,0.03624
17,128.8113,52.83,0,0,1.0,1.0,1.0,0.02,107.8771,50.04,0,0,1.4605,1.0,1.1056,0.03657
18,131.2705,52.81,0,0,1.0,1.0,1.0,0.02,108.8285,49.92,0,0,1.4678,1.0,1.1295,0.03625
19,133.7434,52.79,0,0,1.0,1.0,1.0,0.02,109.8114,49.83,0,0,1.4737,1.0,1.1486,0.03551
20,136.2303,52.78,0,0,1.0,1.0,1.0,0.02,110.8535,49.78,0,0,1.4784,1.0,1.1639,0.03453
21,138.8269,52.77,0,0,1.0,1.0,1.0,0.02,111.9712,49.78,0,0,1.4822,1.0,1.1761,0.03341
22,141.3425,52.76,0,0,1.0,1.0,1.0,0.02,113.1733,49.8,0,0,1.4852,1.0,1.1859,0.03224
23,143.9681,52.75,0,0,1.0,1.0,1.0,0.02,114.4631,49.85,0,0,1.4876,1.0,1.1937,0.03108
24,146.513,52.73,0,0,1.0,1.0,1.0,0.02,115.8406,49.89,0,0,1.4895,1.0,1.2,0.02995
25,149.0726,52.71,0,0,1.0,1.0,1.0,0.02,117.3036,49.95,0,0,1.4911,1.0,1.205,0.02888
26,151.7429,52.69,0,0,1.0,1.0,1.0,0.02,118.8483,50.01,0,0,1.4923,1.0,1.209,0.02789
27,154.3329,52.66,0,0,1.0,1.0,1.0,0.02,120.4704,50.07,0,0,1.4933,1.0,1.2122,0.02697
28,156.9383,52.64,0,0,1.0,1.0,1.0,0.02,122.165,50.13,0,0,1.4941,1.0,1.2148,0.02614
29,159.6549,52.63,0,0,1.0,1.0,1.0,0.02,123.9272,50.2,0,0,1.4947,1.0,1.2168,0.02539
30,162.2917,52.61,0,0,1.0,1.0,1.0,0.02,125.7522,50.27,0,0,1.4952,1.0,1.2185,0.02472
31,165.0402,52.61,0,0,1.0,1.0,1.0,0.02,127.6353,50.33,0,0,1.4956,1.0,1.2198,0.02412
32,167.7093,52.6,0,0,1.0,1.0,1.0,0.02,129.5722,50.4,0,0,1.496,1.0,1.2208,0.02359
33,170.3946,52.59,0,0,1.0,1.0,1.0,0.02,131.5588,50.45,0,0,1.4962,1.0,1.2217,0.02313
34,173.1922,52.59,0,0,1.0,1.0,1.0,0.02,133.5914,50.51,0,0,1.4964,1.0,1.2224,0.02271
35,175.911,52.59,0,0,1.0,1.0,1.0,0.02,135.6666,50.56,0,0,1.4966,1.0,1.2229,0.02235
