tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation
0,87.8072,58.63,0,0,1.0,1.0,1.0,0.02
1,90.1598,58.06,0,0,1.0,1.0,1.0,0.02
2,92.5617,57.15,0,0,1.0,1.0,1.0,0.02
3,94.935,56.28,0,0,1.0,1.0,1.0,0.02
4,97.3288,55.55,0,0,1.0,1.0,1.0,0.02
5,99.7434,54.9,0,0,1.0,1.0,1.0,0.02
6,100.855,53.99,0,0,1.0924,1.0,1.0166,0.03121
7,101.4369,53.16,0,0,1.1664,1.0,1.0298,0.0378
8,101.8011,52.4,0,0,1.2255,1.0,1.0404,0.04137
9,102.1418,51.78,0,0,1.278,1.0,1.0489,0.04339
10,102.4829,51.29,0,0,1.3218,1.0,1.0557,0.04407
11,102.8996,50.88,0,0,1.3569,1.0,1.0611,0.04371
12,103.4306,50.57,0,0,1.385,1.0,1.0655,0.04269
13,104.0946,50.37,0,0,1.4074,1.0,1.069,0.04128
14,104.8979,50.23,0,0,1.4254,1.0,1.0718,0.03966
15,105.8394,50.14,0,0,1.4398,1.0,1.074,0.03795
16,106.9133,50.11,0,0,1.4513,1.0,1.0758,0.03624
17,107.8771,50.04,0,0,1.4605,1.0,1.1056,0.03657
18,108.8285,49.92,0,0,1.4678,1.0,1.1295,0.03625
19,109.8114,49.83,0,0,1.4737,1.0,1.1486,0.03551
20,110.8535,49.78,0,0,1.4784,1.0,1.1639,0.03453
21,111.9712,49.78,0,0,1.4822,1.0,1.1761,0.03341
22,113.1733,49.8,0,0,1.4852,1.0,1.1859,0.03224
23,114.4631,49.85,0,0,1.4876,1.0,1.1937,0.03108
24,115.8406,49.89,0,0,1.4895,1.0,1.2,0.02995
25,117.3036,49.95,0,0,1.4911,1.0,1.205,0.02888
26,118.8483,50.01,0,0,1.4923,1.0,1.209,0.02789
27,120.4704,50.07,0,0,1.4933,1.0,1.2122,0.02697
28,122.165,50.13,0,0,1.4941,1.0,1.2148,0.02614
29,123.9272,50.2,0,0,1.4947,1.0,1.2168,0.02539
30,125.7522,50.27,0,0,1.4952,1.0,1.2185,0.02472
31,127.6353,50.33,0,0,1.4956,1.0,1.2198,0.02412
32,129.5722,50.4,0,0,1.496,1.0,1.2208,0.02359
33,131.5588,50.45,0,0,1.4962,1.0,1.2217,0.02313
34,133.5914,50.51,0,0,1.4964,1.0,1.2224,0.02271
35,135.6666,50.56,0,0,1.4966,1.0,1.2229,0.02235
