tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation
0,29.954,61.75,0,0,1.0,1.0,1.0,0.02
1,32.1094,60.4,0,0,1.0,1.0,1.0,0.02
2,34.2459,59.4,0,0,1.0,1.0,1.0,0.02
3,36.2908,58.64,0,0,1.0,1.0,1.0,0.02
4,38.3523,58.09,0,0,1.0,1.0,1.0,0.02
5,40.249,57.67,0,0,1.0,1.0,1.0,0.02
6,42.1612,57.36,0,0,1.0,1.0,1.0,0.02
7,44.0888,57.13,0,0,1.0,1.0,1.0,0.02
8,46.0321,56.95,0,0,1.0,1.0,1.0,0.02
9,47.9911,56.82,0,0,1.0,1.0,1.0,0.02
10,49.9661,56.72,0,0,1.0,1.0,1.0,0.02
11,51.957,56.65,0,0,1.0,1.0,1.0,0.02
12,53.9641,56.59,0,0,1.0,1.0,1.0,0.02
13,55.9875,56.55,0,0,1.0,1.0,1.0,0.02
14,58.0273,56.52,0,0,1.0,1.0,1.0,0.02
15,60.0837,56.49,0,0,1.0,1.0,1.0,0.02
16,62.1567,56.48,0,0,1.0,1.0,1.0,0.02
17,64.2466,56.46,0,0,1.0,1.0,1.0,0.02
18,66.3534,56.45,0,0,1.0,1.0,1.0,0.02
19,68.4774,56.45,0,0,1.0,1.0,1.0,0.02
20,70.6185,56.44,0,0,1.0,1.0,1.0,0.02
21,72.7771,56.44,0,0,1.0,1.0,1.0,0.02
22,74.9531,56.43,0,0,1.0,1.0,1.0,0.02
23,77.1469,56.43,0,0,1.0,1.0,1.0,0.02
24,79.3584,56.43,0,0,1.0,1.0,1.0,0.02
25,81.5879,56.43,0,0,1.0,1.0,1.0,0.02
26,83.8355,56.43,0,0,1.0,1.0,1.0,0.02
27,86.1014,56.43,0,0,1.0,1.0,1.0,0.02
28,88.3856,56.42,0,0,1.0,1.0,1.0,0.02
29,90.6884,56.42,0,0,1.0,1.0,1.0,0.02
30,93.0099,56.42,0,0,1.0,1.0,1.0,0.02
31,95.3503,56.42,0,0,1.0,1.0,1.0,0.02
32,97.7096,56.42,0,0,1.0,1.0,1.0,0.02
33,100.0882,56.42,0,0,1.0,1.0,1.0,0.02
34,102.486,56.42,0,0,1.0,1.0,1.0,0.02
35,104.9033,56.42,0,0,1.0,1.0,1.0,0.02
