tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation
0,29.5444,61.14,0,0,1.0,1.0,1.0,0.02
1,30.8502,59.78,0,0,1.025,1.032,1.0,0.02616
2,32.1081,58.65,0,0,1.045,1.0576,1.0,0.03002
3,33.3323,57.32,0,0,1.061,1.0781,1.0,0.03226
4,34.5585,56.19,0,0,1.0738,1.0945,1.0,0.03337
5,35.3551,54.98,0,0,1.099,1.1995,1.0,0.04435
6,36.1043,53.88,0,0,1.1042,1.2595,1.0,0.04667
7,36.7919,52.62,0,0,1.1084,1.3075,1.0,0.04724
8,37.505,51.66,0,0,1.1117,1.3459,1.0,0.04669
9,38.2261,50.23,0,0,1.1294,1.4006,1.0,0.04882
10,38.9077,49.4,0,0,1.1285,1.4204,1.0,0.04596
11,39.6124,48.72,0,0,1.1278,1.4362,1.0,0.04322
12,40.2818,48.03,0,0,1.1422,1.4729,1.0,0.04389
13,40.9985,47.86,0,0,1.1388,1.4782,1.0,0.04038
14,41.7748,47.79,0,0,1.136,1.4825,1.0,0.03738
15,42.5767,47.46,0,0,1.1488,1.5099,1.0,0.03799
16,43.4176,47.57,0,0,1.1441,1.5078,1.0,0.0347
17,44.3094,47.7,0,0,1.1402,1.5061,1.0,0.03202
18,45.2175,47.52,0,0,1.1522,1.5288,1.0,0.03298
19,46.1554,47.73,0,0,1.1468,1.5229,1.0,0.03011
20,47.1357,47.93,0,0,1.1424,1.5183,1.0,0.02785
21,48.1228,47.79,0,0,1.1539,1.5385,1.0,0.02921
22,49.1323,48.01,0,0,1.1481,1.5307,1.0,0.02674
23,50.1777,48.22,0,0,1.1435,1.5245,1.0,0.02485
24,51.2211,48.07,0,0,1.1548,1.5435,1.0,0.02654
25,52.2821,48.28,0,0,1.1488,1.5347,1.0,0.02439
26,53.3744,48.48,0,0,1.1441,1.5276,1.0,0.02279
27,54.4901,48.65,0,0,1.1403,1.522,1.0,0.02161
28,55.5887,48.41,0,0,1.1522,1.5415,1.0,0.02388
29,56.6978,48.59,0,0,1.1468,1.5331,1.0,0.0222
30,57.8321,48.75,0,0,1.1424,1.5264,1.0,0.02099
31,58.9466,48.46,0,0,1.1539,1.545,1.0,0.02325
32,60.0727,48.64,0,0,1.1481,1.5359,1.0,0.02158
33,61.2246,48.8,0,0,1.1435,1.5286,1.0,0.0204
34,62.3529,48.51,0,0,1.1548,1.5468,1.0,0.02269
35,63.4936,48.7,0,0,1.1489,1.5373,1.0,0.02107
