tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,116.5612,51.81,0,0,1.0,1.0,1.0,0.02085,64.7,1,6.35,110.1
1,116.4696,51.89,0,0,1.0,1.1771,1.0,0.0294,65.3,1,6.12,220.2
2,116.3731,51.72,0,0,1.0,1.2291,1.0,0.03922,66.0,1,6.17,330.3
3,116.2773,51.62,0,0,1.0,1.2297,1.0,0.03853,66.6,1,6.2,440.4
4,116.1832,51.63,0,0,1.0,1.2303,1.0,0.0358,67.2,1,6.17,550.5
5,116.2798,51.7,0,0,1.0,1.231,1.0,0.03348,67.9,1,6.09,660.6
6,116.3775,51.82,0,0,1.0,1.2316,1.0,0.0315,68.5,1,5.99,770.7
7,116.6662,51.95,0,0,1.0,1.2322,1.0,0.02983,69.1,1,5.87,880.7
8,116.9563,52.09,0,0,1.0,1.2328,1.0,0.0284,69.7,1,5.75,990.8
9,117.2478,52.22,0,0,1.0,1.2333,1.0,0.02719,70.3,1,5.63,1100.9
10,117.5406,52.33,0,0,1.0,1.234,1.0,0.02616,70.9,1,5.52,1211.0
11,117.8176,52.19,0,0,1.0348,1.2959,1.034,0.03439,71.4,1,5.61,1321.1
12,118.07,51.72,0,0,1.0773,1.3678,1.0711,0.04941,72.1,1,5.99,1431.2
13,117.716,51.21,0,0,1.0791,1.3709,1.0628,0.05398,71.2,2,6.37,1541.3
14,117.9642,50.86,0,0,1.1118,1.4321,1.0456,0.05324,71.9,2,6.66,1651.4
15,118.2256,50.71,0,0,1.0955,1.4241,1.0307,0.04859,72.5,2,6.79,1761.5
16,118.5069,50.86,0,0,1.0885,1.4174,1.0308,0.03937,73.0,2,6.69,1871.6
17,118.7994,51.14,0,0,1.0886,1.3783,1.0231,0.03282,73.6,2,6.48,1981.7
18,118.5197,51.51,0,0,1.0765,1.3262,1.0116,0.02611,73.3,3,6.16,2091.8
19,118.802,52.01,0,0,1.0683,1.2736,1.0079,0.01857,73.9,3,5.76,2201.9
20,119.094,52.49,0,0,1.0734,1.2595,1.008,0.01498,74.4,3,5.38,2312.0
21,119.3926,52.88,0,0,1.0562,1.2551,1.008,0.01368,74.9,3,5.06,2419.7
22,119.6965,53.23,0,0,1.0437,1.2325,1.008,0.01162,75.5,3,4.78,2523.2
23,119.9968,53.44,0,0,1.0648,1.2482,1.0079,0.01365,76.0,3,4.6,2621.0
24,120.2987,53.61,0,0,1.0449,1.2121,1.0081,0.01386,76.5,3,4.47,2714.0
25,120.5925,53.75,0,0,1.049,1.2432,1.008,0.01347,77.0,3,4.36,2803.1
26,120.2743,53.81,0,0,1.0153,1.2274,1.0096,0.01481,76.6,4,4.29,2890.2
27,120.5663,53.99,0,0,1.0169,1.1654,1.0081,0.01067,77.1,4,4.16,2974.0
28,120.8611,54.14,0,0,1.0005,1.198,1.0098,0.01014,77.6,4,4.06,3055.2
29,121.1542,54.26,0,0,1.0006,1.1643,1.008,0.011,78.1,4,3.99,3135.6
30,120.2304,54.34,0,0,1.0007,1.1032,1.0083,0.00932,77.5,6,3.87,3213.3
31,120.5255,54.5,0,0,1.0008,1.1084,1.004,0.00755,78.1,6,3.78,3289.3
32,120.8139,54.56,0,0,1.001,1.1216,1.0082,0.01026,78.6,6,3.76,3363.4
33,121.0999,54.59,0,0,1.0011,1.0929,1.0084,0.01131,79.1,6,3.78,3436.5
34,120.7784,54.58,0,0,1.0012,1.0827,1.0041,0.01151,78.9,7,3.77,3508.8
35,120.4766,54.56,0,0,1.0015,1.0646,1.0084,0.01238,78.9,8,3.79,3581.0
36,120.7271,54.56,0,0,1.0018,1.0647,1.0084,0.013,79.4,8,3.83,3653.1
37,120.9778,54.54,0,0,1.0019,1.0647,1.0084,0.01407,80.0,8,3.89,3725.3
38,121.232,54.52,0,0,1.0021,1.0518,1.0084,0.01438,80.5,8,3.94,3796.5
