tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,117.1583,51.87,0,0,1.0,1.0,1.0,0.02016,68.7,0,6.34,110.1,0
1,116.4701,51.99,0,0,1.0,1.1769,1.0,0.02733,66.7,1,6.03,220.2,0
2,116.3739,51.94,0,0,1.0,1.2287,1.0,0.03443,67.3,1,5.99,330.3,0
3,116.2774,51.93,0,0,1.0,1.2291,1.0,0.03402,67.8,1,5.95,440.4,0
4,116.1814,51.97,0,0,1.0,1.2295,1.0,0.03214,68.4,1,5.88,550.5,0
5,116.275,52.06,0,0,1.0,1.2299,1.0,0.03055,68.9,1,5.78,660.6,0
6,116.3688,52.17,0,0,1.0,1.2303,1.0,0.02921,69.4,1,5.68,770.7,0
7,116.6488,52.27,0,0,1.0,1.2307,1.0,0.02808,69.9,1,5.58,880.7,0
8,116.9261,52.38,0,0,1.0,1.2311,1.0,0.02711,70.5,1,5.48,990.8,0
9,117.2013,52.48,0,0,1.0,1.2315,1.0,0.0263,71.0,1,5.39,1100.9,0
10,117.4749,52.56,0,0,1.0,1.2319,1.0,0.02561,71.5,1,5.3,1211.0,0
11,117.7348,52.46,0,0,1.0347,1.2937,1.0369,0.03135,72.0,1,5.35,1321.1,0
12,117.9718,52.08,0,0,1.0792,1.3643,1.1053,0.0434,72.5,1,5.66,1431.2,0
13,118.1984,51.65,0,0,1.1006,1.3989,1.0834,0.04877,73.1,1,6.01,1541.3,0
14,118.4163,51.25,0,0,1.1382,1.4555,1.1043,0.05168,73.7,1,6.33,1651.4,0
15,118.0302,50.92,0,0,1.1246,1.4442,1.0894,0.05151,72.6,2,6.56,1761.5,0
16,118.2648,50.95,0,0,1.1022,1.4186,1.0744,0.04185,73.0,2,6.55,1871.6,0
17,118.5086,51.13,0,0,1.1277,1.3672,1.0934,0.036,73.5,2,6.41,1981.7,0
18,118.7523,51.37,0,0,1.1167,1.3212,1.0904,0.03243,74.0,2,6.23,2091.8,0
19,119.0062,51.67,0,0,1.1306,1.3339,1.08,0.02815,74.4,2,6.0,2201.9,0
20,119.254,51.86,0,0,1.1532,1.3539,1.0824,0.02978,74.9,2,5.86,2312.0,0
21,119.5,52.11,0,0,1.1061,1.2791,1.0709,0.02601,75.3,2,5.67,2421.8,0
22,119.7537,52.38,0,0,1.2841,1.255,1.0273,0.02255,75.8,2,5.46,2528.8,0.0013
23,120.0251,52.74,0,0,1.0865,1.2223,1.0197,0.01672,76.2,2,5.18,2630.2,0.0013
24,120.2983,53.2,0,0,1.076,1.2039,1.0385,0.00964,76.7,2,4.81,2728.8,0.0013
25,120.5692,53.59,0,0,1.0371,1.1933,1.0187,0.00869,77.1,2,4.51,2819.9,0.0013
26,120.828,53.76,0,0,1.1829,1.1786,1.0331,0.01344,77.6,2,4.38,2909.1,0.0021
27,121.0736,53.76,1,0,1.1967,1.1319,1.0205,0.01901,78.0,2,4.42,2996.7,0.0027
28,120.6919,53.75,1,0,1.2026,1.1222,1.0123,0.01805,77.4,3,4.42,3082.6,0.0058
29,120.9289,53.81,0,0,1.186,1.1099,1.0123,0.01682,77.8,3,4.39,3167.9,0.007
30,121.1659,53.97,0,0,1.0264,1.1233,1.0206,0.01252,78.3,3,4.26,3250.6,0.007
31,121.3928,54.06,2,0,1.1861,1.1063,1.0082,0.01366,78.7,3,4.23,3329.1,0.0086
32,121.6072,53.98,2,0,1.1906,1.1041,1.0082,0.01971,79.1,3,4.33,3404.0,0.0111
33,121.7999,53.89,7,0,1.1524,1.1132,1.0082,0.01924,79.6,3,4.48,3478.5,0.0205
34,121.9767,53.81,9,0,1.1527,1.1042,1.0083,0.0185,80.1,3,4.6,3553.0,0.0344
35,122.1619,53.71,7,0,1.15,1.0995,1.0083,0.01854,80.6,3,4.67,3627.5,0.0486
36,122.3401,53.6,6,0,1.15,1.0995,1.0083,0.01887,81.1,3,4.73,3701.4,0.0607
37,122.5219,53.47,8,0,1.15,1.0995,1.0083,0.0194,81.6,3,4.84,3774.8,0.0755
