tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,158.9944,53.12,0,0,1.0,1.0,1.0,0.02,76.5,0,5.76,110.5
1,208.0096,51.07,0,0,1.0,1.0276,1.0,0.02553,76.4,1,5.71,220.9
2,258.3597,48.98,0,0,1.0189,1.0873,1.0307,0.04843,77.1,1,6.23,331.4
3,309.8571,47.06,0,0,1.0341,1.1352,1.0553,0.06251,78.0,1,6.97,441.9
4,362.973,45.35,0,0,1.0463,1.1737,1.075,0.07045,78.9,1,7.71,552.3
5,417.0207,44.2,0,0,1.0561,1.2047,1.0908,0.07413,79.7,1,8.21,662.8
6,472.8352,43.25,0,0,1.0653,1.2309,1.1035,0.07557,80.6,1,8.61,773.3
7,529.6078,42.51,0,0,1.0728,1.2521,1.1136,0.07481,81.5,1,8.91,883.8
8,587.7103,41.88,0,0,1.0835,1.2774,1.1222,0.0755,82.4,1,9.14,994.2
9,646.7356,41.3,0,0,1.0975,1.3077,1.1341,0.0787,83.3,1,9.4,1104.7
10,707.5023,40.91,0,0,1.108,1.3277,1.1341,0.07557,84.1,1,9.51,1215.2
11,769.8564,40.78,0,0,1.1126,1.3394,1.1341,0.06951,84.9,1,9.46,1325.6
12,831.3444,40.79,0,0,1.1183,1.351,1.1354,0.06447,84.9,2,9.28,1436.1
13,894.4162,40.87,0,0,1.1311,1.3712,1.1384,0.06395,85.7,2,9.14,1546.6
14,959.6637,41.12,0,0,1.1381,1.3839,1.1287,0.05716,86.3,2,8.88,1657.1
15,1026.7575,41.58,0,0,1.1417,1.3898,1.116,0.04913,86.9,2,8.49,1767.5
16,1090.0345,42.14,0,0,1.1463,1.3783,1.1036,0.04239,86.3,4,8.0,1878.0
17,1161.0738,42.87,0,0,1.1461,1.3542,1.0898,0.03198,86.8,4,7.45,1988.5
18,1232.5359,43.56,0,0,1.1425,1.3329,1.0782,0.02249,87.4,4,6.89,2098.9
19,1305.4652,44.26,0,0,1.1321,1.3035,1.0688,0.01297,87.9,4,6.27,2209.4
20,1377.5735,44.96,0,0,1.1204,1.283,1.0613,0.00692,88.5,4,5.66,2314.4
21,1446.0921,45.6,0,0,1.1076,1.2553,1.0552,0.00127,88.6,5,5.17,2415.5
22,1517.8738,46.25,0,0,1.0946,1.2301,1.0504,-0.00377,89.1,5,4.81,2515.0
23,1589.7169,46.84,0,0,1.0799,1.2084,1.0466,-0.00776,89.7,5,4.53,2610.7
