tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,117.1583,51.88,0,0,1.0,1.0,1.0,0.02015,68.7,0,6.34,110.1
1,116.4688,51.93,0,0,1.0,1.1769,1.0,0.02981,66.7,1,6.09,220.2
2,116.3699,51.76,0,0,1.0,1.2287,1.0,0.03974,67.3,1,6.15,330.3
3,116.2708,51.65,0,0,1.0,1.2291,1.0,0.03916,67.8,1,6.19,440.4
4,116.1725,51.65,0,0,1.0,1.2295,1.0,0.03652,68.4,1,6.16,550.5
5,116.2642,51.72,0,0,1.0,1.23,1.0,0.03428,68.9,1,6.08,660.6
6,116.3565,51.83,0,0,1.0,1.2304,1.0,0.0324,69.4,1,5.98,770.7
7,116.635,51.96,0,0,1.0,1.2308,1.0,0.03079,70.0,1,5.87,880.7
8,116.9112,52.09,0,0,1.0,1.2312,1.0,0.02943,70.5,1,5.75,990.8
9,117.1854,52.21,0,0,1.0,1.2316,1.0,0.02828,71.0,1,5.64,1100.9
10,117.4581,52.31,0,0,1.0,1.2319,1.0,0.0273,71.5,1,5.53,1211.0
11,117.7144,52.18,0,0,1.0347,1.2938,1.037,0.03524,72.0,1,5.62,1321.1
12,117.9422,51.66,0,0,1.0792,1.3643,1.1053,0.05197,72.6,1,6.05,1431.2
13,118.1575,51.06,0,0,1.1006,1.3989,1.0834,0.05944,73.3,1,6.54,1541.3
14,118.3628,50.5,0,0,1.1383,1.4555,1.1043,0.06342,74.0,1,7.0,1651.4
15,117.9645,50.04,0,0,1.1246,1.4443,1.0895,0.06281,73.0,2,7.3,1761.5
16,118.1888,50.08,0,0,1.1022,1.4187,1.0744,0.0501,73.5,2,7.27,1871.6
17,118.4284,50.33,0,0,1.1277,1.4242,1.0592,0.0418,74.0,2,7.09,1981.7
18,118.6729,50.64,0,0,1.1136,1.3861,1.0597,0.03676,74.4,2,6.85,2091.8
19,118.9193,50.96,0,0,1.1414,1.3859,1.0702,0.03415,74.9,2,6.61,2201.9
20,119.1665,51.22,0,0,1.1501,1.395,1.0586,0.03378,75.3,2,6.42,2312.0
21,119.4154,51.46,0,0,1.1353,1.4018,1.0648,0.03238,75.8,2,6.24,2417.6
22,119.6686,51.67,2,0,1.2733,1.3492,1.0136,0.03096,76.3,2,6.13,2519.1
23,119.933,51.93,3,0,1.2297,1.3408,1.0138,0.02639,76.7,2,5.97,2620.6
24,120.1969,52.19,2,0,1.2171,1.3422,1.0385,0.02422,77.2,2,5.78,2717.6
25,120.4544,52.46,3,0,1.2006,1.2984,1.0222,0.02094,77.7,2,5.59,2812.5
26,120.7102,52.73,3,0,1.1981,1.3008,1.0315,0.0176,78.2,2,5.36,2906.2
