tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,117.5419,52.38,0,0,1.0,1.0,1.0,0.02015,68.7,0,6.11,110.1
1,117.2321,52.83,0,0,1.0,1.1786,1.0,0.02989,66.7,1,5.67,220.2
2,117.5156,52.97,0,0,1.0,1.2322,1.0,0.03998,67.2,1,5.58,330.3
3,117.7993,53.11,0,0,1.0,1.2344,1.0,0.03951,67.7,1,5.51,440.4
4,118.0843,53.27,0,0,1.0,1.2372,1.0,0.03698,68.3,1,5.4,550.5
5,118.3705,53.46,0,0,1.0,1.2403,1.0,0.03486,68.8,1,5.27,660.6
6,118.6578,53.65,0,0,1.0,1.2434,1.0,0.03309,69.3,1,5.13,770.7
7,118.946,53.83,0,0,1.0003,1.2466,1.0003,0.03164,69.9,1,4.99,880.7
8,119.2347,53.99,0,0,1.0008,1.2498,1.0011,0.03053,70.4,1,4.86,990.8
9,119.5208,54.12,0,0,1.0013,1.2532,1.0019,0.02968,70.9,1,4.74,1100.9
10,119.8046,54.22,0,0,1.0019,1.2568,1.0027,0.02901,71.5,1,4.64,1211.0
11,120.0865,54.3,0,0,1.0024,1.2606,1.0036,0.02845,72.1,1,4.55,1321.1
12,120.3672,54.35,0,0,1.0031,1.2644,1.0039,0.02795,72.7,1,4.47,1431.2
13,120.6468,54.24,0,0,1.0038,1.2683,1.0047,0.02757,73.5,1,4.47,1541.3
14,120.3094,54.06,0,0,1.0048,1.2738,1.0041,0.02803,72.8,2,4.5,1651.4
15,120.5853,53.9,0,0,1.0064,1.2796,1.005,0.02773,73.8,2,4.55,1761.5
16,120.8501,53.77,0,0,1.0084,1.2855,1.0046,0.02761,74.8,2,4.6,1871.6
17,121.1058,53.72,0,0,1.0108,1.2656,1.0057,0.02657,75.9,2,4.61,1981.7
18,121.3544,53.69,0,0,1.013,1.2373,1.0062,0.02452,76.9,2,4.58,2091.8
19,121.6029,53.73,0,0,1.0154,1.1843,1.0031,0.02101,77.9,2,4.48,2201.9
20,121.8465,53.82,0,0,1.0173,1.1727,1.0037,0.0186,79.0,2,4.35,2312.0
21,122.0841,53.91,0,0,1.0175,1.1749,1.0037,0.01897,80.0,2,4.25,2416.3
22,122.3146,53.94,0,0,1.0193,1.1771,1.004,0.01987,81.0,2,4.2,2519.9
23,122.5423,53.9,0,0,1.0196,1.1624,1.0046,0.01996,82.1,2,4.18,2619.4
24,122.7661,53.9,0,0,1.0206,1.165,1.0052,0.02004,83.1,2,4.15,2718.0
25,122.9853,53.9,0,0,1.0172,1.1219,1.0055,0.01873,84.1,2,4.11,2811.3
26,123.2008,53.93,0,0,1.0143,1.1234,1.006,0.01738,85.2,2,4.06,2897.0
27,122.7854,53.97,0,0,1.0107,1.0907,1.0066,0.01749,85.2,3,4.0,2980.0
28,122.9845,54.04,0,0,1.0126,1.092,1.0072,0.01699,86.3,3,3.97,3061.2
