tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,158.9944,53.12,0,0,1.0,1.0,1.0,0.02,76.5,0,5.76,110.5
1,208.0096,51.07,0,0,1.0,1.0276,1.0,0.02553,76.4,1,5.71,220.9
2,258.3597,48.98,0,0,1.0189,1.0873,1.0307,0.04843,77.1,1,6.23,331.4
3,309.8571,47.06,0,0,1.0341,1.1352,1.0553,0.06251,78.0,1,6.97,441.9
4,362.973,45.35,0,0,1.0463,1.1737,1.075,0.07045,78.9,1,7.71,552.3
5,417.0207,44.2,0,0,1.0561,1.2047,1.0908,0.07413,79.7,1,8.21,662.8
6,462.4605,42.51,0,0,1.0965,1.242,1.1382,0.09916,79.7,4,9.12,773.3
7,500.7549,40.37,0,0,1.1342,1.2818,1.184,0.12263,78.5,12,10.27,883.8
8,547.9964,38.32,0,0,1.1718,1.3253,1.2222,0.13757,78.5,15,11.59,994.2
9,593.7323,36.35,0,0,1.2008,1.3612,1.255,0.14484,78.5,19,12.74,1104.7
10,643.3968,34.45,0,0,1.2297,1.3943,1.2821,0.14811,79.1,21,13.77,1215.2
11,682.9785,32.54,0,0,1.2495,1.4161,1.3069,0.14972,78.0,29,14.51,1325.6
12,727.0791,30.97,0,0,1.275,1.4485,1.3296,0.1522,77.5,35,15.17,1436.1
13,778.685,30.03,0,2,1.2936,1.4695,1.3395,0.14377,77.7,38,15.53,1546.6
14,830.015,29.49,0,4,1.3077,1.4851,1.3447,0.13597,77.5,42,15.58,1657.1
15,887.3354,29.4,0,4,1.3212,1.5033,1.3461,0.12776,78.1,44,15.47,1767.5
16,946.2153,29.54,0,4,1.3376,1.5149,1.351,0.1213,78.7,46,15.22,1878.0
17,1006.233,30.03,0,4,1.3471,1.509,1.346,0.10898,79.2,48,14.75,1988.5
18,1071.7921,30.84,0,4,1.3555,1.497,1.3393,0.09667,79.7,49,14.12,2098.9
19,1139.9353,32.26,0,3,1.3611,1.4828,1.3282,0.0821,80.7,49,13.31,2209.4
20,1209.9639,34.0,0,1,1.3474,1.4561,1.3184,0.06377,81.5,49,12.25,2316.4
21,1281.5839,35.6,0,1,1.3257,1.4298,1.3116,0.04718,82.2,49,11.07,2415.2
22,1350.3344,37.26,0,1,1.3037,1.4086,1.3042,0.03419,82.4,50,9.85,2510.5
23,1420.6575,38.99,0,1,1.2845,1.3845,1.2984,0.0223,83.1,50,8.67,2605.3
24,1502.0834,41.62,0,1,1.2396,1.3342,1.2479,-0.01208,83.7,50,7.35,2697.5
25,1585.6965,44.17,0,0,1.1971,1.2868,1.2069,-0.03064,84.4,50,6.35,2784.7
26,1669.5171,45.98,0,0,1.1601,1.2433,1.1734,-0.03324,85.1,50,5.62,2868.9
27,1749.0326,47.3,0,0,1.1305,1.2036,1.1468,-0.0337,85.3,51,5.09,2949.7
28,1830.8249,48.32,0,0,1.1069,1.1698,1.1248,-0.03451,86.1,51,4.71,3027.8
29,1913.1459,49.09,0,0,1.0879,1.1416,1.1066,-0.0349,86.8,51,4.43,3106.0
30,1990.4812,49.64,0,0,1.0728,1.1185,1.0908,-0.03415,87.1,52,4.21,3184.1
31,2067.1765,50.08,0,0,1.0607,1.0988,1.0775,-0.03419,87.8,52,4.06,3259.9
32,2144.1274,50.41,0,0,1.0486,1.083,1.0669,-0.03407,88.5,52,3.94,3335.2
33,2221.0975,50.67,0,0,1.0388,1.0687,1.0553,-0.03388,89.2,52,3.85,3410.0
34,2297.8124,50.83,0,0,1.0311,1.0568,1.0452,-0.03289,90.0,52,3.78,3482.7
35,2367.8198,50.85,0,0,1.0249,1.0473,1.0372,-0.03018,90.1,53,3.72,3552.7
36,2431.8007,50.8,0,0,1.0199,1.0396,1.0307,-0.02675,90.4,54,3.69,3622.8
37,2497.8538,50.73,0,0,1.0159,1.0317,1.0255,-0.02406,91.1,54,3.69,3692.8
38,2563.2875,50.59,0,0,1.0127,1.0254,1.0214,-0.02092,91.8,54,3.68,3762.9
39,2629.0619,50.4,0,0,1.0102,1.0203,1.0181,-0.01757,92.5,54,3.68,3832.9
40,2694.8804,50.17,0,0,1.0081,1.0162,1.0154,-0.01417,93.3,54,3.67,3901.9
41,2760.4326,49.91,0,0,1.0065,1.013,1.0133,-0.01084,94.0,54,3.67,3970.3
42,2825.6183,49.65,0,0,1.0052,1.0104,1.0116,-0.00765,94.7,54,3.67,4038.7
43,2883.7615,49.32,0,0,1.0042,1.0083,1.0103,-0.0038,94.9,55,3.68,4107.1
44,2935.8148,48.99,0,0,1.0033,1.0067,1.0092,-0.0003,95.2,56,3.7,4175.5
45,2969.8109,48.58,0,0,1.0027,1.0053,1.0083,0.00457,94.3,59,3.73,4243.9
46,3009.4036,48.31,0,0,1.0021,1.0043,1.0077,0.00629,95.1,59,3.81,4312.3
47,3053.0115,48.07,0,0,1.0017,1.0034,1.0071,0.00788,95.8,59,3.87,4380.7
48,3085.843,47.76,0,0,1.0014,1.0027,1.0067,0.01102,95.5,61,3.93,4449.1
49,3128.3588,47.55,0,0,1.0011,1.0022,1.0063,0.01207,96.2,61,4.04,4517.5
50,3173.9366,47.35,0,0,1.0009,1.0017,1.006,0.01301,97.0,61,4.16,4585.9
51,3222.1469,47.17,0,0,1.0007,1.0014,1.0058,0.01387,97.7,61,4.27,4653.7
52,3265.3477,46.97,0,0,1.0006,1.0011,1.0056,0.01549,98.0,62,4.38,4721.5
53,3311.2924,46.82,0,0,1.0004,1.0009,1.0055,0.01604,98.7,62,4.49,4789.3
54,3352.3141,46.66,0,0,1.0004,1.0007,1.0054,0.01739,99.0,63,4.59,4857.0
55,3402.8557,46.55,0,0,1.0003,1.0006,1.0053,0.0177,99.7,63,4.69,4924.6
56,3455.1072,46.47,0,0,1.0002,1.0005,1.0052,0.01798,100.5,63,4.78,4992.3
57,3509.0149,46.4,1,0,1.0002,1.0004,1.0052,0.01824,101.2,63,4.87,5059.8
58,3555.5925,46.13,2,0,1.0301,1.0003,1.0051,0.02544,101.4,64,5.12,5127.3
59,3595.758,45.81,3,0,1.0541,1.0002,1.0041,0.02998,101.7,65,5.42,5194.8
60,3639.232,45.53,5,0,1.0733,1.0002,1.0033,0.032,102.5,65,5.75,5262.3
61,3677.0265,45.24,5,0,1.0886,1.0001,1.0026,0.03381,102.8,66,6.0,5329.8
62,3718.5904,45.03,4,0,1.1009,1.0001,1.0021,0.03391,103.6,66,6.21,5397.3
63,3756.2537,44.83,1,0,1.1107,1.0001,1.0017,0.0344,103.9,67,6.32,5464.8
64,3800.3244,44.71,1,0,1.1186,1.0001,1.0013,0.0336,104.7,67,6.4,5532.3
65,3847.5556,44.64,2,0,1.1249,1.0001,1.0011,0.03264,105.4,67,6.45,5599.8
66,3896.808,44.6,3,0,1.1299,1.0,1.0009,0.03161,106.2,67,6.48,5667.3
