tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,159.0006,53.12,0,0,1.0,1.0,1.0,0.02,76.5,0,5.76,110.5
1,207.8658,51.05,0,0,1.0005,1.0289,1.0009,0.02619,76.4,1,5.72,220.9
2,258.0686,48.93,0,0,1.0198,1.0897,1.0324,0.04965,77.1,1,6.28,331.4
3,309.424,46.98,0,0,1.0353,1.1385,1.0576,0.06406,78.0,1,7.04,441.9
4,362.3897,45.54,0,0,1.0477,1.1777,1.0778,0.07216,78.8,1,7.66,552.3
5,416.2881,44.31,0,0,1.0578,1.2092,1.0939,0.07591,79.7,1,8.21,662.8
6,461.5706,42.54,0,0,1.0984,1.247,1.1417,0.10088,80.0,4,9.17,773.3
7,504.4235,40.46,0,0,1.1367,1.2873,1.1877,0.12202,79.7,9,10.36,883.8
8,546.5235,38.19,0,0,1.1763,1.3346,1.2292,0.1421,78.3,15,11.71,994.2
9,589.9203,36.11,0,0,1.205,1.3686,1.2584,0.14886,78.1,20,12.9,1104.7
10,637.7534,34.18,0,0,1.2322,1.401,1.2783,0.14974,78.5,23,13.91,1215.2
11,681.3962,32.37,0,0,1.2546,1.4267,1.2961,0.14921,78.1,29,14.65,1325.6
12,729.7375,30.95,0,1,1.2822,1.4581,1.3123,0.14963,78.2,33,15.25,1436.1
13,782.2585,30.05,0,1,1.3011,1.4796,1.3221,0.14238,78.5,36,15.55,1546.6
14,835.5638,29.49,0,3,1.3197,1.5012,1.3324,0.13669,78.4,39,15.64,1657.1
15,888.5804,29.27,0,6,1.3354,1.5207,1.3358,0.13009,78.3,43,15.53,1767.5
16,948.9844,29.49,0,6,1.3503,1.5048,1.3397,0.11946,78.9,45,15.23,1876.2
17,1015.4778,30.19,0,6,1.3548,1.4874,1.3362,0.10362,80.0,45,14.66,1984.8
18,1083.9662,31.32,0,5,1.3617,1.4712,1.3361,0.0907,81.0,45,13.93,2093.4
19,1155.5581,32.6,0,5,1.3608,1.4387,1.3286,0.07429,81.8,45,12.98,2202.0
20,1227.8572,34.47,0,3,1.3429,1.4052,1.3198,0.05551,82.6,45,11.83,2305.5
21,1300.4379,36.49,0,0,1.3247,1.382,1.3149,0.04228,83.2,45,10.63,2402.0
22,1373.5981,38.2,0,0,1.3002,1.3568,1.3078,0.02809,83.9,45,9.4,2493.5
