tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,117.5418,51.63,0,0,1.0,1.0,1.0,0.02014,68.6,0,6.45,110.1,0
1,117.0105,49.33,0,0,1.4422,1.731,1.3893,0.11473,69.2,1,8.13,220.2,0
2,116.264,45.16,0,0,1.4711,1.799,1.4007,0.19948,69.9,2,11.32,330.3,0
3,115.6179,42.58,0,0,1.4473,1.7748,1.2955,0.16661,68.4,3,13.01,440.4,0
4,115.6524,41.42,0,0,1.4259,1.7418,1.2925,0.13277,69.5,3,13.57,550.5,0
5,115.7334,41.06,0,0,1.4009,1.7174,1.2927,0.1119,70.6,3,13.52,660.6,0
6,115.7695,40.45,0,0,1.5275,1.9628,1.6032,0.1237,71.7,3,13.76,770.7,0
7,115.748,39.46,0,0,1.5567,2.0218,1.6383,0.14111,72.9,3,14.34,880.7,0
8,115.7312,38.85,0,0,1.562,2.0354,1.6667,0.13344,74.1,3,14.61,990.8,0
9,115.7246,38.51,0,0,1.5621,2.0357,1.6852,0.12409,75.3,3,14.63,1100.9,0
10,115.7437,38.36,0,0,1.5622,2.0359,1.6952,0.11131,76.5,3,14.4,1211.0,0
11,115.8165,38.48,1,0,1.7907,2.0224,1.6619,0.09748,77.6,3,13.98,1321.1,0.0011
12,115.9396,38.84,1,0,1.7911,2.0226,1.6247,0.08412,78.6,3,13.41,1431.2,0.0021
13,116.0885,39.33,0,0,1.7915,2.0227,1.5863,0.07208,79.4,3,12.73,1541.3,0.0033
14,116.1686,39.34,0,0,1.8676,2.0718,1.7314,0.0862,80.4,3,12.52,1651.4,0.0042
15,116.1994,38.95,0,1,1.8618,2.0695,1.7084,0.09699,81.5,3,12.61,1761.5,0.0053
16,115.6997,39.12,2,2,1.8473,2.0602,1.6655,0.07732,80.7,4,12.27,1871.6,0.0087
17,115.2621,39.69,1,2,1.8416,2.0132,1.6348,0.05979,80.7,5,11.61,1981.7,0.0125
18,115.4501,40.55,1,2,1.8582,1.9967,1.6127,0.04704,81.3,5,10.85,2091.8,0.0162
19,115.6867,41.65,3,2,1.7926,1.9813,1.5593,0.03248,81.8,5,10.0,2201.9,0.0202
20,115.9549,42.86,2,2,1.781,1.9293,1.5397,0.02054,82.3,5,9.09,2312.0,0.0246
21,116.2299,44.16,4,1,1.7275,1.9169,1.5398,0.01515,82.8,5,8.33,2418.9,0.0338
22,116.5122,45.32,3,0,1.7016,1.8551,1.5254,0.01027,83.3,5,7.61,2520.8,0.0403
23,116.7918,46.19,9,0,1.5955,1.8027,1.5143,0.00434,83.8,5,7.09,2622.3,0.0537
24,117.0924,47.41,8,0,1.4798,1.6568,1.4096,-0.00904,84.3,5,6.58,2719.7,0.0729
25,117.4238,48.84,5,0,1.3424,1.6027,1.3322,-0.02641,84.7,5,6.09,2813.8,0.094
26,117.7733,50.1,7,0,1.2425,1.5256,1.2538,-0.03576,85.2,5,5.74,2902.7,0.1226
27,118.1268,51.12,4,0,1.222,1.4407,1.1902,-0.03714,85.6,5,5.38,2990.3,0.148
28,118.472,51.87,3,0,1.1935,1.3996,1.1366,-0.03771,86.0,5,5.06,3073.6,0.1763
29,118.8403,52.49,1,0,1.1936,1.4015,1.1189,-0.03716,86.4,5,4.75,3156.3,0.1898
30,119.1683,52.68,2,0,1.1821,1.3694,1.0989,-0.0338,86.8,5,4.54,3239.0,0.2313
31,118.9122,52.68,2,0,1.2442,1.3495,1.088,-0.02852,86.2,6,4.36,3321.6,0.2495
32,119.2387,52.7,1,0,1.15,1.3055,1.0536,-0.02864,86.6,6,4.22,3403.4,0.2755
33,119.5826,52.61,0,0,1.15,1.3185,1.0807,-0.02613,87.0,6,4.08,3484.9,0.2948
34,119.902,52.47,0,1,1.15,1.2519,1.0631,-0.02177,87.3,6,3.96,3564.1,0.3256
35,120.1772,52.07,1,1,1.1605,1.2819,1.1233,-0.01341,87.7,6,3.9,3640.9,0.3631
36,120.4199,51.34,3,1,1.1658,1.2693,1.127,-0.0009,88.1,6,3.88,3716.6,0.3949
37,120.6224,50.54,1,1,1.1683,1.2555,1.1493,0.00426,88.5,6,3.86,3790.6,0.4329
38,120.7985,49.75,1,2,1.164,1.279,1.1337,0.00793,88.9,6,3.88,3863.5,0.4662
39,120.9484,49.03,1,2,1.1856,1.2144,1.1567,0.0099,89.2,6,3.92,3935.1,0.5169
40,121.1215,48.68,1,1,1.15,1.1763,1.0258,0.00291,89.6,6,3.87,4008.0,0.5543
41,121.2733,48.27,0,1,1.15,1.208,1.0469,-0.00099,89.9,6,3.8,4079.5,0.6022
42,121.4484,47.81,0,3,1.15,1.1949,1.0145,-0.0007,90.3,6,3.73,4150.7,0.6571
43,121.5619,47.3,0,4,1.15,1.1521,1.0585,-0.00191,90.7,6,3.7,4222.0,0.7347
44,121.6538,46.76,0,4,1.15,1.2172,1.0458,0.0036,91.0,6,3.68,4294.5,0.8085
45,121.7964,46.07,0,5,1.15,1.2108,1.0282,0.00674,91.4,6,3.69,4364.9,0.8774
46,121.9281,45.4,1,5,1.15,1.1604,1.0131,0.00554,91.8,6,3.7,4433.8,0.9382
47,122.0171,44.64,2,5,1.15,1.1435,1.0475,0.00704,92.2,6,3.73,4502.1,1.0125
48,122.0329,44.0,0,5,1.15,1.1691,1.0069,0.00942,92.6,6,3.75,4570.4,1.1032
49,122.0858,43.1,0,6,1.2385,1.1447,1.0042,0.01254,92.9,6,3.83,4636.2,1.1739
50,122.1383,42.12,0,6,1.15,1.1098,1.0234,0.01482,93.3,6,3.92,4698.6,1.2531
51,122.1888,41.2,1,8,1.15,1.1426,1.0115,0.01369,93.8,6,3.95,4759.5,1.3326
52,122.2342,40.1,0,11,1.15,1.1098,1.0119,0.01306,94.2,6,3.96,4819.6,1.4211
53,122.2698,39.05,0,15,1.15,1.1066,1.0203,0.01415,94.6,6,3.98,4879.3,1.4901
54,122.3519,38.35,0,15,1.15,1.1056,1.002,0.01498,94.9,6,4.0,4941.0,1.5484
55,122.3958,37.53,0,15,1.15,1.0857,1.0063,0.01478,95.3,6,4.02,5005.4,1.622
56,122.409,36.47,0,15,1.15,1.1264,1.0252,0.0176,95.7,6,4.08,5070.0,1.6855
57,122.4419,35.56,0,15,1.15,1.081,1.026,0.01914,96.1,6,4.18,5135.1,1.7515
58,122.4004,34.6,0,21,1.15,1.1141,1.0063,0.01866,96.5,6,4.23,5198.8,1.8216
59,122.3714,33.84,0,21,1.15,1.0534,1.0001,0.01853,96.9,6,4.25,5259.4,1.8893
60,122.4283,32.75,0,28,1.15,1.0775,1.0229,0.01985,97.2,6,4.28,5316.9,1.9341
61,122.4766,31.84,0,28,1.15,1.0328,1.0063,0.0194,97.6,6,4.3,5371.0,1.9793
62,122.4928,30.88,0,30,1.15,1.0195,1.0,0.01677,98.0,6,4.26,5425.0,2.0304
63,122.4947,30.2,0,32,1.15,1.0261,1.0,0.01708,98.3,6,4.23,5480.4,2.0837
64,122.4992,30.13,1,27,1.15,1.0798,1.0,0.02009,98.7,6,4.29,5537.1,2.1392
65,122.5151,29.18,0,33,1.15,1.0022,1.0,0.01988,99.0,6,4.31,5596.4,2.2054
66,122.5125,28.9,0,26,1.15,1.1044,1.0503,0.02445,99.4,6,4.4,5658.3,2.2539
67,122.4724,27.53,0,29,1.15,1.0348,1.0,0.02526,99.7,6,4.49,5718.2,2.3074
68,122.5222,26.62,0,36,1.15,1.0253,1.0,0.01947,100.1,6,4.43,5777.2,2.35
69,122.5349,26.01,0,40,1.15,1.0302,1.0072,0.02142,100.4,6,4.42,5834.8,2.3956
70,122.5642,25.28,0,45,1.15,1.0696,1.0072,0.02423,100.8,6,4.46,5889.6,2.4258
71,121.9779,25.38,0,43,1.15,1.0249,1.0072,0.02496,99.3,7,4.5,5943.1,2.4685
