tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,117.5419,52.31,0,0,1.0,1.0,1.0,0.02015,68.7,0,6.14,110.1,0
1,117.2334,52.85,0,0,1.0,1.1782,1.0,0.02737,66.7,1,5.64,220.2,0
2,117.5196,53.13,0,0,1.0,1.2317,1.0,0.03457,67.2,1,5.43,330.3,0
3,117.806,53.37,0,0,1.0,1.2339,1.0,0.03424,67.7,1,5.27,440.4,0
4,118.0934,53.6,0,0,1.0,1.2365,1.0,0.03243,68.2,1,5.11,550.5,0
5,118.3816,53.81,0,0,1.0,1.2395,1.0,0.03092,68.8,1,4.95,660.6,0
6,118.55,52.76,0,0,1.1183,1.519,1.36,0.071,69.9,1,5.8,770.7,0
7,118.616,50.92,0,0,1.1188,1.5247,1.3611,0.10543,71.7,1,7.3,880.7,0
8,118.7103,49.72,0,0,1.1192,1.5307,1.3618,0.09358,73.4,1,8.18,990.8,0
9,118.824,48.88,0,0,1.12,1.5368,1.3787,0.08415,75.0,1,8.66,1100.9,0
10,118.9476,48.28,0,0,1.1217,1.5435,1.3799,0.07618,76.2,1,8.82,1211.0,0
11,119.084,47.81,0,0,1.123,1.5479,1.387,0.06898,77.2,1,8.82,1321.1,0
12,119.2329,47.6,0,0,1.1241,1.5516,1.3875,0.06273,78.1,1,8.68,1431.2,0
13,119.3926,47.58,0,0,1.1252,1.5553,1.3881,0.05719,79.0,1,8.46,1541.3,0
14,119.5618,47.68,0,0,1.1266,1.5596,1.3887,0.05251,79.8,1,8.2,1651.4,0
15,119.1273,47.82,0,0,1.1283,1.5645,1.3894,0.04943,79.0,2,7.92,1761.5,0
16,119.3078,48.07,0,0,1.1299,1.5693,1.3814,0.04563,79.8,2,7.66,1871.6,0
17,119.4905,48.33,0,0,1.1319,1.5708,1.3819,0.04236,80.7,2,7.39,1981.7,0
18,119.6753,48.58,0,0,1.134,1.4858,1.3825,0.03788,81.7,2,7.11,2091.8,0
19,119.8596,48.93,0,1,1.136,1.4771,1.3823,0.03383,82.6,2,6.8,2201.9,0
20,120.0408,49.17,0,1,1.1377,1.4705,1.3826,0.03215,83.6,2,6.56,2312.0,0
21,120.2186,49.34,0,1,1.1416,1.4525,1.383,0.03067,84.7,2,6.37,2419.5,0
22,120.3926,49.47,0,1,1.1463,1.4548,1.3835,0.02974,85.8,2,6.22,2524.3,0
23,120.5595,49.44,1,1,1.3208,1.4409,1.3822,0.03449,87.0,2,6.24,2627.4,0.0004
24,120.7507,49.79,4,1,1.281,1.3489,1.2799,0.02848,88.1,2,6.12,2725.9,0.0024
25,120.9833,50.88,5,0,1.2389,1.2747,1.2082,0.01074,89.0,2,5.58,2821.7,0.0051
26,121.2415,52.1,4,0,1.2235,1.2356,1.1577,-4e-05,89.6,2,4.98,2917.0,0.0078
27,121.5141,53.25,1,0,1.202,1.2039,1.1204,-0.00544,90.0,2,4.42,3008.2,0.0105
28,121.7892,54.19,3,0,1.1803,1.1713,1.0949,-0.00878,90.5,2,4.02,3095.3,0.0138
29,122.064,54.87,1,0,1.1726,1.1607,1.0696,-0.00988,91.1,2,3.71,3181.5,0.0173
30,122.3412,55.26,0,0,1.1615,1.1204,1.0568,-0.00953,91.9,2,3.51,3263.9,0.0187
31,122.6182,55.47,0,0,1.157,1.0965,1.0477,-0.00881,92.9,2,3.4,3341.3,0.0197
32,122.8843,55.85,0,0,1.15,1.0709,1.0245,-0.00809,93.9,2,3.26,3416.5,0.0227
33,123.133,56.04,1,0,1.15,1.0717,1.0225,-0.00507,94.9,2,3.19,3491.4,0.0271
34,123.3631,56.06,1,0,1.15,1.057,1.0227,-0.00038,95.9,2,3.14,3563.4,0.0316
35,122.9383,55.88,6,0,1.15,1.0632,1.0389,0.00447,96.0,3,3.23,3635.2,0.0436
36,123.1274,55.71,5,0,1.15,1.0481,1.0176,0.00687,97.1,3,3.31,3707.1,0.058
37,123.2999,55.44,4,0,1.15,1.0621,1.0178,0.00957,98.3,3,3.37,3777.5,0.0691
38,123.4542,55.15,5,0,1.15,1.0371,1.0178,0.01193,99.5,3,3.48,3848.0,0.0874
39,122.9892,54.83,7,0,1.15,1.0698,1.0178,0.01485,99.4,4,3.63,3918.3,0.1089
40,123.0705,54.45,6,0,1.15,1.071,1.0179,0.01724,100.5,4,3.81,3987.9,0.1409
41,123.1655,54.09,10,0,1.15,1.0831,1.018,0.01858,101.7,4,4.02,4057.5,0.1703
42,123.2568,53.76,7,0,1.15,1.0427,1.018,0.01885,102.7,4,4.13,4126.3,0.1924
43,123.3289,53.48,3,0,1.15,1.0554,1.0181,0.01911,103.7,4,4.16,4194.4,0.2232
44,123.406,53.13,3,0,1.15,1.0916,1.0182,0.02188,104.7,4,4.24,4261.9,0.2516
45,123.4613,52.8,3,0,1.15,1.039,1.0182,0.02206,105.7,4,4.29,4329.4,0.2804
46,123.5449,52.55,1,0,1.15,1.0438,1.0182,0.0212,106.6,4,4.27,4397.0,0.3049
47,123.6364,52.33,2,0,1.15,1.041,1.0,0.02129,107.6,4,4.26,4463.6,0.3226
48,123.0869,52.03,2,0,1.15,1.0546,1.0,0.02253,107.8,5,4.26,4530.3,0.3482
49,122.5402,51.64,6,0,1.15,1.0427,1.0,0.02419,108.0,6,4.38,4596.6,0.3729
50,122.5828,51.22,1,0,1.15,1.0543,1.0,0.02474,109.1,6,4.44,4662.5,0.4062
51,122.6456,50.76,1,0,1.15,1.0735,1.0,0.02632,110.2,6,4.54,4728.3,0.4409
52,122.7011,50.32,1,1,1.15,1.0513,1.0,0.02661,111.3,6,4.61,4794.1,0.4762
53,122.7647,49.89,1,3,1.15,1.0603,1.0,0.02658,112.5,6,4.68,4859.0,0.5078
54,122.8042,49.47,3,3,1.15,1.0713,1.0,0.0277,113.6,6,4.78,4922.8,0.5361
55,122.7806,49.06,3,4,1.15,1.0402,1.0,0.02739,114.8,6,4.87,4986.7,0.5769
56,122.7813,48.65,1,4,1.15,1.0756,1.0081,0.02831,115.9,6,4.91,5050.2,0.6064
57,122.7622,48.28,0,4,1.15,1.0545,1.0,0.02952,117.0,6,4.94,5113.6,0.6397
58,122.7676,48.03,0,5,1.15,1.0426,1.0,0.0283,118.1,6,4.93,5178.1,0.6847
59,122.7698,47.91,1,3,1.15,1.0364,1.0,0.0277,119.3,6,4.94,5242.6,0.7186
60,122.7503,47.42,1,4,1.15,1.0273,1.0,0.02767,120.4,6,4.94,5307.0,0.7688
61,122.7264,47.07,0,4,1.15,1.042,1.0,0.02835,121.5,6,4.93,5370.9,0.806
62,122.7266,46.6,1,6,1.15,1.0345,1.0,0.02907,122.7,6,4.97,5431.8,0.8391
63,122.7178,46.15,3,7,1.15,1.0437,1.0196,0.0304,123.9,6,5.05,5491.7,0.8752
64,122.6813,45.95,1,6,1.15,1.0267,1.0,0.03043,125.1,6,5.09,5552.6,0.9211
65,122.6185,45.34,0,7,1.15,1.052,1.0,0.03033,126.2,6,5.1,5612.5,0.969
66,122.6125,44.89,0,7,1.15,1.0619,1.0,0.03183,127.4,6,5.14,5670.9,1.0066
