tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,117.5419,52.31,0,0,1.0,1.0,1.0,0.02015,68.7,0,6.14,110.1,0
1,117.2334,52.85,0,0,1.0,1.1782,1.0,0.02737,66.7,1,5.63,220.2,0
2,117.5196,53.14,0,0,1.0,1.2317,1.0,0.03457,67.2,1,5.43,330.3,0
3,117.806,53.39,0,0,1.0,1.2338,1.0,0.03423,67.7,1,5.26,440.4,0
4,118.0934,53.64,0,0,1.0,1.2359,1.0,0.03241,68.1,1,5.09,550.5,0
5,118.3817,53.87,0,0,1.0,1.2379,1.0,0.03087,68.6,1,4.93,660.6,0
6,118.5501,53.03,0,0,1.1183,1.5166,1.36,0.07085,69.4,1,5.68,770.7,0
7,118.6171,51.54,0,0,1.1186,1.5192,1.3609,0.10509,70.5,1,7.01,880.7,0
8,118.7133,50.64,0,0,1.1186,1.5211,1.3609,0.09295,71.5,1,7.76,990.8,0
9,118.8299,50.06,0,0,1.1186,1.5231,1.377,0.08308,72.4,1,8.12,1100.9,0
10,118.9622,49.48,0,0,1.1186,1.5251,1.377,0.07474,73.2,1,8.28,1211.0,0
11,119.1057,48.88,0,0,1.1186,1.5271,1.4074,0.06811,74.0,1,8.34,1321.1,0
12,119.2594,48.56,0,0,1.1186,1.5292,1.4075,0.06249,74.7,1,8.27,1431.2,0
13,119.4243,48.48,0,0,1.1186,1.5312,1.4076,0.05669,75.3,1,8.08,1541.3,0
14,119.5988,48.57,0,0,1.1186,1.5333,1.4077,0.05176,75.9,1,7.82,1651.4,0
15,119.1694,48.72,0,0,1.1186,1.5353,1.4078,0.04841,74.8,2,7.54,1761.5,0
16,119.3533,48.82,1,0,1.2865,1.5374,1.4079,0.05025,75.3,2,7.4,1871.6,0.0011
17,119.5407,48.91,1,0,1.2869,1.4921,1.4081,0.05077,75.8,2,7.31,1981.7,0.0021
18,119.7361,49.15,1,1,1.2874,1.4513,1.4011,0.04441,76.3,2,7.1,2091.8,0.0033
19,119.9356,49.42,1,1,1.2879,1.4396,1.4012,0.03977,76.8,2,6.85,2201.9,0.0053
20,120.1379,49.72,0,1,1.2884,1.4325,1.4013,0.03683,77.3,2,6.56,2312.0,0.0071
21,120.3379,49.99,2,1,1.2966,1.4247,1.4014,0.03464,77.8,2,6.35,2414.7,0.0104
22,120.5403,50.22,2,1,1.3019,1.4189,1.388,0.0325,78.3,2,6.15,2513.5,0.0148
23,120.7467,50.43,0,1,1.302,1.4194,1.4016,0.03109,78.7,2,5.93,2609.8,0.0182
24,120.9765,51.1,3,0,1.2629,1.3311,1.2996,0.02072,79.2,2,5.56,2702.9,0.0242
25,121.241,51.97,3,0,1.26,1.2714,1.2225,0.00534,79.7,2,4.96,2794.3,0.0277
26,121.5276,52.97,3,0,1.2115,1.2206,1.1717,-0.00475,80.1,2,4.47,2884.1,0.0314
27,121.8268,53.86,1,0,1.1926,1.1924,1.1358,-0.01085,80.5,2,4.05,2972.1,0.0406
28,122.1395,54.63,0,0,1.1798,1.1662,1.0853,-0.01377,81.0,2,3.69,3059.6,0.0449
29,122.4386,55.2,1,0,1.1684,1.1338,1.067,-0.01466,81.4,2,3.45,3143.1,0.0599
30,122.7379,55.53,1,0,1.1638,1.1489,1.054,-0.01252,81.8,2,3.26,3226.1,0.0733
31,123.03,55.71,0,0,1.1604,1.1129,1.045,-0.01031,82.2,2,3.1,3306.8,0.089
32,123.303,56.0,2,0,1.15,1.0735,1.0211,-0.00868,82.6,2,2.96,3385.2,0.1022
33,123.5445,56.12,1,0,1.15,1.0653,1.021,-0.00768,83.0,2,2.84,3460.8,0.1304
34,123.7683,56.07,9,0,1.15,1.0575,1.0208,-0.00561,83.5,2,2.9,3535.2,0.1618
35,123.9496,55.76,2,0,1.2029,1.0787,1.0012,-5e-05,83.9,2,2.83,3609.3,0.2077
36,124.1056,55.34,3,0,1.15,1.1,1.0186,0.00488,84.3,2,2.8,3683.4,0.2559
37,124.2292,54.81,4,0,1.1901,1.0654,1.0012,0.009,84.7,2,2.85,3757.6,0.3017
38,124.3542,54.26,2,0,1.15,1.0693,1.0013,0.00919,85.2,2,2.85,3828.7,0.3565
39,124.4617,53.69,5,0,1.15,1.0935,1.015,0.00959,85.6,2,2.93,3899.3,0.4146
40,123.9226,53.0,0,0,1.15,1.083,1.0063,0.01432,84.8,3,2.94,3969.7,0.4624
41,123.4183,52.2,3,0,1.15,1.1116,1.0274,0.01749,84.0,4,3.09,4039.3,0.5229
42,123.4631,51.58,1,1,1.15,1.0398,1.0,0.01543,84.4,4,3.13,4109.0,0.5863
43,123.4647,50.81,1,1,1.15,1.0897,1.0401,0.01675,84.8,4,3.2,4177.7,0.6693
44,123.3993,49.81,3,2,1.15,1.0989,1.0361,0.02207,85.2,4,3.41,4245.6,0.7674
45,123.3876,48.73,4,3,1.15,1.162,1.0399,0.02451,85.6,4,3.64,4311.5,0.8672
46,123.3789,47.76,1,4,1.15,1.1566,1.0,0.02477,86.0,4,3.75,4376.4,0.946
47,123.4175,46.94,2,6,1.15,1.1073,1.0,0.02079,86.4,4,3.77,4440.3,1.0065
48,123.4117,46.29,1,5,1.15,1.0791,1.0048,0.01801,86.7,4,3.71,4504.8,1.0754
49,123.3918,45.43,0,6,1.15,1.0973,1.0115,0.01899,87.1,4,3.66,4568.6,1.1535
50,122.6896,44.44,0,6,1.15,1.0827,1.0054,0.0206,86.7,5,3.65,4632.4,1.2411
51,122.6894,43.5,1,6,1.15,1.0819,1.0,0.01997,87.0,5,3.66,4694.2,1.3241
52,122.65,42.41,0,8,1.15,1.0655,1.0489,0.02454,87.4,5,3.74,4755.1,1.4092
53,122.6449,41.5,0,8,1.15,1.0273,1.0015,0.02271,87.8,5,3.74,4814.9,1.4911
54,122.6833,40.36,0,11,1.15,1.0837,1.0138,0.01929,88.2,5,3.68,4872.3,1.5746
55,122.6195,39.16,1,13,1.15,1.0994,1.0015,0.02294,88.6,5,3.75,4927.7,1.6663
56,122.6089,38.03,0,14,1.15,1.0971,1.0089,0.02457,88.9,5,3.81,4985.7,1.7282
57,122.6088,37.05,0,17,1.15,1.0338,1.0,0.02154,89.3,5,3.77,5044.1,1.7947
58,122.6009,36.21,1,17,1.15,1.0922,1.0,0.02076,89.7,5,3.77,5102.7,1.8622
59,122.5862,35.05,1,18,1.15,1.0786,1.0,0.02247,90.0,5,3.81,5162.7,1.9265
60,122.5354,34.04,0,19,1.15,1.0459,1.0089,0.02296,90.4,5,3.81,5224.7,2.0029
61,122.4618,32.79,0,23,1.15,1.153,1.0203,0.02665,90.7,5,3.92,5284.2,2.0792
62,122.4334,31.56,0,29,1.15,1.0855,1.0112,0.02811,91.1,5,4.01,5342.2,2.1532
63,121.8274,30.65,0,32,1.15,1.0905,1.0048,0.02546,90.7,6,4.0,5398.5,2.2095
64,121.8032,29.91,0,34,1.15,1.0322,1.0,0.0207,91.1,6,3.92,5452.6,2.2636
65,121.7919,29.24,0,40,1.15,1.0468,1.0,0.01985,91.4,6,3.83,5505.8,2.3145
66,121.8251,28.7,0,40,1.15,1.0528,1.0,0.02089,91.7,6,3.79,5559.5,2.3654
67,121.8297,28.2,0,35,1.15,1.0926,1.0119,0.02356,92.1,6,3.83,5614.8,2.4241
68,121.8413,27.76,0,33,1.15,1.0534,1.0,0.02355,92.4,6,3.86,5672.1,2.4792
69,121.9095,27.15,0,33,1.15,1.0696,1.0,0.02178,92.8,6,3.85,5732.6,2.5212
