tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,117.5418,51.79,0,0,1.0,1.0,1.0,0.02017,68.8,0,6.38,110.1,0
1,117.2332,51.85,0,0,1.0,1.177,1.0,0.02736,66.8,1,6.1,220.2,0
2,117.5192,51.78,0,0,1.0,1.2292,1.0,0.03448,67.4,1,6.06,330.3,0
3,117.8052,51.76,0,0,1.0,1.2299,1.0,0.03409,68.0,1,6.02,440.4,0
4,118.0922,51.8,0,0,1.0,1.2306,1.0,0.03226,68.6,1,5.95,550.5,0
5,118.3724,51.89,0,0,1.0,1.2314,1.0,0.0307,69.1,1,5.86,660.6,0
6,118.5264,50.96,0,0,1.1183,1.5089,1.3592,0.07066,70.0,1,6.65,770.7,0
7,118.5734,49.31,0,0,1.1186,1.5103,1.3601,0.10488,71.2,1,8.03,880.7,0
8,118.6447,48.27,0,0,1.1186,1.5111,1.3601,0.09275,72.2,1,8.81,990.8,0
9,118.7347,47.58,0,0,1.1186,1.5118,1.3761,0.08295,73.2,1,9.2,1100.9,0
10,118.8376,46.9,0,0,1.1186,1.5126,1.3761,0.07461,74.2,1,9.38,1211.0,0
11,118.9508,46.22,0,0,1.1186,1.5133,1.4056,0.06797,75.0,1,9.46,1321.1,0
12,119.0743,45.85,0,0,1.1186,1.514,1.3989,0.0621,75.8,1,9.39,1431.2,0
13,119.2088,45.74,0,0,1.1186,1.5148,1.3989,0.05612,76.5,1,9.2,1541.3,0
14,119.3523,45.8,0,0,1.1186,1.5155,1.3989,0.05127,77.2,1,8.95,1651.4,0
15,118.8919,45.93,0,0,1.1186,1.5162,1.3989,0.04799,76.1,2,8.67,1761.5,0
16,119.0444,46.2,0,0,1.1186,1.517,1.3989,0.04429,76.7,2,8.39,1871.6,0
17,119.2034,46.58,0,1,1.1186,1.4774,1.3767,0.03948,77.3,2,8.08,1981.7,0
18,119.3682,47.05,0,1,1.1186,1.4495,1.3724,0.03461,77.9,2,7.73,2091.8,0
19,119.5364,47.44,0,1,1.1186,1.4261,1.3724,0.03153,78.5,2,7.4,2201.9,0
20,119.7068,47.82,0,1,1.1186,1.4092,1.3724,0.0293,79.0,2,7.1,2312.0,0
21,119.8764,48.02,1,1,1.2898,1.4027,1.3724,0.03347,79.6,2,6.99,2417.4,0.0005
