tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,117.1583,51.87,0,0,1.0,1.0,1.0,0.02016,68.7,0,6.34,110.1,0
1,116.4701,51.99,0,0,1.0,1.1769,1.0,0.02733,66.7,1,6.03,220.2,0
2,116.3739,51.94,0,0,1.0,1.2287,1.0,0.03443,67.3,1,5.99,330.3,0
3,116.2774,51.93,0,0,1.0,1.2291,1.0,0.03402,67.8,1,5.95,440.4,0
4,116.1814,51.97,0,0,1.0,1.2295,1.0,0.03214,68.4,1,5.88,550.5,0
5,116.275,52.06,0,0,1.0,1.2299,1.0,0.03055,68.9,1,5.78,660.6,0
6,116.2504,51.12,0,0,1.1183,1.5069,1.36,0.07055,69.7,1,6.58,770.7,0
7,116.2916,49.4,0,0,1.1711,1.593,1.4633,0.11535,70.8,1,8.1,880.7,0
8,115.7454,48.06,0,0,1.2298,1.662,1.4871,0.11591,71.4,2,9.19,990.8,0
9,115.7997,47.01,0,0,1.2501,1.7291,1.523,0.11155,72.4,2,9.95,1100.9,0
10,115.858,45.98,0,0,1.2692,1.7424,1.5514,0.10562,73.5,2,10.47,1211.0,0
11,115.9262,44.94,0,0,1.2798,1.7633,1.615,0.09931,74.5,2,10.82,1321.1,0
12,116.0066,44.27,0,0,1.3118,1.793,1.5818,0.0926,75.5,2,10.95,1431.2,0
13,116.0931,43.9,0,0,1.3173,1.8059,1.5938,0.08681,76.4,2,10.92,1541.3,0
14,116.1848,43.71,0,0,1.3475,1.8347,1.5963,0.0823,77.3,2,10.78,1651.4,0
15,115.709,43.78,0,0,1.3443,1.8358,1.564,0.07423,76.4,3,10.5,1761.5,0
16,115.8438,44.12,0,1,1.3449,1.8272,1.5619,0.06498,77.1,3,10.1,1871.6,0
17,115.9996,44.4,1,2,1.5193,1.7308,1.5293,0.05918,77.7,3,9.77,1981.7,0.0011
18,116.1681,44.75,2,2,1.5406,1.7158,1.5363,0.05529,78.3,3,9.47,2091.8,0.0023
19,116.3434,45.19,1,2,1.5288,1.6946,1.5372,0.05006,78.9,3,9.1,2201.9,0.0036
20,116.5327,45.77,0,2,1.5462,1.6632,1.4991,0.04301,79.4,3,8.65,2312.0,0.0044
21,116.7267,46.35,2,2,1.5378,1.6703,1.4985,0.03862,80.0,3,8.26,2419.6,0.0057
22,116.9193,47.08,2,1,1.4788,1.6527,1.4935,0.03384,80.5,3,7.85,2525.2,0.0082
23,117.1101,47.77,2,0,1.4555,1.6314,1.4983,0.02846,81.0,3,7.44,2626.5,0.0119
24,117.3368,48.69,4,0,1.4154,1.5571,1.3794,0.01694,81.6,3,6.87,2724.3,0.0155
25,117.5995,49.96,6,0,1.296,1.4561,1.3136,-0.00068,82.1,3,6.23,2816.3,0.0198
26,117.879,51.27,4,0,1.2764,1.3949,1.2563,-0.01342,82.7,3,5.69,2904.1,0.0259
27,118.1794,52.53,2,0,1.2567,1.334,1.2078,-0.02007,83.2,3,5.21,2991.7,0.0328
28,117.8866,53.57,1,0,1.215,1.2967,1.1547,-0.02361,82.6,4,4.81,3075.7,0.0358
29,118.2035,54.45,2,0,1.1783,1.2754,1.1236,-0.02613,83.1,4,4.54,3156.9,0.0405
30,118.5254,55.17,0,0,1.1709,1.2486,1.1011,-0.02601,83.6,4,4.28,3236.9,0.0442
31,118.837,55.64,3,0,1.1609,1.2151,1.0938,-0.02399,84.1,4,4.15,3314.7,0.0517
32,119.1425,55.98,2,0,1.15,1.1794,1.0638,-0.02292,84.6,4,4.02,3390.6,0.0625
33,119.4462,56.19,0,0,1.15,1.1877,1.0636,-0.01956,85.1,4,3.87,3466.5,0.066
34,119.7257,56.18,2,0,1.1668,1.1816,1.0555,-0.01311,85.6,4,3.79,3540.1,0.0707
35,119.9973,56.05,2,0,1.15,1.1753,1.0558,-0.00877,86.1,4,3.73,3613.7,0.0764
36,120.2628,55.87,1,0,1.15,1.177,1.0381,-0.00565,86.5,4,3.67,3687.3,0.0826
