tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,117.5419,52.31,0,0,1.0,1.0,1.0,0.02015,68.7,0,6.14,110.1,0
1,117.2334,52.85,0,0,1.0,1.1782,1.0,0.02737,66.7,1,5.63,220.2,0
2,117.5196,53.14,0,0,1.0,1.2317,1.0,0.03457,67.2,1,5.43,330.3,0
3,117.806,53.39,0,0,1.0,1.2338,1.0,0.03423,67.7,1,5.26,440.4,0
4,118.0934,53.64,0,0,1.0,1.2359,1.0,0.03241,68.1,1,5.09,550.5,0
5,118.3817,53.87,0,0,1.0,1.2379,1.0,0.03087,68.6,1,4.92,660.6,0
6,118.5501,53.07,0,0,1.1183,1.5166,1.36,0.07085,69.4,1,5.66,770.7,0
7,118.6171,51.58,0,0,1.1186,1.5193,1.3609,0.10509,70.5,1,6.99,880.7,0
8,118.7133,50.68,0,0,1.1186,1.5214,1.3609,0.09296,71.5,1,7.74,990.8,0
9,118.8299,50.15,0,0,1.1186,1.5234,1.377,0.08309,72.4,1,8.09,1100.9,0
10,118.9622,49.77,0,0,1.1186,1.5255,1.377,0.07475,73.2,1,8.23,1211.0,0
11,119.1057,49.35,0,0,1.1186,1.5275,1.4074,0.06813,74.0,1,8.27,1321.1,0
12,119.2603,49.05,0,0,1.1186,1.5295,1.4005,0.06227,74.7,1,8.19,1431.2,0
13,119.4264,48.88,0,0,1.1186,1.5316,1.4006,0.05628,75.3,1,8.0,1541.3,0
14,118.9912,48.86,0,0,1.1186,1.5336,1.3964,0.05211,74.2,2,7.75,1651.4,0
15,119.1762,49.02,0,0,1.1186,1.5357,1.3736,0.04691,74.8,2,7.47,1761.5,0
16,119.3696,49.28,0,0,1.1187,1.5377,1.3737,0.04263,75.2,2,7.15,1871.6,0
17,119.5692,49.63,0,0,1.1192,1.4685,1.3739,0.03812,75.7,2,6.82,1981.7,0
18,119.7746,50.01,0,0,1.1196,1.4484,1.374,0.0338,76.2,2,6.46,2091.8,0
19,119.9823,50.38,0,0,1.12,1.4461,1.3741,0.03162,76.7,2,6.14,2201.9,0
20,120.1879,50.57,0,0,1.2885,1.4282,1.3742,0.03543,77.2,2,5.99,2312.0,0.0007
21,120.3895,50.65,1,0,1.2971,1.4098,1.3744,0.03855,77.7,2,5.96,2420.4,0.0021
22,120.5936,50.82,0,0,1.2784,1.4071,1.3746,0.03539,78.1,2,5.84,2520.4,0.0035
23,120.8049,51.14,0,0,1.0999,1.4077,1.3747,0.02779,78.6,2,5.58,2619.4,0.0035
24,121.0473,51.88,0,0,1.2359,1.3028,1.2714,0.01683,79.0,2,5.11,2712.1,0.0042
25,121.3341,52.98,0,0,1.0573,1.2379,1.199,0.00122,79.5,2,4.5,2801.5,0.0042
26,121.6492,54.23,0,0,1.0436,1.1945,1.1478,-0.0125,79.9,2,4.0,2884.5,0.0042
27,121.3511,55.13,1,0,1.1815,1.1512,1.1114,-0.01062,79.3,3,3.63,2966.3,0.0046
28,121.6683,55.76,0,0,1.1689,1.131,1.0846,-0.0076,79.7,3,3.35,3047.3,0.0083
29,121.9749,56.33,1,0,1.1654,1.1124,1.0658,-0.00818,80.1,3,3.13,3126.2,0.0101
30,122.2703,56.73,3,0,1.1556,1.1023,1.0528,-0.00729,80.6,3,3.0,3203.8,0.0188
31,122.551,56.97,3,0,1.1856,1.0794,1.0435,-0.00452,81.0,3,2.88,3280.8,0.0263
32,122.8257,57.24,1,0,1.1522,1.0571,1.0196,-0.00405,81.4,3,2.73,3354.9,0.0313
33,123.1107,57.46,0,0,1.1525,1.0466,1.0196,-0.00386,81.8,3,2.59,3427.3,0.0333
34,123.3831,57.55,0,0,1.15,1.0462,1.0196,-0.00033,82.2,3,2.49,3499.4,0.0341
35,123.6375,57.47,0,0,1.15,1.0569,1.0465,0.00461,82.6,3,2.42,3570.8,0.0408
36,123.8839,57.32,0,0,1.15,1.0571,1.0441,0.00817,83.0,3,2.41,3642.2,0.0426
37,124.1092,57.16,2,0,1.15,1.0573,1.0443,0.00968,83.4,3,2.46,3712.8,0.0482
38,124.3355,56.99,1,0,1.15,1.0575,1.0174,0.01052,83.8,3,2.51,3782.9,0.0547
39,124.5495,56.78,0,0,1.15,1.0697,1.0444,0.01282,84.2,3,2.58,3852.5,0.0644
40,124.7671,56.62,1,0,1.15,1.0352,1.0173,0.01362,84.6,3,2.65,3922.1,0.069
41,124.9615,56.44,1,0,1.15,1.0326,1.0238,0.015,85.0,3,2.73,3990.2,0.0768
42,125.1412,56.15,0,0,1.15,1.0794,1.0259,0.02108,85.4,3,2.89,4058.3,0.0829
43,125.3085,55.84,1,0,1.15,1.0718,1.0239,0.02274,85.8,3,3.08,4126.5,0.0953
44,125.4729,55.61,3,0,1.15,1.057,1.0319,0.02149,86.2,3,3.25,4194.0,0.1087
45,125.6237,55.38,2,0,1.15,1.0539,1.0322,0.02152,86.6,3,3.34,4261.5,0.1232
46,125.7726,55.22,2,0,1.15,1.041,1.0256,0.01895,87.0,3,3.38,4329.0,0.1487
47,125.9071,55.08,2,0,1.15,1.028,1.0254,0.01644,87.4,3,3.38,4396.6,0.1811
48,126.0793,54.99,1,0,1.15,1.0519,1.0,0.01671,87.8,3,3.34,4464.1,0.1958
49,125.6156,54.85,1,0,1.15,1.0128,1.0,0.01694,86.8,4,3.29,4531.3,0.2138
50,125.7395,54.71,2,0,1.15,1.0128,1.0,0.01651,87.2,4,3.3,4598.5,0.2328
51,125.8451,54.51,3,0,1.15,1.0414,1.0,0.01843,87.6,4,3.34,4665.8,0.2593
52,125.9564,54.26,1,1,1.15,1.013,1.0,0.01909,88.0,4,3.37,4732.7,0.293
53,126.0797,54.0,3,1,1.15,1.0133,1.0,0.01871,88.3,4,3.42,4798.7,0.3195
54,126.1904,53.71,0,1,1.15,1.0127,1.0,0.01931,88.7,4,3.41,4864.6,0.3555
55,126.262,53.34,0,2,1.15,1.0143,1.0,0.01986,89.1,4,3.43,4930.3,0.3942
56,126.3826,52.96,1,2,1.15,1.0969,1.0,0.02318,89.5,4,3.52,4995.9,0.429
57,126.505,52.59,1,2,1.15,1.0176,1.0,0.02326,89.9,4,3.6,5061.6,0.4586
58,126.61,52.37,1,2,1.15,1.0561,1.0345,0.02346,90.3,4,3.66,5128.2,0.4876
59,126.0536,51.88,1,2,1.15,1.0389,1.0,0.02497,89.8,5,3.72,5193.5,0.5336
60,126.1726,51.48,0,2,1.15,1.0577,1.0,0.02327,90.2,5,3.73,5258.9,0.5657
61,126.2136,51.14,0,2,1.15,1.0226,1.0,0.02271,90.6,5,3.73,5324.3,0.6181
62,126.2788,50.54,0,2,1.15,1.0921,1.0032,0.02499,91.0,5,3.78,5388.6,0.6731
63,126.3836,50.0,1,3,1.15,1.0602,1.0,0.02598,91.4,5,3.85,5453.0,0.7176
64,126.4725,49.59,1,2,1.15,1.0639,1.0287,0.02667,91.8,5,3.92,5517.7,0.7695
65,126.5295,49.05,0,5,1.15,1.0271,1.0,0.0251,92.2,5,3.92,5582.3,0.8288
66,126.6354,48.71,0,6,1.15,1.0047,1.0,0.02005,92.6,5,3.81,5647.0,0.8738
67,126.6984,48.45,0,7,1.15,1.0319,1.0,0.02072,93.0,5,3.75,5712.3,0.9146
68,126.1541,47.91,1,7,1.15,1.0509,1.0019,0.02362,92.6,6,3.77,5773.1,0.9642
69,126.249,47.52,1,7,1.15,1.0592,1.0056,0.02487,93.0,6,3.83,5834.9,1.0249
