tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,112.2581,53.74,0,0,1.0,1.0,1.0,0.02,76.4,0,5.5,109.0
1,115.793,52.03,0,0,1.0027,1.1786,1.0056,0.0304,76.3,1,5.34,217.9
2,120.052,50.51,0,0,1.0027,1.2393,1.0057,0.04137,76.8,1,5.47,326.9
3,124.3777,49.37,0,0,1.0028,1.2415,1.0057,0.04079,77.4,1,5.57,435.8
4,128.7104,48.58,0,0,1.0029,1.2437,1.0058,0.03787,78.0,1,5.57,544.8
5,133.0497,48.05,0,0,1.003,1.2459,1.0058,0.03539,78.5,1,5.52,653.7
6,135.6978,46.26,0,0,1.2447,1.3593,1.2734,0.08998,78.4,3,6.67,762.7
7,135.9002,43.26,0,0,1.2572,1.3671,1.2872,0.14391,77.1,10,8.67,871.7
8,137.9767,41.21,0,0,1.2579,1.3696,1.288,0.13133,77.3,14,9.97,980.6
9,139.025,39.67,0,0,1.2581,1.3717,1.288,0.12005,76.8,20,10.7,1089.6
10,142.333,38.52,0,0,1.2581,1.3739,1.2881,0.10695,77.3,22,11.11,1198.5
11,146.2409,37.62,0,0,1.2582,1.3761,1.3191,0.09653,78.1,23,11.29,1307.5
12,150.7319,37.23,0,0,1.2583,1.3783,1.3029,0.086,79.1,23,11.21,1416.4
13,155.2662,37.11,0,1,1.2584,1.3804,1.29,0.07483,80.1,23,10.97,1525.4
14,158.6693,37.23,0,1,1.2585,1.3807,1.2901,0.06756,80.1,25,10.57,1634.4
15,163.2538,37.64,0,1,1.2587,1.3812,1.2904,0.06028,80.9,25,10.13,1743.3
16,167.8685,38.18,0,1,1.2588,1.3822,1.2903,0.05443,81.6,25,9.66,1852.3
17,172.5263,38.85,0,1,1.259,1.3356,1.2904,0.04774,82.3,25,9.14,1961.2
18,177.1734,39.63,0,1,1.2592,1.3059,1.2905,0.04098,82.9,25,8.57,2070.2
19,181.837,40.41,0,0,1.2593,1.2746,1.2906,0.03557,83.6,25,8.06,2179.1
20,186.4979,41.01,0,0,1.2595,1.2615,1.2908,0.03156,84.2,25,7.57,2288.1
21,191.0757,41.52,0,0,1.2752,1.2589,1.2909,0.02996,84.8,25,7.16,2392.3
22,195.6166,42.0,0,0,1.2733,1.2409,1.291,0.0283,85.4,25,6.8,2494.3
23,200.102,42.51,0,0,1.2478,1.2357,1.2911,0.02494,85.9,25,6.44,2593.1
24,205.1596,44.66,0,0,1.0002,1.1176,1.009,-0.02535,86.5,25,5.56,2685.4
25,208.7512,46.61,0,0,1.0,1.1148,1.0091,-0.039,86.6,26,4.9,2775.0
26,212.9008,47.95,0,0,1.0,1.0999,1.0092,-0.03093,87.2,26,4.39,2863.1
27,216.9593,48.88,0,0,1.0001,1.0694,1.0093,-0.02532,87.7,26,3.99,2950.4
28,220.9413,49.65,0,0,1.0,1.054,1.0094,-0.0206,88.3,26,3.61,3034.1
29,224.8127,50.11,0,0,1.0,1.0438,1.0095,-0.01569,88.8,26,3.32,3115.6
30,228.597,50.38,0,0,1.0,1.0282,1.0096,-0.01171,89.3,26,3.09,3197.2
31,232.238,50.5,0,0,1.0,1.0246,1.0097,-0.00802,89.8,26,2.91,3278.1
32,235.7715,50.52,0,0,1.0,1.0177,1.0098,-0.00432,90.3,26,2.77,3359.0
33,239.2227,50.46,0,0,1.0,1.0179,1.0099,-0.00099,90.8,26,2.67,3435.1
34,242.5794,50.35,0,0,1.0,1.0182,1.0086,0.00211,91.3,26,2.6,3509.4
35,245.8804,50.2,0,0,1.0,1.0185,1.0087,0.00475,91.8,26,2.56,3582.7
36,249.1501,50.09,0,0,1.0,1.0035,1.0088,0.00632,92.3,26,2.57,3655.3
37,252.3657,49.97,0,0,1.0,1.0036,1.0089,0.00765,92.8,26,2.6,3726.3
38,254.7337,49.8,0,0,1.0,1.0005,1.0014,0.00973,92.8,27,2.65,3796.6
39,257.8128,49.71,0,0,1.0,1.0006,1.0014,0.01064,93.3,27,2.73,3866.7
40,260.8666,49.58,0,0,1.0,1.0009,1.0015,0.01206,93.8,27,2.82,3936.8
41,263.2856,49.41,0,0,1.0,1.001,1.0015,0.01413,93.7,28,2.92,4006.8
42,266.0819,49.29,0,0,1.0,1.0012,1.0015,0.01503,94.2,28,3.04,4076.3
43,268.868,49.18,0,0,1.0,1.0014,1.0015,0.0158,94.7,28,3.14,4145.8
44,271.6526,49.11,0,0,1.0,1.0009,1.0,0.01631,95.2,28,3.23,4215.0
45,274.4329,49.05,0,0,1.0,1.001,1.0,0.01675,95.7,28,3.31,4283.8
46,277.2089,48.99,0,0,1.0,1.0011,1.0,0.01724,96.2,28,3.38,4352.7
47,279.9767,48.95,0,0,1.0,1.0011,1.0,0.01766,96.7,28,3.44,4421.6
48,282.7116,48.91,0,0,1.0,1.0012,1.0,0.01802,97.2,28,3.5,4490.5
49,285.4456,48.88,0,0,1.0,1.0,1.0,0.01826,97.6,28,3.55,4558.9
50,288.1702,48.85,0,0,1.0,1.0,1.0,0.01846,98.1,28,3.59,4627.1
51,290.8757,48.83,0,0,1.0,1.0,1.0,0.01869,98.6,28,3.63,4694.4
52,292.7752,48.77,0,0,1.0,1.0,1.0,0.01974,98.6,29,3.66,4761.7
53,295.3453,48.74,0,0,1.0,1.0,1.0,0.01978,99.1,29,3.71,4829.0
54,297.9261,48.73,0,0,1.0,1.0,1.0,0.01981,99.6,29,3.74,4896.3
55,299.6344,48.67,0,0,1.0,1.0,1.0,0.02069,99.6,30,3.77,4963.7
56,300.399,48.56,0,0,1.0,1.0,1.0,0.02229,98.9,32,3.81,5030.5
57,302.881,48.54,0,0,1.0,1.0,1.0,0.02195,99.4,32,3.87,5097.4
58,305.3708,48.53,0,0,1.0,1.0,1.0,0.02166,99.9,32,3.91,5164.3
59,307.8767,48.52,0,0,1.0,1.0,1.0,0.02141,100.4,32,3.93,5231.1
60,310.4049,48.53,0,0,1.0,1.0,1.0,0.0212,100.9,32,3.94,5298.0
61,312.039,48.49,0,0,1.0,1.0,1.0,0.02187,100.9,33,3.95,5364.9
62,313.6451,48.45,0,0,1.0,1.0,1.0,0.02244,100.9,34,3.97,5431.7
63,316.1304,48.45,0,0,1.0,1.0,1.0,0.02208,101.4,34,3.99,5498.6
