tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,111.9156,53.16,0,0,1.0,1.0,1.0,0.02,76.5,0,5.78,109.0
1,115.1123,51.06,0,0,1.0,1.1671,1.0,0.02899,76.4,1,5.79,217.9
2,118.9979,49.26,0,0,1.0,1.2265,1.0,0.03868,77.1,1,6.03,326.9
3,122.9214,47.91,0,0,1.0,1.2271,1.0,0.03839,77.7,1,6.22,435.8
4,126.8287,46.96,0,0,1.0,1.2277,1.0,0.03568,78.4,1,6.29,544.8
5,130.8961,46.31,0,0,1.0,1.2283,1.0,0.03337,79.0,1,6.3,653.7
6,133.2855,44.38,0,0,1.2415,1.3399,1.2672,0.08838,78.9,3,7.51,762.7
7,132.9378,41.16,0,0,1.2793,1.4251,1.3653,0.15521,77.3,11,9.67,871.7
8,132.9702,38.12,0,0,1.3808,1.5247,1.4246,0.16982,76.5,19,11.64,980.6
9,133.0119,35.35,0,0,1.3951,1.5719,1.4569,0.17447,75.0,28,13.25,1089.6
10,134.803,33.11,0,0,1.412,1.6063,1.467,0.16455,74.3,34,14.38,1198.5
11,137.2328,31.2,0,0,1.441,1.6179,1.5123,0.15608,74.2,39,15.17,1307.5
12,141.3453,30.02,0,0,1.4467,1.648,1.5146,0.14567,75.0,41,15.6,1416.4
13,144.6255,29.55,0,1,1.4382,1.6295,1.4699,0.12715,75.0,45,15.48,1525.4
14,149.4429,29.8,0,4,1.4452,1.6515,1.495,0.10868,75.6,46,15.02,1634.4
15,154.8355,30.34,0,5,1.4591,1.6728,1.4854,0.09893,76.7,46,14.48,1741.5
16,160.3403,31.03,0,6,1.4975,1.7154,1.4772,0.09125,77.7,46,13.9,1848.6
17,165.9682,31.87,0,6,1.4903,1.6458,1.4704,0.0822,78.6,46,13.24,1954.9
18,171.6633,32.93,0,6,1.4893,1.6213,1.4582,0.07068,79.3,46,12.48,2061.1
19,177.543,34.37,0,5,1.4936,1.5153,1.4122,0.05596,80.0,46,11.57,2167.3
20,183.2878,36.27,0,2,1.4784,1.4889,1.4028,0.03984,80.6,46,10.49,2275.4
21,188.9713,37.9,0,1,1.4288,1.4697,1.3822,0.03065,81.2,46,9.47,2381.7
22,194.4885,39.27,0,0,1.3784,1.4364,1.3848,0.02096,81.8,46,8.53,2484.8
23,199.9266,40.38,0,0,1.338,1.4111,1.3878,0.0132,82.4,46,7.67,2585.5
24,206.0713,43.17,0,0,1.0433,1.2484,1.0745,-0.03717,83.1,46,6.65,2682.4
25,211.1512,45.34,0,0,1.0399,1.2125,1.0675,-0.04017,83.7,46,5.87,2774.4
26,216.0328,46.82,0,0,1.0432,1.1914,1.0699,-0.03525,84.4,46,5.3,2861.7
27,220.7803,47.75,0,0,1.0469,1.1727,1.0553,-0.02941,85.0,46,4.88,2942.8
28,224.7362,48.39,0,0,1.0511,1.131,1.0365,-0.02722,85.1,47,4.56,3022.8
29,229.2184,48.94,0,0,1.0275,1.0937,1.034,-0.0281,85.8,47,4.32,3101.4
30,233.5796,49.37,0,0,1.0005,1.0818,1.0341,-0.02784,86.5,47,4.13,3177.4
31,237.1589,49.56,0,0,1.0007,1.065,1.0348,-0.02337,86.6,48,3.99,3252.8
32,240.9854,49.64,0,0,1.0009,1.0386,1.0349,-0.01905,87.3,48,3.89,3328.2
33,244.6809,49.61,0,0,1.0011,1.0344,1.0261,-0.01526,88.0,48,3.82,3403.6
34,247.5438,49.45,0,0,1.0015,1.0287,1.0222,-0.01043,88.1,49,3.76,3478.1
35,250.9753,49.32,0,0,1.0,1.0102,1.0131,-0.00805,88.7,49,3.72,3552.1
36,254.3662,49.16,0,0,1.0,1.0056,1.0131,-0.00573,89.4,49,3.69,3626.2
37,257.677,48.96,0,0,1.0,1.0057,1.0133,-0.00209,90.0,49,3.67,3699.4
38,260.84,48.73,0,0,1.0,1.0045,1.0137,0.00121,90.7,49,3.65,3772.2
39,263.2452,48.46,0,0,1.0,1.0045,1.0009,0.00396,90.8,50,3.64,3842.2
40,266.1635,48.25,0,0,1.0,1.0045,1.0009,0.00548,91.5,50,3.67,3912.2
41,269.0471,48.04,0,0,1.0,1.0,1.0009,0.00743,92.1,50,3.73,3981.3
42,271.1254,47.8,0,0,1.0,1.0,1.0,0.00987,92.3,51,3.81,4049.6
43,273.1429,47.56,0,0,1.0,1.0,1.0,0.01218,92.3,52,3.92,4118.0
44,275.8838,47.38,0,0,1.0,1.0,1.0,0.01335,93.0,52,4.05,4186.3
45,277.8291,47.17,0,0,1.0,1.0,1.0,0.0152,93.2,53,4.17,4254.5
46,280.4807,47.01,0,0,1.0,1.0,1.0,0.01592,93.8,53,4.3,4322.6
47,283.1374,46.89,0,0,1.0,1.0,1.0,0.01653,94.5,53,4.41,4390.7
48,285.7843,46.78,0,0,1.0,1.0,1.0,0.01705,95.1,53,4.51,4458.3
49,288.4,46.68,0,0,1.0,1.0,1.0,0.0175,95.8,53,4.6,4525.8
50,291.0071,46.6,0,0,1.0,1.0,1.0,0.01787,96.4,53,4.68,4593.3
51,292.8162,46.48,0,0,1.0,1.0,1.0,0.01904,96.6,54,4.75,4660.6
52,295.397,46.4,0,0,1.0,1.0,1.0,0.01919,97.3,54,4.83,4727.8
