tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,117.1583,51.87,0,0,1.0,1.0,1.0,0.02016,68.7,0,6.34,110.1,0
1,116.4701,51.99,0,0,1.0,1.1769,1.0,0.02733,66.7,1,6.03,220.2,0
2,116.3739,51.94,0,0,1.0,1.2287,1.0,0.03443,67.3,1,5.99,330.3,0
3,116.2774,51.93,0,0,1.0,1.2291,1.0,0.03402,67.8,1,5.95,440.4,0
4,116.1814,51.97,0,0,1.0,1.2295,1.0,0.03214,68.4,1,5.88,550.5,0
5,116.275,52.06,0,0,1.0,1.2299,1.0,0.03055,68.9,1,5.78,660.6,0
6,116.2504,51.12,0,0,1.1183,1.5069,1.36,0.07055,69.7,1,6.58,770.7,0
7,116.2916,49.4,0,0,1.1711,1.593,1.4633,0.11535,70.8,1,8.1,880.7,0
8,115.7454,48.06,0,0,1.2298,1.662,1.4871,0.11591,71.4,2,9.19,990.8,0
9,115.7997,47.01,0,0,1.2501,1.7291,1.523,0.11155,72.4,2,9.95,1100.9,0
10,115.858,45.98,0,0,1.2692,1.7424,1.5514,0.10562,73.5,2,10.47,1211.0,0
11,115.9262,44.94,0,0,1.2798,1.7633,1.615,0.09931,74.5,2,10.82,1321.1,0
12,116.0066,44.27,0,0,1.3118,1.793,1.5818,0.0926,75.5,2,10.95,1431.2,0
13,116.0931,43.9,0,0,1.3173,1.8059,1.5938,0.08681,76.4,2,10.92,1541.3,0
14,116.1848,43.71,0,0,1.3475,1.8347,1.5963,0.0823,77.3,2,10.78,1651.4,0
15,115.709,43.78,0,0,1.3443,1.8358,1.564,0.07423,76.4,3,10.5,1761.5,0
16,115.8438,44.12,0,1,1.3449,1.8272,1.5619,0.06498,77.1,3,10.1,1871.6,0
17,115.9996,44.4,1,2,1.5193,1.7308,1.5293,0.05918,77.7,3,9.77,1981.7,0.0011
18,116.171,44.78,2,2,1.5406,1.715,1.5072,0.05429,78.3,3,9.43,2091.8,0.0017
19,116.35,45.27,1,2,1.5204,1.692,1.506,0.04797,78.9,3,9.03,2201.9,0.0032
20,116.5392,45.86,0,2,1.5453,1.6279,1.5099,0.04192,79.4,3,8.57,2312.0,0.004
21,116.7325,46.48,1,2,1.4987,1.6147,1.5104,0.03704,79.9,3,8.14,2414.5,0.0046
22,116.9393,47.31,1,1,1.4797,1.612,1.4714,0.02922,80.4,3,7.65,2515.6,0.0071
23,117.1507,48.12,2,0,1.4973,1.5665,1.4557,0.02391,81.0,3,7.18,2616.0,0.0091
24,117.383,49.11,1,0,1.4247,1.4743,1.3406,0.01321,81.5,3,6.55,2714.0,0.0119
25,117.6459,50.44,3,0,1.3396,1.3979,1.2633,-0.00438,82.0,3,5.92,2805.1,0.0128
26,117.9334,51.8,4,0,1.3037,1.353,1.2073,-0.01522,82.6,3,5.44,2893.3,0.015
27,118.234,53.07,1,0,1.2643,1.2953,1.1661,-0.0215,83.1,3,4.99,2978.6,0.0166
28,118.546,54.18,3,0,1.1986,1.2385,1.1417,-0.02658,83.6,3,4.67,3061.8,0.0188
29,118.8583,55.05,0,0,1.1971,1.227,1.1119,-0.02744,84.1,3,4.37,3141.6,0.022
30,119.1663,55.65,1,0,1.1694,1.2053,1.0982,-0.02505,84.5,3,4.15,3220.5,0.0237
31,119.4607,56.08,2,0,1.1646,1.1916,1.0839,-0.02299,85.0,3,4.0,3298.1,0.0273
32,119.767,56.43,2,0,1.15,1.1491,1.0423,-0.02324,85.5,3,3.88,3374.4,0.0299
33,120.0638,56.63,2,0,1.15,1.1363,1.0465,-0.02136,86.0,3,3.79,3448.1,0.035
34,120.3454,56.63,4,0,1.15,1.1386,1.0453,-0.01505,86.5,3,3.75,3520.4,0.0425
35,120.6001,56.47,5,0,1.15,1.1314,1.0455,-0.00948,87.0,3,3.74,3592.7,0.0531
36,120.2304,56.19,2,0,1.15,1.1109,1.0457,-0.00454,86.4,4,3.69,3664.4,0.0615
