tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,85.4195,58.33,0,0,1.0,1.0,1.0,0.0204,78.2,0,5.69,17.8,0
1,85.1889,57.52,0,0,1.0,1.0,1.0,0.02074,78.6,0,5.46,35.7,0
2,84.9549,56.28,0,0,1.0,1.0,1.0,0.02103,79.1,0,5.41,53.5,0
3,84.7156,55.04,0,0,1.0,1.0,1.0,0.02127,79.5,0,5.46,71.3,0
4,84.4748,53.9,0,0,1.0,1.0,1.0,0.02149,79.9,0,5.58,89.2,0
5,84.4005,52.8,0,0,1.0,1.0,1.0,0.02167,80.4,0,5.92,107.0,0
6,84.3247,51.88,0,0,1.0,1.0,1.0,0.02183,80.8,0,6.29,124.8,0
7,84.4053,51.18,0,0,1.0,1.0,1.0,0.02196,81.2,0,6.58,142.7,0
8,84.4848,50.49,0,0,1.0,1.0,1.0,0.02208,81.6,0,6.85,160.5,0
9,84.5634,49.9,0,0,1.0,1.0,1.0,0.02218,82.0,0,7.06,178.3,0
10,84.6385,49.47,0,0,1.0,1.0,1.0,0.02227,82.4,0,7.21,196.2,0
11,84.7129,48.89,0,0,1.0,1.0,1.0,0.02235,82.8,0,7.4,214.0,0
12,84.786,48.39,0,0,1.0,1.0,1.0,0.02242,83.2,0,7.55,231.8,0
13,84.8587,47.94,0,0,1.0,1.0,1.0,0.02248,83.6,0,7.69,249.7,0
14,84.931,47.58,0,0,1.0,1.0,1.0,0.02253,84.0,0,7.8,267.5,0
15,85.0032,47.32,0,0,1.0,1.0,1.0,0.02258,84.4,0,7.87,285.3,0
16,85.0751,47.12,0,0,1.0,1.0,1.0,0.02262,84.8,0,7.93,303.1,0
17,85.1469,46.96,0,0,1.0,1.0,1.0,0.02266,85.2,0,7.99,321.0,0
18,85.2187,46.88,0,0,1.0,1.0,1.0,0.02269,85.6,0,8.03,338.8,0
19,85.2903,46.79,0,0,1.0,1.0,1.0,0.02272,86.0,0,8.07,356.6,0
20,85.362,46.76,0,0,1.0,1.0,1.0,0.02274,86.4,0,8.09,374.5,0
21,85.4351,46.73,0,0,1.0,1.0,1.0,0.02277,86.8,0,8.12,392.3,0
22,85.5065,46.72,0,0,1.0,1.0,1.0,0.02278,87.2,0,8.13,409.9,0
23,85.5775,46.74,0,0,1.0,1.0,1.0,0.0228,87.5,0,8.15,427.5,0
24,85.6468,46.71,0,0,1.0,1.0,1.0,0.02283,87.9,0,8.17,445.1,0
25,85.7161,46.69,0,0,1.0,1.0,1.0,0.02284,88.3,0,8.19,462.7,0
26,85.7874,46.59,0,0,1.0,1.0,1.0,0.02286,88.7,0,8.21,479.7,0
27,85.8566,46.52,0,0,1.0,1.0,1.0,0.02289,89.0,0,8.24,496.8,0
28,85.9259,46.46,0,0,1.0,1.0,1.0,0.0229,89.4,0,8.26,513.8,0
29,85.9971,46.41,0,0,1.0,1.0,1.0,0.02292,89.8,0,8.27,530.8,0
30,86.0662,46.37,0,0,1.0,1.0,1.0,0.02295,90.2,0,8.3,547.4,0
31,86.1333,46.39,0,0,1.0,1.0,1.0,0.02296,90.5,0,8.31,563.9,0
32,86.2023,46.38,0,0,1.0,1.0,1.0,0.02306,90.9,0,8.32,580.5,0
33,86.2694,46.39,0,0,1.0,1.0,1.0,0.02314,91.3,0,8.33,597.0,0
34,86.3381,46.4,0,0,1.0,1.0004,1.0,0.02323,91.7,0,8.34,612.2,0
35,86.4022,46.5,0,0,1.0,1.002,1.0,0.02337,92.1,0,8.34,625.9,0
