tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,85.5328,58.32,0,0,1.0,1.0,1.0,0.02,78.3,0,5.8,17.8
1,85.4378,57.52,0,0,1.0,1.0,1.0,0.02,78.8,0,5.64,35.7
2,85.347,56.3,0,0,1.0,1.0,1.0,0.02,79.4,0,5.65,53.5
3,85.253,55.08,0,0,1.0,1.0,1.0,0.02,79.9,0,5.74,71.3
4,85.1578,53.96,0,0,1.0,1.0,1.0,0.02,80.5,0,5.89,89.2
5,85.2321,52.87,0,0,1.0,1.0,1.0,0.02,81.0,0,6.24,107.0
6,85.3079,51.97,0,0,1.0,1.0,1.0,0.02,81.5,0,6.63,124.8
7,85.5431,51.28,0,0,1.0,1.0,1.0,0.02,82.1,0,6.92,142.7
8,85.7784,50.61,0,0,1.0,1.0,1.0,0.02,82.6,0,7.19,160.5
9,86.0138,50.03,0,0,1.0,1.0,1.0,0.02,83.1,0,7.4,178.3
10,86.2465,49.6,0,0,1.0,1.0,1.0,0.02,83.6,0,7.55,196.2
11,86.4792,49.02,0,0,1.0,1.0,1.0,0.02,84.1,0,7.72,214.0
12,86.7108,48.53,0,0,1.0,1.0,1.0,0.02,84.6,0,7.87,231.8
13,86.9424,48.08,0,0,1.0,1.0,1.0,0.02,85.0,0,8.0,249.7
14,87.1742,47.73,0,0,1.0,1.0,1.0,0.02,85.5,0,8.11,267.5
15,87.406,47.47,0,0,1.0,1.0,1.0,0.02,86.0,0,8.17,285.3
16,87.6379,47.28,0,0,1.0,1.0,1.0,0.02,86.5,0,8.23,303.1
17,87.8698,47.13,0,0,1.0,1.0,1.0,0.02,86.9,0,8.29,321.0
18,88.1019,47.03,0,0,1.0,1.0,1.0,0.02,87.4,0,8.32,338.8
19,88.334,46.94,0,0,1.0,1.0,1.0,0.02,87.9,0,8.36,356.6
20,88.5662,46.9,0,0,1.0,1.0,1.0,0.02,88.3,0,8.38,374.5
21,88.7937,46.84,0,0,1.0,1.0,1.0,0.02,88.8,0,8.4,392.3
22,89.0121,46.84,0,0,1.0,1.0,1.0,0.02,89.3,0,8.41,409.5
23,88.7474,46.3,0,0,1.0,1.0,1.0,0.02937,80.6,1,8.42,425.2
24,88.9129,46.18,0,0,1.0,1.0,1.0,0.02797,81.2,1,8.6,439.4
25,89.0728,46.08,0,0,1.0,1.0,1.0,0.02677,81.7,1,8.71,453.5
26,89.2425,45.95,0,0,1.0,1.0,1.0,0.02576,82.2,1,8.78,467.3
27,89.4088,45.87,0,0,1.0,1.0,1.0,0.02489,82.7,1,8.82,478.8
28,89.5776,45.83,0,0,1.0,1.0,1.0,0.02416,83.2,1,8.83,490.2
29,89.7552,45.85,0,0,1.0,1.0,1.0,0.02354,83.6,1,8.82,501.7
30,89.9259,45.85,0,0,1.0,1.0,1.0,0.02301,84.1,1,8.82,513.1
31,90.0932,45.87,0,0,1.0,1.0,1.0,0.02255,84.5,1,8.81,524.5
32,90.2598,45.91,0,0,1.0,1.0,1.0,0.02217,84.9,1,8.79,536.0
33,90.4219,45.96,0,0,1.0,1.0,1.0,0.02185,85.3,1,8.78,547.4
34,90.5856,46.02,0,0,1.0,1.0004,1.0,0.02159,85.8,1,8.76,558.9
35,90.7407,46.13,0,0,1.0,1.002,1.0,0.02144,86.2,1,8.73,570.3
