tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,87.9376,58.31,0,0,1.0,1.0,1.0,0.02,78.3,0,5.78,18.1
1,90.5036,57.5,0,0,1.0,1.0,1.0,0.02,78.8,0,5.62,36.2
2,93.1285,56.41,0,0,1.0,1.0,1.0,0.02,79.4,0,5.6,54.2
3,95.7134,55.41,0,0,1.0,1.0,1.0,0.02,80.0,0,5.63,72.3
4,98.5019,54.57,0,0,1.0,1.0,1.0,0.02,80.5,0,5.69,90.4
5,101.3112,53.81,0,0,1.0,1.0,1.0,0.02,81.1,0,5.82,108.5
6,102.7448,52.72,0,0,1.0924,1.0,1.0166,0.03432,81.6,0,6.31,126.6
7,103.0021,51.22,0,0,1.1664,1.0,1.0298,0.05224,74.0,1,6.87,144.6
8,103.1492,50.0,0,0,1.2255,1.0,1.0404,0.05605,74.7,1,7.67,162.7
9,103.3274,48.97,0,0,1.278,1.0,1.0489,0.05779,75.5,1,8.3,180.8
10,103.5729,48.18,0,0,1.3218,1.0,1.0557,0.05783,76.7,1,8.76,198.9
11,103.9526,47.45,0,0,1.3569,1.0,1.0611,0.05661,77.9,1,9.1,217.0
12,104.1445,46.37,0,0,1.385,1.0,1.0655,0.06399,76.1,2,9.32,235.0
13,103.561,45.88,0,0,1.4055,1.0,1.069,0.06013,77.3,2,9.62,253.1
14,103.4998,45.54,0,0,1.4239,1.0,1.0718,0.05644,78.5,2,9.76,271.2
15,103.8392,45.39,0,0,1.4386,1.0,1.074,0.05283,79.8,2,9.79,289.3
16,104.5184,45.58,0,0,1.4505,1.0,1.0758,0.04939,76.8,2,9.74,307.4
17,105.4871,45.56,0,0,1.4601,1.0,1.0772,0.04617,77.8,2,9.62,325.4
18,106.7033,45.82,0,0,1.4678,1.0,1.0783,0.04319,76.1,2,9.47,343.5
19,108.1314,45.86,0,0,1.4741,1.0,1.0792,0.04047,77.1,2,9.31,361.6
20,109.7429,45.95,0,0,1.4791,1.0,1.08,0.03802,78.1,2,9.13,379.5
21,111.5137,46.08,0,0,1.4833,1.0,1.0805,0.03581,79.1,2,8.96,395.7
22,113.2771,46.39,0,0,1.4618,1.0,1.081,0.03178,80.0,2,8.72,411.9
23,115.0991,46.35,0,0,1.4247,1.0,1.0814,0.03637,76.1,3,8.43,428.2
24,114.1275,46.91,0,0,1.3729,1.0,1.0817,0.02953,77.1,3,8.24,444.1
25,113.9552,47.55,0,0,1.316,1.0,1.0819,0.02308,78.2,3,7.93,458.5
26,114.4533,48.15,0,0,1.2705,1.0,1.0821,0.01842,79.2,3,7.6,472.8
27,115.4598,48.68,0,0,1.2341,1.0,1.0823,0.01518,80.2,3,7.31,487.1
28,116.8653,49.13,0,0,1.2049,1.0,1.0824,0.01304,81.2,3,7.07,501.1
29,118.583,49.55,0,0,1.1816,1.0,1.0825,0.01174,82.1,3,6.87,514.8
30,120.452,49.85,0,0,1.163,1.0,1.0826,0.01107,83.1,3,6.73,528.6
31,122.4922,50.08,0,0,1.1481,1.0,1.0826,0.01085,84.1,3,6.61,542.3
32,124.6598,50.28,0,0,1.1361,1.0,1.0827,0.01097,85.1,3,6.51,556.0
33,126.9206,50.42,0,0,1.1266,1.0,1.0827,0.0113,86.1,3,6.42,569.7
34,129.1741,50.53,0,0,1.1189,1.0,1.0827,0.01179,87.1,3,6.36,583.4
35,131.4738,50.61,0,0,1.1128,1.0,1.0828,0.01236,88.1,3,6.31,597.2
