tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,85.4195,58.33,0,0,1.0,1.0,1.0,0.0204,78.2,0,5.69,17.8,0
1,85.1889,57.52,0,0,1.0,1.0,1.0,0.02074,78.6,0,5.46,35.7,0
2,84.9549,56.28,0,0,1.0,1.0,1.0,0.02103,79.1,0,5.41,53.5,0
3,84.7156,55.04,0,0,1.0,1.0,1.0,0.02127,79.5,0,5.46,71.3,0
4,84.4748,53.9,0,0,1.0,1.0,1.0,0.02149,79.9,0,5.58,89.2,0
5,84.4005,52.8,0,0,1.0,1.0,1.0,0.02167,80.4,0,5.92,107.0,0
6,84.3247,51.86,0,0,1.0,1.0,1.0,0.02183,80.8,0,6.3,124.8,0
7,84.4053,51.14,0,0,1.0,1.0,1.0,0.02196,81.2,0,6.6,142.7,0
8,84.4848,50.45,0,0,1.0,1.0,1.0,0.02208,81.7,0,6.87,160.5,0
9,84.5634,49.87,0,0,1.0,1.0,1.0,0.02218,82.1,0,7.09,178.3,0
10,84.6385,49.44,0,0,1.0,1.0,1.0,0.02227,82.5,0,7.24,196.2,0
11,84.7129,48.84,0,0,1.0,1.0,1.0,0.02235,82.9,0,7.43,214.0,0
12,84.786,48.32,0,0,1.0,1.0,1.0,0.02242,83.4,0,7.58,231.8,0
13,84.8587,47.84,0,0,1.0,1.0,1.0,0.02248,83.8,0,7.72,249.7,0
14,84.931,47.5,0,0,1.0,1.0,1.0,0.02253,84.2,0,7.82,267.5,0
15,85.0032,47.23,0,0,1.0,1.0,1.0,0.02258,84.6,0,7.89,285.3,0
16,84.5361,44.04,0,0,2.3789,1.0,1.4851,0.12367,85.7,0,10.28,303.1,0
17,83.5505,39.17,0,0,2.3828,1.0,1.4864,0.2101,87.0,0,13.96,321.0,0
18,82.7091,35.94,0,0,2.3828,1.0,1.4864,0.1834,88.2,0,16.14,338.8,0
19,81.9921,33.89,0,0,2.3828,1.0,1.4864,0.1606,89.4,0,17.3,356.6,0
20,81.3502,32.54,0,0,2.7068,1.0,1.4864,0.14677,90.6,0,17.89,374.5,0.0018
21,80.824,31.67,0,0,2.3657,1.0,1.4496,0.12733,91.7,0,17.88,392.3,0.0018
22,80.4027,31.93,0,1,2.3538,1.0,1.4864,0.10729,92.9,0,17.45,410.1,0.0018
23,79.6246,31.93,0,1,2.3669,1.0,1.4496,0.10697,84.4,1,16.94,428.0,0.0018
24,79.2948,31.74,0,1,2.3538,1.0,1.4864,0.09676,85.3,1,16.57,445.8,0.0018
25,79.0072,32.4,0,1,2.3538,1.0,1.4864,0.08936,86.1,1,16.14,463.4,0.0018
26,78.7403,32.84,1,1,2.7248,1.0,1.4496,0.08646,87.0,1,16.0,480.9,0.0038
27,78.4969,33.02,1,1,2.6875,1.0,1.4496,0.08341,88.0,1,15.82,498.4,0.0059
28,78.2801,35.2,1,0,2.8286,1.0,1.4496,0.07712,88.9,1,15.45,516.0,0.008
29,78.0952,35.41,1,0,2.7432,1.0,1.4496,0.07095,89.8,1,15.08,533.5,0.0101
30,77.9484,35.77,1,0,2.7432,1.0,1.4496,0.06334,90.6,1,14.64,551.0,0.0123
31,77.8164,36.08,1,0,2.7432,1.0,1.4496,0.05832,91.4,1,14.25,568.3,0.0169
32,77.6757,36.33,0,0,2.7432,1.0,1.4496,0.06265,92.1,1,13.8,584.0,0.0191
33,77.5194,36.48,0,0,2.7432,1.0,1.4496,0.06645,92.9,1,13.52,599.8,0.0229
34,77.3944,36.89,0,0,2.3854,1.0,1.4496,0.05958,93.5,1,13.14,614.6,0.0229
35,77.2597,37.19,0,0,2.7432,1.0,1.4496,0.05981,94.3,1,12.87,629.5,0.0266
