tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,85.4195,58.33,0,0,1.0,1.0,1.0,0.0204,78.2,0,5.69,17.8,0
1,85.1889,57.52,0,0,1.0,1.0,1.0,0.02074,78.6,0,5.46,35.7,0
2,84.9549,56.28,0,0,1.0,1.0,1.0,0.02103,79.1,0,5.41,53.5,0
3,84.7156,55.04,0,0,1.0,1.0,1.0,0.02127,79.5,0,5.46,71.3,0
4,84.4667,53.89,0,0,1.0,1.0,1.0,0.02154,80.0,0,5.59,89.2,0
5,84.3841,52.78,0,0,1.0,1.0,1.0,0.02177,80.4,0,5.92,107.0,0
6,84.3081,51.86,0,0,1.0,1.0,1.0,0.02196,80.8,0,6.3,124.8,0
7,84.3883,51.15,0,0,1.0,1.0,1.0,0.02213,81.3,0,6.6,142.7,0
8,84.4673,50.46,0,0,1.0,1.0,1.0,0.02228,81.7,0,6.87,160.5,0
9,84.5454,49.87,0,0,1.0,1.0,1.0,0.0224,82.1,0,7.08,178.3,0
10,84.6199,49.43,0,0,1.0,1.0,1.0,0.02251,82.5,0,7.24,196.2,0
11,84.6937,48.85,0,0,1.0,1.0,1.0,0.02256,82.9,0,7.42,214.0,0
12,84.7662,48.35,0,0,1.0,1.0,1.0,0.02265,83.4,0,7.57,231.8,0
13,84.8382,47.89,0,0,1.0,1.0,1.0,0.02273,83.8,0,7.71,249.7,0
14,84.9099,47.53,0,0,1.0,1.0,1.0,0.0228,84.2,0,7.82,267.5,0
15,84.9814,47.26,0,0,1.0,1.0,1.0,0.02286,84.6,0,7.9,285.3,0
16,85.0525,47.06,0,0,1.0,1.0,1.0,0.02291,85.0,0,7.96,303.1,0
17,85.1236,46.9,0,0,1.0,1.0,1.0,0.02296,85.4,0,8.03,321.0,0
18,85.1944,46.82,0,0,1.0,1.0,1.0,0.023,85.8,0,8.06,338.8,0
19,85.2653,46.73,0,0,1.0,1.0,1.0,0.02299,86.2,0,8.1,356.6,0
20,85.3362,46.7,0,0,1.0,1.0,1.0,0.02297,86.6,0,8.12,374.5,0
21,85.4087,46.68,0,0,1.0,1.0,1.0,0.02296,87.0,0,8.14,392.3,0
22,85.4795,46.67,0,0,1.0,1.0,1.0,0.02295,87.4,0,8.15,409.9,0
23,85.5501,46.7,0,0,1.0,1.0,1.0,0.02295,87.7,0,8.17,427.5,0
24,85.619,46.67,0,0,1.0,1.0,1.0,0.02296,88.1,0,8.19,445.1,0
25,85.688,46.51,0,0,1.0,1.0,1.0,0.02295,88.5,0,8.21,462.7,0
26,85.7446,46.28,0,0,1.0,1.0,1.0,0.02296,88.9,0,8.43,479.7,0
27,85.7991,46.1,0,0,1.0,1.0,1.0,0.02297,89.2,0,8.62,496.8,0
28,85.8535,45.96,0,0,1.0,1.0,1.0,0.02297,89.6,0,8.76,513.8,0
29,85.8598,45.53,1,0,1.15,1.0,1.0,0.0298,90.1,0,9.27,530.8,0.0034
30,85.798,44.55,0,0,1.15,1.0,1.0,0.03556,90.5,0,9.75,547.9,0.0069
31,85.7441,43.67,0,0,1.15,1.0,1.0,0.03398,91.0,0,10.12,564.6,0.0103
32,85.7417,43.53,0,0,1.0,1.0,1.0,0.02685,91.4,0,10.15,581.1,0.0103
33,85.7678,43.59,0,0,1.0,1.0,1.0,0.0207,91.8,0,10.04,597.4,0.0103
34,85.7904,43.83,0,0,1.0,1.0005,1.0,0.02114,92.2,0,9.93,612.0,0.0103
35,85.8111,44.01,0,0,1.0,1.0025,1.0,0.02163,92.6,0,9.86,626.6,0.0103
