tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,85.4195,58.33,0,0,1.0,1.0,1.0,0.0204,78.2,0,5.69,17.8,0
1,85.1889,57.52,0,0,1.0,1.0,1.0,0.02074,78.6,0,5.46,35.7,0
2,84.9549,56.28,0,0,1.0,1.0,1.0,0.02103,79.1,0,5.41,53.5,0
3,84.7156,55.04,0,0,1.0,1.0,1.0,0.02127,79.5,0,5.46,71.3,0
4,84.4748,53.9,0,0,1.0,1.0,1.0,0.02149,79.9,0,5.58,89.2,0
5,84.4005,52.8,0,0,1.0,1.0,1.0,0.02167,80.4,0,5.92,107.0,0
6,83.7941,49.17,0,0,2.3789,1.0,1.4851,0.12284,81.5,0,8.58,124.8,0
7,82.8323,44.0,0,0,2.3828,1.0,1.4864,0.20933,82.7,0,12.46,142.7,0
8,82.012,40.02,0,0,2.3828,1.0,1.4864,0.18266,83.9,0,14.91,160.5,0
9,81.3255,37.39,0,0,2.394,1.0,1.4496,0.15861,85.0,0,16.25,178.3,0
10,80.754,35.79,0,0,2.3657,1.0,1.4496,0.13796,86.8,0,16.82,196.2,0
11,80.2666,34.76,0,0,2.3657,1.0,1.4496,0.12173,88.5,0,16.94,214.0,0
12,79.8464,34.26,0,1,2.3657,1.0,1.4496,0.10893,90.2,0,16.76,231.8,0
13,79.4885,33.96,0,1,2.3657,1.0,1.4496,0.09968,91.9,0,16.43,249.7,0
14,79.178,34.16,0,1,2.3657,1.0,1.4496,0.09187,93.6,0,16.02,267.5,0
15,78.9077,34.53,0,1,2.3657,1.0,1.4496,0.08551,95.1,0,15.56,285.3,0
16,78.6711,34.42,0,1,2.3657,1.0,1.4496,0.08017,96.7,0,15.08,303.1,0
17,78.4626,35.14,0,1,2.3657,1.0,1.4496,0.07589,98.2,0,14.62,321.0,0
18,77.8555,36.76,0,0,2.3657,1.0,1.4496,0.08013,89.2,1,14.08,338.8,0
19,77.645,36.82,0,0,2.3538,1.0,1.4864,0.07485,90.6,1,13.86,356.6,0
20,77.4496,37.04,0,0,2.3538,1.0,1.4864,0.07042,91.9,1,13.57,374.5,0
21,77.2845,37.37,0,0,2.3657,1.0,1.4496,0.06413,93.2,1,13.24,392.0,0
22,77.1291,37.48,0,0,2.5075,1.0,1.4496,0.06156,94.5,1,12.94,409.6,0
23,76.9766,37.87,0,0,2.4971,1.0,1.4496,0.06087,95.9,1,12.69,426.9,0
24,76.8312,38.19,0,0,2.4971,1.0,1.4496,0.05806,97.2,1,12.44,444.2,0
25,76.6911,38.51,0,0,2.4843,1.0,1.4496,0.05569,98.6,1,12.19,461.6,0
26,76.5567,38.8,0,0,2.4843,1.0,1.4496,0.05334,100.0,1,11.97,478.9,0
27,76.3821,38.78,1,0,2.8569,1.0,1.4496,0.0589,101.5,1,12.16,496.2,0.015
28,76.1833,38.64,1,0,2.8108,1.0,1.4496,0.0635,103.2,1,12.4,512.8,0.0302
29,75.9891,38.64,1,0,2.8108,1.0,1.4496,0.06065,104.8,1,12.5,529.4,0.0457
30,75.7966,38.69,0,0,2.8108,1.0,1.4496,0.05894,106.3,1,12.31,546.0,0.0614
31,75.5883,38.69,1,0,2.8108,1.0,1.4496,0.05789,107.9,1,12.38,562.3,0.0928
32,74.9692,37.98,2,0,2.8108,1.0,1.4496,0.06933,102.3,2,12.75,578.6,0.1116
33,74.7149,37.8,1,0,3.1861,1.0009,1.4864,0.06756,103.9,2,12.98,594.9,0.1306
34,74.4798,37.83,0,1,3.1861,1.0028,1.4864,0.06502,105.4,2,12.83,609.6,0.1333
35,74.2822,37.94,0,1,3.1101,1.0036,1.4496,0.06342,106.8,2,12.62,624.1,0.1634
