tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation
0,88.2854,58.63,0,0,1.0,1.0,1.0,0.02
1,91.2148,58.06,0,0,1.0,1.0,1.0,0.02
2,94.2168,57.15,0,0,1.0,1.0,1.0,0.02
3,97.1924,56.28,0,0,1.0,1.0,1.0,0.02
4,99.7971,55.55,0,0,1.0,1.0,1.0,0.02
5,102.252,54.91,0,0,1.0,1.0,1.0,0.02
6,104.7291,54.39,0,0,1.0,1.0,1.0,0.02
7,107.184,54.01,0,0,1.0,1.0,1.0,0.02
8,109.6586,53.63,0,0,1.0,1.0,1.0,0.02
9,112.1533,53.33,0,0,1.0,1.0,1.0,0.02
10,114.5977,53.18,0,0,1.0,1.0,1.0,0.02
11,117.02,52.92,0,0,1.0,1.0,1.0,0.02
12,118.5017,52.54,0,0,1.023,1.0,1.0166,0.02683
13,119.5438,52.18,0,0,1.0413,1.0,1.0298,0.03113
14,120.4072,51.95,0,0,1.056,1.0,1.0404,0.03217
15,121.2361,51.78,0,0,1.0677,1.0,1.0489,0.03249
16,122.09,51.65,0,0,1.0791,1.0,1.0557,0.03251
17,122.9783,51.58,0,0,1.0881,1.0,1.0611,0.03213
18,123.9251,51.54,0,0,1.0954,1.0,1.0655,0.0315
19,124.8531,51.55,0,0,1.0929,1.0,1.069,0.02991
20,125.9055,51.54,0,0,1.0909,1.0,1.0718,0.02853
21,127.1238,51.57,0,0,1.0893,1.0,1.074,0.02733
22,128.3855,51.64,0,0,1.088,1.0,1.0758,0.0263
23,129.7909,51.71,0,0,1.087,1.0,1.0772,0.02541
24,131.2201,51.76,0,0,1.0861,1.0,1.0783,0.02464
25,132.7205,51.81,0,0,1.0855,1.0,1.0792,0.02398
26,134.3407,51.85,0,0,1.085,1.0,1.08,0.02341
27,135.9224,51.93,0,0,1.0845,1.0,1.0805,0.02292
28,137.5572,51.99,0,0,1.0842,1.0,1.081,0.0225
29,139.2962,52.06,0,0,1.0839,1.0,1.0814,0.02214
30,141.0245,52.11,0,0,1.0837,1.0,1.0817,0.02183
31,142.8497,52.16,0,0,1.0836,1.0,1.0819,0.02156
32,144.6579,52.2,0,0,1.0834,1.0,1.0821,0.02133
33,146.5737,52.36,0,0,1.0701,1.0,1.0823,0.01982
34,148.6646,52.51,0,0,1.0594,1.0,1.0824,0.01878
35,150.7885,52.65,0,0,1.0508,1.0,1.0825,0.0181
