tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation
0,88.2854,58.63,0,0,1.0,1.0,1.0,0.02
1,91.2148,58.06,0,0,1.0,1.0,1.0,0.02
2,94.2168,57.15,0,0,1.0,1.0,1.0,0.02
3,97.1924,56.28,0,0,1.0,1.0,1.0,0.02
4,100.1617,55.55,0,0,1.0,1.0,1.0,0.02
5,103.156,54.86,0,0,1.0,1.0,1.0,0.02
6,106.1679,54.3,0,0,1.0,1.0,1.0,0.02
7,109.1575,53.87,0,0,1.0,1.0,1.0,0.02
8,112.1693,53.54,0,0,1.0,1.0,1.0,0.02
9,115.2035,53.28,0,0,1.0,1.0,1.0,0.02
10,118.1941,53.11,0,0,1.0,1.0,1.0,0.02
11,121.2071,52.84,0,0,1.0,1.0,1.0,0.02
12,124.1597,52.64,0,0,1.0,1.0,1.0,0.02
13,127.1293,52.47,0,0,1.0,1.0,1.0,0.02
14,130.116,52.33,0,0,1.0,1.0,1.0,0.02
15,133.12,52.23,0,0,1.0,1.0,1.0,0.02
16,136.1416,52.15,0,0,1.0,1.0,1.0,0.02
17,139.1808,52.09,0,0,1.0,1.0,1.0,0.02
18,142.2381,52.05,0,0,1.0,1.0,1.0,0.02
19,145.3135,52.01,0,0,1.0,1.0,1.0,0.02
20,148.4072,51.99,0,0,1.0,1.0,1.0,0.02
21,151.6334,51.97,0,0,1.0,1.0,1.0,0.02
22,154.7649,51.95,0,0,1.0,1.0,1.0,0.02
23,158.0293,51.94,0,0,1.0,1.0,1.0,0.02
24,161.1995,51.91,0,0,1.0,1.0,1.0,0.02
25,164.3892,51.89,0,0,1.0,1.0,1.0,0.02
26,167.7124,51.86,0,0,1.0,1.0,1.0,0.02
27,170.9421,51.84,0,0,1.0,1.0,1.0,0.02
28,174.1919,51.81,0,0,1.0,1.0,1.0,0.02
29,177.5759,51.8,0,0,1.0,1.0,1.0,0.02
30,180.8671,51.78,0,0,1.0,1.0,1.0,0.02
31,184.293,51.78,0,0,1.0,1.0,1.0,0.02
32,187.6265,51.77,0,0,1.0,1.0,1.0,0.02
33,190.9814,51.77,0,0,1.0,1.0,1.0,0.02
34,194.4717,51.76,0,0,1.0,1.0,1.0,0.02
35,197.8704,51.76,0,0,1.0,1.0,1.0,0.02
