tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,85.4195,58.33,0,0,1.0,1.0,1.0,0.0204,78.2,0,5.69,17.8,0
1,85.1889,57.52,0,0,1.0,1.0,1.0,0.02074,78.6,0,5.46,35.7,0
2,84.9549,56.28,0,0,1.0,1.0,1.0,0.02103,79.1,0,5.41,53.5,0
3,84.7156,55.04,0,0,1.0,1.0,1.0,0.02127,79.5,0,5.46,71.3,0
4,84.4748,53.9,0,0,1.0,1.0,1.0,0.02149,79.9,0,5.58,89.2,0
5,84.4005,52.8,0,0,1.0,1.0,1.0,0.02167,80.4,0,5.92,107.0,0
6,83.7941,49.17,0,0,2.3789,1.0,1.4851,0.12284,81.5,0,8.58,124.8,0
7,82.8323,44.0,0,0,2.3828,1.0,1.4864,0.20933,82.7,0,12.46,142.7,0
8,82.012,40.02,0,0,2.3828,1.0,1.4864,0.18266,83.9,0,14.91,160.5,0
9,81.3255,37.39,0,0,2.394,1.0,1.4496,0.15861,85.0,0,16.25,178.3,0
10,80.3237,35.29,0,0,2.3657,1.0,1.4496,0.14666,77.5,1,16.82,196.2,0
11,79.804,34.13,0,0,2.3538,1.0,1.4864,0.12922,78.5,1,17.14,214.0,0
12,79.3546,33.56,0,1,2.3538,1.0,1.4864,0.11538,79.5,1,17.09,231.8,0
13,78.9904,33.22,0,1,2.3657,1.0,1.4496,0.10266,80.5,1,16.8,249.7,0
14,78.692,33.52,0,1,2.3657,1.0,1.4496,0.09182,81.4,1,16.33,267.5,0
15,78.4414,33.79,0,1,2.3657,1.0,1.4496,0.08384,82.2,1,15.79,285.3,0
16,78.2324,33.9,0,1,2.3657,1.0,1.4496,0.07704,82.9,1,15.23,303.1,0
17,78.0594,34.81,0,1,2.3657,1.0,1.4496,0.07124,83.6,1,14.67,321.0,0
18,77.9119,37.12,0,0,2.3657,1.0,1.4496,0.06472,84.3,1,14.05,338.8,0
19,77.7921,37.62,0,0,2.3657,1.0,1.4496,0.05917,85.0,1,13.49,356.6,0
20,77.6623,37.89,1,0,2.7206,1.0,1.4496,0.0613,85.8,1,13.37,374.5,0.0018
21,77.5134,37.99,0,0,2.8769,1.0,1.4496,0.06612,86.6,1,13.17,392.3,0.0036
22,77.411,38.54,0,0,2.4914,1.0,1.4496,0.05645,87.2,1,12.77,410.1,0.0036
23,77.3543,39.23,0,0,2.4914,1.0,1.4496,0.04589,87.8,1,12.25,428.0,0.0036
24,77.3208,40.08,0,0,2.3657,1.0,1.4496,0.04067,88.4,1,11.72,445.8,0.0036
25,77.3076,40.87,0,0,2.3657,1.0,1.4496,0.03619,88.9,1,11.22,463.1,0.0036
26,77.3022,41.49,0,0,2.3657,1.0,1.4496,0.03467,89.4,1,10.82,479.5,0.0036
27,77.2211,41.53,1,0,2.9918,1.0,1.5263,0.04809,90.1,1,11.06,495.9,0.0053
28,77.0851,41.12,1,0,2.9918,1.0,1.5263,0.0596,91.0,1,11.51,512.1,0.0071
29,76.9692,40.88,1,0,2.9918,1.0,1.5263,0.05519,91.8,1,11.75,528.0,0.0089
30,76.8695,40.75,1,0,2.9773,1.0,1.5263,0.05164,92.5,1,11.85,543.9,0.0108
31,76.7506,40.62,0,0,2.9773,1.0,1.5263,0.05623,93.2,1,11.79,556.7,0.0126
32,76.7084,41.21,0,0,2.5889,1.0,1.4496,0.04232,93.8,1,11.34,569.5,0.0126
33,76.6971,41.81,1,0,2.9544,1.0,1.4496,0.02939,94.5,1,11.01,582.2,0.037
34,76.6641,42.03,1,0,2.9544,1.0,1.4496,0.03821,95.2,1,10.96,595.0,0.057
35,76.629,42.29,0,0,2.9273,1.0,1.4496,0.03878,95.8,1,10.67,607.8,0.0608
