tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,87.9376,58.31,0,0,1.0,1.0,1.0,0.02,78.3,0,5.78,18.1
1,90.5036,57.5,0,0,1.0,1.0,1.0,0.02,78.8,0,5.62,36.2
2,93.1285,56.41,0,0,1.0,1.0,1.0,0.02,79.4,0,5.6,54.2
3,95.7134,55.41,0,0,1.0,1.0,1.0,0.02,80.0,0,5.63,72.3
4,98.5019,54.57,0,0,1.0,1.0,1.0,0.02,80.5,0,5.69,90.4
5,101.1666,53.81,0,0,1.0,1.0,1.0,0.02,81.1,0,5.82,108.3
6,102.6705,52.77,0,0,1.0754,1.0,1.0166,0.03248,81.6,0,6.27,126.2
7,103.5777,51.81,0,0,1.1358,1.0,1.0298,0.04006,82.2,0,6.78,144.0
8,104.2576,50.77,0,0,1.1647,1.0,1.0404,0.04247,82.9,0,7.29,159.5
9,104.372,49.42,0,0,1.1879,1.0,1.0489,0.05273,75.1,1,7.7,174.4
10,104.7208,48.71,0,0,1.2083,1.0,1.0557,0.05156,75.8,1,8.18,189.4
11,105.212,48.05,0,0,1.2247,1.0,1.0611,0.04978,76.5,1,8.53,204.3
12,105.8609,47.51,0,0,1.2377,1.0,1.0655,0.04765,77.1,1,8.75,218.9
13,106.6712,47.15,0,0,1.2482,1.0,1.069,0.04536,77.8,1,8.86,233.4
14,107.6398,46.93,0,0,1.2566,1.0,1.0718,0.04304,78.4,1,8.89,248.0
15,108.7606,46.84,0,0,1.2633,1.0,1.074,0.04076,79.0,1,8.86,261.2
16,109.9279,46.86,0,0,1.2603,1.0,1.0758,0.03782,79.6,1,8.76,274.5
17,111.2588,46.96,0,0,1.258,1.0,1.0772,0.0353,80.2,1,8.62,287.7
18,112.7167,47.05,0,0,1.2561,1.0,1.0783,0.03312,80.7,1,8.48,301.0
19,114.2972,47.22,0,0,1.2546,1.0,1.0792,0.03124,81.2,1,8.34,314.2
20,115.9847,47.39,0,0,1.2534,1.0,1.08,0.02963,81.7,1,8.21,327.2
21,117.8403,47.59,0,0,1.2525,1.0,1.0805,0.02824,82.2,1,8.08,340.1
22,119.7061,47.79,0,0,1.2517,1.0,1.081,0.02705,82.7,1,7.95,351.4
23,121.7206,47.99,0,0,1.2511,1.0,1.0814,0.02603,83.2,1,7.83,362.7
24,123.7277,48.16,0,0,1.2506,1.0,1.0817,0.02515,83.7,1,7.72,374.0
25,125.8267,48.44,0,0,1.2336,1.0,1.0819,0.02287,84.1,1,7.57,385.3
26,128.1264,48.7,0,0,1.22,1.0,1.0821,0.02122,84.6,1,7.41,396.3
27,130.48,49.02,0,0,1.1937,1.0,1.0823,0.01858,85.0,1,7.22,407.3
28,132.9941,49.31,0,0,1.1688,1.0,1.0824,0.01641,85.5,1,7.03,418.3
29,135.623,49.64,0,0,1.1488,1.0,1.0825,0.01501,85.9,1,6.83,429.3
30,138.3648,49.99,0,0,1.1329,1.0,1.0826,0.01273,86.4,1,6.63,440.3
31,141.1917,50.35,0,0,1.1201,1.0,1.0826,0.01136,86.8,1,6.44,451.3
32,144.0307,50.64,0,0,1.1099,1.0,1.0827,0.01067,87.3,1,6.3,462.3
33,146.9219,50.86,0,0,1.1017,1.0,1.0827,0.01047,87.7,1,6.18,473.3
34,149.8366,51.03,0,0,1.0952,1.0,1.0827,0.01061,88.2,1,6.1,484.3
35,152.6434,51.19,0,0,1.09,1.0,1.0828,0.01098,88.6,1,6.03,495.3
