tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation
0,88.2854,58.63,0,0,1.0,1.0,1.0,0.02
1,91.2148,58.06,0,0,1.0,1.0,1.0,0.02
2,94.2168,57.15,0,0,1.0,1.0,1.0,0.02
3,97.1924,56.28,0,0,1.0,1.0,1.0,0.02
4,100.1931,55.55,0,0,1.0,1.0,1.0,0.02
5,103.2192,54.86,0,0,1.0,1.0,1.0,0.02
6,106.2001,54.3,0,0,1.0,1.0,1.0,0.02
7,109.1585,53.87,0,0,1.0,1.0,1.0,0.02
8,110.4751,53.11,0,0,1.0924,1.0,1.0166,0.03432
9,111.1306,52.18,0,0,1.1664,1.0,1.0298,0.04287
10,111.4406,51.33,0,0,1.2255,1.0,1.0404,0.04757
11,111.6453,50.6,0,0,1.2729,1.0,1.0489,0.0497
12,111.9724,50.05,0,0,1.3178,1.0,1.0557,0.05071
13,112.3818,49.68,0,0,1.3537,1.0,1.0611,0.05036
14,112.929,49.36,0,0,1.3824,1.0,1.0655,0.04914
15,113.6427,49.11,0,0,1.4053,1.0,1.069,0.04739
16,114.5341,48.95,0,0,1.4237,1.0,1.0718,0.04536
17,115.604,48.8,0,0,1.4384,1.0,1.074,0.04319
18,116.8465,48.73,0,0,1.4502,1.0,1.0758,0.04102
19,118.2526,48.73,0,0,1.4596,1.0,1.0772,0.0389
20,119.8112,48.78,0,0,1.4671,1.0,1.0783,0.03689
21,121.5109,48.86,0,0,1.4732,1.0,1.0792,0.03501
22,122.9442,48.81,0,0,1.478,1.0,1.1253,0.03643
23,124.2706,48.7,0,0,1.4818,1.0,1.1621,0.0368
24,125.5748,48.61,0,0,1.4849,1.0,1.1916,0.03648
25,126.9124,48.56,0,0,1.4874,1.0,1.2151,0.03574
26,128.3192,48.53,0,0,1.4894,1.0,1.234,0.03473
27,129.8164,48.54,0,0,1.4909,1.0,1.2491,0.03359
28,131.4158,48.57,0,0,1.4922,1.0,1.2611,0.0324
29,133.1224,48.62,0,0,1.4932,1.0,1.2708,0.03121
30,134.9368,48.69,0,0,1.494,1.0,1.2785,0.03007
31,136.8569,48.77,0,0,1.4947,1.0,1.2847,0.02898
32,138.8787,48.86,0,0,1.4952,1.0,1.2897,0.02797
33,140.997,48.94,0,0,1.4956,1.0,1.2936,0.02705
34,143.2062,49.03,0,0,1.4959,1.0,1.2968,0.02621
35,145.5007,49.11,0,0,1.4962,1.0,1.2993,0.02545
