tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,85.4195,58.33,0,0,1.0,1.0,1.0,0.0204,78.2,0,5.69,17.8,0
1,85.1889,57.52,0,0,1.0,1.0,1.0,0.02074,78.6,0,5.46,35.7,0
2,84.9549,56.28,0,0,1.0,1.0,1.0,0.02103,79.1,0,5.41,53.5,0
3,84.7156,55.04,0,0,1.0,1.0,1.0,0.02127,79.5,0,5.46,71.3,0
4,84.4748,53.9,0,0,1.0,1.0,1.0,0.02149,79.9,0,5.58,89.2,0
5,84.4005,52.8,0,0,1.0,1.0,1.0,0.02167,80.4,0,5.92,107.0,0
6,84.1442,50.87,0,0,1.2558,1.0,1.0,0.06174,81.0,0,7.18,124.8,0
7,83.8831,48.48,0,0,1.2564,1.0,1.0,0.09648,82.1,0,8.88,142.7,0
8,83.6625,46.83,0,0,1.2564,1.0,1.0,0.08652,83.1,0,9.92,160.5,0
9,83.476,45.64,0,0,1.2564,1.0,1.0,0.07798,83.9,0,10.54,178.3,0
10,83.3151,44.84,0,0,1.2564,1.0,1.0,0.07068,84.7,0,10.87,196.2,0
11,83.1789,43.98,0,0,1.2564,1.0,1.0,0.06444,85.5,0,11.09,214.0,0
12,83.0637,43.34,0,0,1.2564,1.0,1.0,0.05911,86.2,0,11.17,231.8,0
13,82.9681,42.9,0,0,1.2564,1.0,1.0,0.05454,86.8,0,11.15,249.7,0
14,82.8901,42.68,0,0,1.2564,1.0,1.0,0.05064,87.4,0,11.05,267.5,0
15,82.8271,42.61,0,0,1.2564,1.0,1.0,0.0473,88.0,0,10.9,285.3,0
16,82.7775,42.66,0,0,1.2564,1.0,1.0,0.04444,88.6,0,10.73,303.1,0
17,82.5255,41.97,0,0,1.2564,1.0,1.7206,0.06917,89.4,0,11.18,321.0,0
18,82.0717,40.78,0,0,1.2444,1.0,1.75,0.09248,90.4,0,12.03,338.8,0
19,81.6712,40.08,0,0,1.2444,1.0,1.7514,0.08531,91.3,0,12.48,356.6,0
20,81.3272,39.73,0,0,1.2444,1.0,1.7529,0.07751,92.2,0,12.64,374.5,0
21,81.0317,39.6,0,0,1.2444,1.0,1.7543,0.07093,93.1,0,12.64,390.4,0
22,80.7778,39.63,0,0,1.2446,1.0,1.7557,0.06545,93.9,0,12.52,406.4,0
23,80.5513,39.7,0,0,1.2898,1.0,1.7571,0.06241,94.8,0,12.39,422.0,0
24,80.3377,39.75,0,0,1.3437,1.0,1.7585,0.06175,95.6,0,12.28,437.4,0
25,80.1888,40.05,0,0,1.2448,1.0,1.5016,0.05081,96.4,0,11.98,452.3,0.0015
26,79.6876,40.0,0,0,1.0932,1.0,1.7615,0.04975,86.3,1,11.54,467.2,0.0015
27,79.568,40.17,0,0,1.1024,1.0,1.7361,0.04623,86.9,1,11.39,482.0,0.0015
28,79.547,40.77,0,0,1.1024,1.0,1.2873,0.03203,87.5,1,10.95,495.3,0.0015
29,79.5932,41.51,0,0,1.0932,1.0,1.3483,0.02392,88.1,1,10.48,508.5,0.0015
30,79.6151,41.66,0,0,1.2572,1.0,1.2043,0.02989,88.6,1,10.25,521.7,0.0027
31,79.6764,42.23,0,0,1.0932,1.0,1.2065,0.02546,89.2,1,9.98,534.1,0.0027
32,79.7095,42.47,1,0,1.2948,1.0,1.2087,0.02732,89.9,1,10.06,545.7,0.0064
33,79.7581,42.62,0,0,1.2572,1.0,1.0,0.02754,90.5,1,9.93,556.9,0.012
34,79.814,42.56,1,0,1.2779,1.0014,1.2133,0.02719,91.2,1,10.05,568.1,0.0156
35,79.7851,42.16,3,0,1.2779,1.0028,1.2155,0.03876,92.0,1,10.57,579.3,0.02
