tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,85.4195,58.33,0,0,1.0,1.0,1.0,0.0204,78.2,0,5.69,17.8,0
1,85.1889,57.52,0,0,1.0,1.0,1.0,0.02074,78.6,0,5.46,35.7,0
2,84.9549,56.28,0,0,1.0,1.0,1.0,0.02103,79.1,0,5.41,53.5,0
3,84.7156,55.04,0,0,1.0,1.0,1.0,0.02127,79.5,0,5.46,71.3,0
4,84.4748,53.9,0,0,1.0,1.0,1.0,0.02149,79.9,0,5.58,89.2,0
5,84.4005,52.8,0,0,1.0,1.0,1.0,0.02167,80.4,0,5.92,107.0,0
6,83.7941,49.17,0,0,2.3789,1.0,1.4851,0.12284,81.5,0,8.58,124.8,0
7,82.8323,44.0,0,0,2.3828,1.0,1.4864,0.20933,82.7,0,12.46,142.7,0
8,81.8874,39.36,0,0,2.4198,1.0,1.4864,0.20638,84.0,0,15.45,160.5,0
9,80.9651,35.55,0,0,2.4294,1.0,1.4496,0.20426,85.2,0,17.69,178.3,0
10,79.5671,31.61,0,0,2.4142,1.7755,1.4496,0.22252,77.8,1,19.63,196.2,0
11,78.5002,27.95,0,1,2.4045,1.8515,1.4864,0.23225,79.0,1,21.65,214.0,0
12,77.5959,25.63,0,1,2.4045,1.8515,1.4864,0.2065,80.2,1,22.6,231.8,0
13,76.8447,24.24,0,1,2.4143,1.7776,1.4496,0.18109,81.3,1,22.76,249.7,0
14,76.2119,23.49,0,4,2.4143,1.8694,1.4496,0.16115,82.5,1,22.46,267.5,0
15,75.6822,22.97,0,5,2.4143,1.8699,1.4496,0.14952,83.4,1,22.04,282.5,0
16,75.2842,23.26,0,5,2.4143,1.8705,1.4496,0.14042,84.1,1,21.52,297.6,0
17,74.9387,25.64,0,4,2.4143,1.8709,1.4496,0.13002,84.9,1,20.89,312.6,0
18,74.6471,26.02,0,4,2.4143,1.8714,1.4496,0.12116,85.6,1,20.25,327.7,0
19,74.3895,26.56,0,4,2.4045,1.9552,1.4864,0.11478,86.2,1,19.62,342.7,0
20,74.148,32.61,0,1,2.4045,1.9558,1.4864,0.10566,87.1,1,18.6,360.6,0
21,73.8955,34.51,0,0,2.3735,1.9564,1.4864,0.09373,88.0,1,17.63,378.4,0
22,73.6681,34.31,0,0,2.543,1.9571,1.4864,0.0868,89.0,1,16.81,395.5,0
23,73.4639,34.34,0,0,2.5162,1.9578,1.4864,0.08122,89.9,1,16.13,412.6,0
24,73.3022,34.72,0,0,2.3863,1.9585,1.4864,0.07082,90.7,1,15.41,428.1,0
25,73.1783,35.21,1,0,2.286,1.9592,1.4864,0.06067,91.5,1,14.92,443.6,0.0015
26,73.0805,35.66,1,0,2.286,1.9598,1.4864,0.05429,92.3,1,14.42,458.8,0.0031
27,72.9866,35.98,0,0,2.286,1.9605,1.4864,0.05058,93.1,1,13.76,474.0,0.0068
28,72.8784,36.12,0,0,2.8233,1.9612,1.4864,0.05815,93.8,1,13.41,489.2,0.0068
29,72.745,36.08,0,0,2.8233,1.9619,1.4864,0.0648,94.6,1,13.29,504.4,0.0068
30,72.6322,36.21,0,0,2.8233,1.9626,1.4864,0.05961,95.4,1,13.08,519.6,0.0068
31,72.4843,36.18,0,1,3.645,1.9633,1.4864,0.06893,96.3,1,13.11,533.2,0.0068
32,72.3373,36.53,0,1,3.645,1.964,1.4864,0.06787,97.1,1,13.04,546.8,0.0068
33,72.2686,37.45,0,1,3.645,1.9647,1.4864,0.04908,97.8,1,12.61,560.1,0.0068
34,72.2357,38.36,0,1,3.645,1.9654,1.4864,0.04049,98.4,1,12.16,573.4,0.0068
35,72.1842,38.89,1,1,4.0,1.966,1.4864,0.04396,99.2,1,12.11,586.6,0.0099
