tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,85.5328,58.32,0,0,1.0,1.0,1.0,0.02,78.3,0,5.8,17.8
1,85.4378,57.52,0,0,1.0,1.0,1.0,0.02,78.8,0,5.64,35.7
2,85.347,56.3,0,0,1.0,1.0,1.0,0.02,79.4,0,5.65,53.5
3,85.253,55.08,0,0,1.0,1.0,1.0,0.02,79.9,0,5.74,71.3
4,85.1578,53.96,0,0,1.0,1.0,1.0,0.02,80.5,0,5.89,89.2
5,85.2321,52.87,0,0,1.0,1.0,1.0,0.02,81.0,0,6.24,107.0
6,84.1467,48.02,0,0,2.3046,1.0,1.4608,0.15549,74.0,1,9.48,124.8
7,82.9737,41.19,0,0,2.3789,1.0,1.4851,0.27368,75.2,1,14.72,142.7
8,81.5708,35.54,0,0,2.3826,1.0,1.4863,0.24909,73.2,2,18.04,160.5
9,80.6402,31.56,0,0,2.3718,1.0,1.4653,0.22288,70.1,3,20.01,178.3
10,79.4529,28.91,0,1,2.394,1.0,1.4496,0.20007,68.7,4,21.03,196.2
11,78.4308,27.15,0,1,2.3569,1.0,1.4693,0.18483,67.1,5,21.48,214.0
12,77.4415,25.66,0,2,2.3657,1.0,1.4496,0.17131,65.9,6,21.52,231.8
13,76.7387,25.24,0,3,2.3949,1.0,1.4496,0.16319,63.7,7,21.36,249.7
14,76.3216,25.57,0,4,2.394,1.0,1.4496,0.15025,64.9,7,21.17,267.5
15,76.034,25.48,0,4,2.3657,1.0,1.4496,0.13964,65.9,7,20.75,285.3
16,75.824,28.16,0,3,2.3657,1.0,1.4496,0.12722,67.1,7,20.15,303.1
17,75.6885,28.55,0,3,2.3657,1.0,1.4496,0.11769,68.2,7,19.54,321.0
18,75.6124,30.85,0,2,2.3657,1.0,1.4496,0.1076,69.4,7,18.74,338.8
19,75.1679,32.48,0,1,2.3657,1.0,1.4496,0.10594,64.8,8,17.87,356.6
20,75.1006,34.65,0,0,2.3538,1.0,1.4864,0.09493,66.1,8,17.14,374.5
21,75.0954,35.13,0,0,2.3657,1.0,1.4496,0.08369,67.4,8,16.38,392.3
22,74.9999,35.37,0,0,2.366,1.0,1.4496,0.08169,65.6,9,15.59,410.1
23,74.9292,36.12,0,0,2.3669,1.0,1.4496,0.07247,66.9,9,15.01,427.9
24,74.8488,36.91,0,0,2.3677,1.0,1.4496,0.06466,68.1,9,14.42,445.7
25,74.812,37.65,0,0,2.3686,1.0,1.4496,0.05802,69.3,9,13.85,462.2
26,74.8128,38.23,0,0,2.3694,1.0,1.4496,0.05237,70.5,9,13.32,478.5
27,74.846,38.85,0,0,2.3702,1.0,1.4496,0.04757,71.6,9,12.81,492.8
28,74.906,39.43,0,0,2.3711,1.0,1.4496,0.04349,72.7,9,12.35,507.1
29,74.9272,39.48,1,0,2.8539,1.0,1.4496,0.05619,74.1,9,12.53,519.8
30,74.933,39.38,1,0,2.7588,1.0,1.4496,0.06376,75.5,9,12.81,532.0
31,75.0096,39.5,1,0,2.76,1.0,1.4496,0.05458,76.9,9,12.82,544.2
32,74.6573,38.96,1,0,2.7085,1.0,1.4496,0.06628,75.9,10,12.89,556.4
33,74.6313,38.64,1,0,2.5835,1.0,1.4693,0.06484,77.3,10,13.15,568.6
34,74.2092,37.84,1,0,2.6178,1.0,1.4496,0.07845,76.0,11,13.42,580.7
35,73.8903,36.82,1,0,2.605,1.0,1.4653,0.09361,74.6,12,13.94,592.9
