tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,85.5328,58.32,0,0,1.0,1.0,1.0,0.02,78.3,0,5.8,17.8
1,85.4378,57.52,0,0,1.0,1.0,1.0,0.02,78.8,0,5.64,35.7
2,85.347,56.3,0,0,1.0,1.0,1.0,0.02,79.4,0,5.65,53.5
3,85.253,55.08,0,0,1.0,1.0,1.0,0.02,79.9,0,5.74,71.3
4,85.1578,54.19,0,0,1.0,1.0,1.0,0.02,74.0,0,5.89,89.2
5,85.2321,53.05,0,0,1.0,1.0,1.0,0.02,74.5,0,6.24,107.0
6,84.5943,48.66,0,0,2.3046,1.0,1.4608,0.14612,75.7,0,9.48,124.8
7,83.4724,42.03,0,0,2.3789,1.0,1.4851,0.26078,76.9,0,14.43,142.7
8,82.3682,36.51,0,0,2.3826,1.0,1.4863,0.23799,73.8,1,17.57,160.5
9,81.0289,32.63,0,0,2.3939,1.0,1.4496,0.2132,69.7,2,19.43,178.3
10,80.2621,30.46,0,1,2.3828,1.0,1.4864,0.18423,71.3,2,20.45,196.2
11,79.2746,28.81,0,1,2.3657,1.0,1.4496,0.17093,70.1,3,20.7,214.0
12,78.178,27.19,0,1,2.3949,1.0,1.4496,0.16822,64.7,5,20.65,231.8
13,77.3231,26.55,0,2,2.3718,1.0,1.4653,0.16003,62.8,6,20.63,249.7
14,76.499,25.41,0,3,2.3657,1.0,1.4496,0.15282,60.8,7,20.41,267.5
15,76.1577,25.98,0,3,2.3569,1.0,1.4693,0.13962,61.8,7,20.14,285.3
16,75.9011,28.02,0,3,2.3657,1.0,1.4496,0.12588,62.9,7,19.61,303.1
17,75.7661,27.83,0,3,2.3657,1.0,1.4496,0.11541,63.9,7,19.02,321.0
18,75.6942,28.58,0,3,2.3657,1.0,1.4496,0.10729,64.9,7,18.38,338.8
19,75.6632,31.12,0,2,2.3657,1.0,1.4496,0.09811,65.9,7,17.69,356.6
20,75.6757,33.44,0,1,2.3657,1.0,1.4496,0.08838,67.1,7,16.92,374.5
21,75.7215,34.24,0,1,2.3048,1.0,1.4496,0.07838,68.2,7,16.11,392.3
22,75.7302,36.71,0,0,2.4712,1.0,1.4496,0.07317,69.4,7,15.36,410.1
23,75.7519,37.22,0,0,2.4712,1.0,1.4496,0.07093,70.7,7,14.77,427.6
24,75.4117,37.37,0,0,2.4712,1.0,1.4496,0.07267,68.1,8,14.17,445.1
25,75.4487,37.95,0,0,2.4712,1.0,1.4864,0.06705,69.3,8,13.8,462.1
26,75.4071,38.44,0,0,2.4712,1.0,1.4496,0.05999,70.5,8,13.41,477.4
27,75.3946,39.04,0,0,2.4377,1.0,1.4496,0.05126,71.7,8,12.93,492.7
28,75.4029,39.65,0,0,2.4377,1.0,1.4496,0.04608,72.8,8,12.46,508.0
29,75.4265,40.26,0,0,2.4377,1.0,1.4496,0.04217,73.9,8,12.01,523.2
30,75.4625,40.84,0,0,2.4377,1.0,1.4496,0.03884,75.0,8,11.6,538.5
31,75.5112,41.33,0,0,2.3863,1.0,1.4864,0.03665,76.1,8,11.25,553.7
32,75.5474,41.68,0,0,2.3863,1.0,1.4864,0.03715,77.2,8,11.02,569.0
33,75.6398,41.94,0,0,2.3863,1.0,1.4864,0.03693,78.4,8,10.85,584.3
34,75.7345,42.33,0,0,2.7327,1.0,1.4864,0.03419,79.5,8,10.66,598.7
35,75.8356,42.72,0,0,2.7327,1.0,1.4864,0.03336,80.7,8,10.52,613.1
