tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,85.5328,58.32,0,0,1.0,1.0,1.0,0.02,78.3,0,5.8,17.8
1,85.4378,57.52,0,0,1.0,1.0,1.0,0.02,78.8,0,5.64,35.7
2,85.347,56.3,0,0,1.0,1.0,1.0,0.02,79.4,0,5.65,53.5
3,85.253,55.08,0,0,1.0,1.0,1.0,0.02,79.9,0,5.74,71.3
4,85.1578,53.96,0,0,1.0,1.0,1.0,0.02,80.5,0,5.89,89.2
5,85.2321,52.87,0,0,1.0,1.0,1.0,0.02,81.0,0,6.24,107.0
6,84.1467,48.02,0,0,2.3046,1.0,1.4608,0.15549,74.0,1,9.48,124.8
7,82.9737,41.19,0,0,2.3789,1.0,1.4851,0.27368,75.2,1,14.72,142.7
8,81.5708,35.54,0,0,2.3826,1.0,1.4863,0.24909,73.2,2,18.04,160.5
9,80.6402,31.56,0,0,2.3718,1.0,1.4653,0.22288,70.1,3,20.01,178.3
10,79.4529,28.91,0,1,2.394,1.0,1.4496,0.20007,68.3,4,21.03,196.2
11,78.8405,27.65,0,1,2.3569,1.0,1.4693,0.17546,69.3,4,21.48,214.0
12,78.3745,26.76,0,2,2.3657,1.0,1.4496,0.154,70.3,4,21.34,231.8
13,78.0335,27.07,0,3,2.3657,1.0,1.4496,0.13814,71.2,4,20.86,249.7
14,77.5795,27.13,0,3,2.3657,1.0,1.4496,0.13728,68.7,5,20.29,267.5
15,77.328,27.73,0,3,2.394,1.0,1.4496,0.1281,69.6,5,19.85,285.3
16,77.1499,30.33,0,2,2.3657,1.0,1.4496,0.11631,70.4,5,19.25,303.1
17,77.0461,30.73,0,2,2.3657,1.0,1.4496,0.10517,71.2,5,18.6,321.0
18,76.9969,33.04,0,1,2.3657,1.0,1.4496,0.09483,72.0,5,17.77,338.8
19,76.9587,35.21,0,0,2.3657,1.0,1.4496,0.08361,72.8,5,16.86,356.6
20,76.9693,35.68,0,0,2.3657,1.0,1.4496,0.07406,73.6,5,16.0,374.5
21,77.0214,36.35,0,0,2.3657,1.0,1.4496,0.06595,74.4,5,15.18,390.4
22,77.1086,37.08,0,0,2.366,1.0,1.4496,0.05907,75.2,5,14.44,406.4
23,77.2245,37.89,0,0,2.3669,1.0,1.4496,0.05324,75.9,5,13.76,421.1
24,77.3235,38.58,0,0,2.5095,1.0,1.4496,0.05268,76.6,5,13.23,435.2
25,77.0318,38.64,0,0,2.48,1.0,1.4496,0.06065,71.4,6,12.82,449.1
26,77.0961,38.97,0,0,2.4549,1.0,1.4864,0.05517,72.1,6,12.62,463.0
27,77.1844,39.41,0,0,2.4255,1.0,1.4496,0.04829,72.7,6,12.32,476.8
28,77.3069,40.0,0,0,2.4255,1.0,1.4496,0.041,73.3,6,11.93,490.7
29,77.4382,40.55,0,0,2.4255,1.0,1.4496,0.03843,74.0,6,11.57,504.5
30,77.6008,41.37,0,0,2.2008,1.0,1.4496,0.02947,74.5,6,11.07,518.4
31,77.7926,42.18,0,0,2.2008,1.0,1.4496,0.02128,75.1,6,10.53,532.3
32,77.9881,42.88,0,0,2.1586,1.0,1.4496,0.01969,75.6,6,10.08,544.5
33,78.1885,43.47,0,0,2.1586,1.0003,1.4496,0.01835,76.1,6,9.71,556.7
34,78.4549,44.66,0,0,1.4711,1.0,1.4496,-0.00459,76.6,6,9.25,568.9
35,78.7724,46.1,0,0,1.4711,1.0,1.4496,-0.01819,77.2,6,8.77,581.2
