tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,85.5328,58.32,0,0,1.0,1.0,1.0,0.02,78.3,0,5.8,17.8
1,85.4378,57.52,0,0,1.0,1.0,1.0,0.02,78.8,0,5.64,35.7
2,85.347,56.3,0,0,1.0,1.0,1.0,0.02,79.4,0,5.65,53.5
3,85.253,55.08,0,0,1.0,1.0,1.0,0.02,79.9,0,5.74,71.3
4,85.1578,53.96,0,0,1.0,1.0,1.0,0.02,80.5,0,5.89,89.2
5,85.2321,52.87,0,0,1.0,1.0,1.0,0.02,81.0,0,6.24,107.0
6,84.1467,48.02,0,0,2.3046,1.0,1.4608,0.15549,74.0,1,9.48,124.8
7,82.9737,41.19,0,0,2.3789,1.0,1.4851,0.27368,75.2,1,14.72,142.7
8,81.5708,35.54,0,0,2.3826,1.0,1.4863,0.24909,73.2,2,18.04,160.5
9,80.6402,31.56,0,0,2.3718,1.0,1.4653,0.22288,70.1,3,20.01,178.3
10,79.4529,28.91,0,1,2.394,1.0,1.4496,0.20007,68.3,4,21.03,196.2
11,78.8405,27.65,0,1,2.3569,1.0,1.4693,0.17546,69.3,4,21.48,214.0
12,78.3745,26.76,0,2,2.3657,1.0,1.4496,0.154,70.3,4,21.34,231.8
13,78.0335,27.07,0,3,2.3657,1.0,1.4496,0.13814,71.2,4,20.86,249.7
14,77.5795,27.13,0,3,2.3657,1.0,1.4496,0.13728,68.7,5,20.29,267.5
15,77.328,27.73,0,3,2.394,1.0,1.4496,0.1281,69.6,5,19.85,285.3
16,77.1499,30.33,0,2,2.3657,1.0,1.4496,0.11631,70.4,5,19.25,303.1
17,77.0461,30.73,0,2,2.3657,1.0,1.4496,0.10517,71.2,5,18.6,321.0
18,76.9969,33.04,0,1,2.3657,1.0,1.4496,0.09483,72.0,5,17.77,338.8
19,76.9587,35.21,0,0,2.3657,1.0,1.4496,0.08361,72.8,5,16.86,356.6
20,76.9693,35.68,0,0,2.3657,1.0,1.4496,0.07406,73.6,5,16.0,374.5
21,77.0214,36.37,0,0,2.3657,1.0,1.4496,0.06595,74.4,5,15.18,392.3
22,77.1086,37.12,0,0,2.366,1.0,1.4496,0.05907,75.2,5,14.44,410.1
23,76.8347,37.42,0,0,2.3669,1.0,1.4496,0.06262,70.1,6,13.76,428.0
24,76.9288,38.03,0,0,2.3538,1.0,1.4864,0.05806,70.8,6,13.36,445.8
25,77.0258,38.56,0,0,2.4777,1.0,1.4496,0.05577,71.5,6,13.03,462.8
26,77.147,38.89,0,0,2.4787,1.0,1.4496,0.05211,72.2,6,12.73,479.7
27,77.2877,39.31,0,0,2.4797,1.0,1.4496,0.04735,72.8,6,12.4,496.7
28,77.3973,39.42,1,0,2.8456,1.0,1.4496,0.05406,73.7,6,12.53,513.6
29,77.4846,39.34,1,0,2.808,1.0,1.4496,0.05863,74.5,6,12.73,530.6
30,77.5846,39.49,1,0,2.7796,1.0,1.4496,0.05114,75.3,6,12.7,547.5
31,77.7059,39.63,1,0,2.7796,1.0,1.4496,0.04573,76.0,6,12.6,564.3
32,77.8384,39.9,1,0,2.7206,1.0,1.4496,0.04031,76.7,6,12.39,581.0
33,77.9697,40.17,2,0,2.7206,1.0,1.4496,0.0376,77.4,6,12.28,596.1
34,78.083,40.31,2,0,2.7206,1.0,1.4496,0.04011,78.1,6,12.25,611.3
35,78.1327,40.14,2,0,3.0086,1.0,1.4496,0.05092,78.9,6,12.45,626.4
