tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,85.4031,58.33,0,0,1.0,1.0,1.0,0.0204,78.2,0,5.69,17.8,0
1,85.1562,57.52,0,0,1.0,1.0,1.0,0.02074,78.6,0,5.46,35.7,0
2,84.906,56.24,0,0,1.0,1.0,1.0,0.02103,79.1,0,5.43,53.5,0
3,84.6669,54.97,0,0,1.0,1.0,1.0,0.02127,79.6,0,5.5,71.3,0
4,84.4262,53.8,0,0,1.0,1.0,1.0,0.02149,80.1,0,5.63,89.2,0
5,84.3513,52.68,0,0,1.0,1.0,1.0,0.02167,80.5,0,5.98,107.0,0
6,84.2749,51.74,0,0,1.0,1.0,1.0,0.02183,81.0,0,6.37,124.8,0
7,84.3547,51.02,0,0,1.0,1.0,1.0,0.02196,81.5,0,6.67,142.7,0
8,84.4334,50.32,0,0,1.0,1.0,1.0,0.02208,81.9,0,6.94,160.5,0
9,84.5113,49.72,0,0,1.0,1.0,1.0,0.02218,82.4,0,7.16,178.3,0
10,84.5856,49.26,0,0,1.0,1.0,1.0,0.02227,82.9,0,7.32,196.2,0
11,84.6593,48.51,0,0,1.0,1.0,1.0,0.02235,83.4,0,7.52,214.0,0
12,84.7301,48.03,0,0,1.0,1.0,1.0,0.02242,83.8,0,7.71,231.8,0
13,84.8005,47.58,0,0,1.0,1.0,1.0,0.02248,84.3,0,7.87,249.7,0
14,84.8705,47.22,0,0,1.0,1.0,1.0,0.02253,84.8,0,8.0,267.5,0
15,84.9403,46.96,0,0,1.0,1.0,1.0,0.02258,85.2,0,8.09,285.3,0
16,85.0099,46.76,0,0,1.0,1.0,1.0,0.02262,85.7,0,8.16,303.1,0
17,85.0793,46.62,0,0,1.0,1.0,1.0,0.02266,86.2,0,8.23,321.0,0
18,85.1488,46.55,0,0,1.0,1.0,1.0,0.02269,86.6,0,8.26,338.8,0
19,85.2182,46.47,0,0,1.0,1.0,1.0,0.02272,87.0,0,8.3,356.6,0
20,85.2876,46.45,0,0,1.0,1.0,1.0,0.02274,87.5,0,8.32,374.5,0
21,85.3585,46.43,0,0,1.0,1.0,1.0,0.02277,87.9,0,8.34,392.3,0
22,85.4276,46.42,0,0,1.0,1.0,1.0,0.02278,88.3,0,8.35,409.9,0
23,85.4963,46.45,0,0,1.0,1.0,1.0,0.0228,88.7,0,8.37,427.5,0
24,85.5633,46.42,0,0,1.0,1.0,1.0,0.02283,89.1,0,8.39,445.1,0
25,85.6305,46.41,0,0,1.0,1.0,1.0,0.02284,89.6,0,8.41,462.2,0
26,85.6995,46.32,0,0,1.0,1.0,1.0,0.02286,90.0,0,8.43,479.2,0
27,85.7665,46.29,0,0,1.0,1.0,1.0,0.02289,90.4,0,8.46,493.9,0
28,85.8337,46.24,0,0,1.0,1.0,1.0,0.02297,90.8,0,8.49,508.5,0
29,85.9027,46.2,0,0,1.0,1.0,1.0,0.02305,91.2,0,8.51,523.2,0
30,85.934,45.91,1,0,1.15,1.0,1.0,0.02969,91.8,0,8.92,537.8,0.0038
31,85.9386,45.48,1,0,1.15,1.0,1.0,0.03543,92.4,0,9.38,552.5,0.0076
32,85.939,45.09,0,0,1.15,1.0,1.0,0.03383,92.9,0,9.48,565.9,0.014
33,85.9556,44.82,1,0,1.15,1.0,1.0,0.03247,93.5,0,9.75,578.9,0.0161
34,85.979,44.62,1,0,1.15,1.0004,1.0,0.03134,94.1,0,9.91,591.2,0.0182
35,86.0054,44.45,1,0,1.15,1.002,1.0,0.03044,94.6,0,10.02,603.4,0.0203
