tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,85.4031,58.33,0,0,1.0,1.0,1.0,0.0204,78.2,0,5.69,17.8,0
1,85.1562,57.52,0,0,1.0,1.0,1.0,0.02074,78.6,0,5.46,35.7,0
2,84.906,56.28,0,0,1.0,1.0,1.0,0.02103,79.1,0,5.41,53.5,0
3,84.6669,55.04,0,0,1.0,1.0,1.0,0.02127,79.5,0,5.46,71.3,0
4,84.4262,53.9,0,0,1.0,1.0,1.0,0.02149,79.9,0,5.58,89.2,0
5,84.352,52.8,0,0,1.0,1.0,1.0,0.02167,80.4,0,5.92,107.0,0
6,84.0958,50.87,0,0,1.2558,1.0,1.0,0.06174,81.0,0,7.18,124.8,0
7,83.8349,48.48,0,0,1.2564,1.0,1.0,0.09648,82.1,0,8.88,142.7,0
8,83.6145,46.83,0,0,1.2564,1.0,1.0,0.08652,83.1,0,9.92,160.5,0
9,83.4281,45.64,0,0,1.2564,1.0,1.0,0.07798,83.9,0,10.54,178.3,0
10,83.2674,44.84,0,0,1.2564,1.0,1.0,0.07068,84.7,0,10.87,196.2,0
11,83.1313,43.98,0,0,1.2564,1.0,1.0,0.06444,85.5,0,11.09,214.0,0
12,83.0162,43.34,0,0,1.2564,1.0,1.0,0.05911,86.2,0,11.17,231.8,0
13,82.9207,42.9,0,0,1.2564,1.0,1.0,0.05454,86.8,0,11.15,249.7,0
14,82.8428,42.68,0,0,1.2564,1.0,1.0,0.05064,87.4,0,11.05,267.5,0
15,82.7799,42.61,0,0,1.2564,1.0,1.0,0.0473,88.0,0,10.9,285.3,0
16,82.7304,42.66,0,0,1.2564,1.0,1.0,0.04444,88.6,0,10.73,303.1,0
17,82.4785,41.97,0,0,1.2564,1.0,1.7206,0.06917,89.4,0,11.18,321.0,0
18,82.025,40.78,0,0,1.2444,1.0,1.75,0.09248,90.4,0,12.03,338.8,0
19,81.6246,40.08,0,0,1.2444,1.0,1.7514,0.08531,91.3,0,12.48,356.6,0
20,81.2808,39.73,0,0,1.2444,1.0,1.7529,0.07751,92.2,0,12.64,374.5,0
21,80.9855,39.6,0,0,1.2444,1.0,1.7543,0.07093,93.1,0,12.64,390.4,0
22,80.7317,39.63,0,0,1.2446,1.0,1.7557,0.06545,93.9,0,12.52,406.4,0
23,80.5054,39.7,0,0,1.2898,1.0,1.7571,0.06241,94.8,0,12.39,422.0,0
24,80.3026,39.81,0,0,1.2906,1.0,1.7585,0.0599,95.6,0,12.24,436.3,0
25,80.114,39.9,0,0,1.3703,1.0,1.76,0.05891,96.4,0,12.12,449.9,0
26,79.9379,39.63,0,0,1.3703,1.0,1.7614,0.05809,97.3,0,12.03,463.4,0
27,79.7841,39.83,0,0,1.3703,1.0,1.7628,0.05476,98.1,0,11.89,477.0,0
28,79.6376,39.96,0,0,1.4399,1.0,1.7642,0.05414,99.0,0,11.79,490.6,0
29,79.4956,40.07,0,0,1.4616,1.0,1.7657,0.05432,99.8,0,11.72,504.1,0
30,79.4362,40.48,0,0,1.4616,1.0,1.3501,0.04317,100.6,0,11.41,517.7,0
31,79.4422,41.08,0,0,1.5497,1.0,1.3521,0.03544,101.4,0,11.04,531.3,0
32,79.398,41.23,0,0,1.866,1.0,1.3541,0.04717,102.2,0,11.03,542.4,0
33,78.8897,40.65,0,0,1.866,1.0,1.356,0.0678,90.6,1,11.23,553.5,0
34,78.7684,40.46,0,0,1.8956,1.0,1.2999,0.06587,91.3,1,11.56,564.7,0
35,78.642,40.19,1,0,2.18,1.0,1.3021,0.06667,92.1,1,12.07,575.8,0.0021
