tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults
0,88.2854,58.61,0,0,1.0,1.0,1.0,0.02,78.3,0
1,90.9751,57.95,0,0,1.0,1.0,1.0,0.02,78.9,0
2,93.9041,56.88,0,0,1.0,1.0,1.0,0.02,79.5,0
3,97.0168,55.9,0,0,1.0,1.0,1.0,0.02,80.0,0
4,100.1683,54.97,0,0,1.0,1.0,1.0,0.02,80.4,0
5,103.3463,54.16,0,0,1.0,1.0,1.0,0.02,80.9,0
6,104.7953,53.03,0,0,1.0995,1.0,1.0166,0.03507,81.3,0
7,105.0674,51.41,0,0,1.179,1.0,1.0298,0.05339,73.7,1
8,105.2023,50.24,0,0,1.2376,1.0,1.0404,0.0564,74.3,1
9,105.3452,49.31,0,0,1.2844,1.0,1.0489,0.05712,75.0,1
10,105.6056,48.59,0,0,1.327,1.0,1.0557,0.05679,75.6,1
11,106.0096,47.97,0,0,1.361,1.0,1.0611,0.05536,76.3,1
12,106.5893,47.54,0,0,1.3883,1.0,1.0655,0.05326,77.0,1
13,107.3466,47.28,0,0,1.4101,1.0,1.069,0.05079,77.6,1
