tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,88.2854,58.26,0,0,1.0,1.0,1.0,0.02,78.3,0,5.81,18.1
1,90.9259,57.39,0,0,1.0,1.0,1.0,0.02,79.0,0,5.68,36.2
2,93.8547,56.09,0,0,1.0,1.0,1.0,0.02,79.5,0,5.72,54.2
3,96.6695,55.04,0,0,1.0,1.0,1.0,0.02,80.0,0,5.79,72.3
4,99.8088,53.98,0,0,1.0,1.0,1.0,0.02,80.5,0,5.93,90.4
5,102.9928,53.1,0,0,1.0,1.0,1.0,0.02,81.0,0,6.13,108.5
6,104.4519,51.97,0,0,1.0995,1.0,1.0166,0.03507,81.5,0,6.67,126.6
7,104.735,50.27,0,0,1.179,1.0,1.0298,0.0534,73.8,1,7.32,144.6
8,104.8378,48.9,0,0,1.2376,1.0,1.0404,0.05692,74.4,1,8.18,162.7
9,104.9894,47.74,0,0,1.2895,1.0,1.0489,0.05845,75.0,1,8.86,180.8
10,104.9897,46.81,0,0,1.331,1.0,1.0557,0.05817,75.7,1,9.35,198.9
11,105.3307,45.96,0,0,1.3643,1.0,1.0611,0.05673,76.3,1,9.72,217.0
12,105.8509,45.34,0,0,1.3909,1.0,1.0655,0.0546,76.8,1,9.94,235.0
13,106.5566,44.95,0,0,1.4122,1.0,1.069,0.05207,77.4,1,10.04,253.1
