tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,85.5328,58.32,0,0,1.0,1.0,1.0,0.02,78.3,0,5.8,17.8
1,85.4378,57.52,0,0,1.0,1.0,1.0,0.02,78.8,0,5.64,35.7
2,85.347,56.3,0,0,1.0,1.0,1.0,0.02,79.4,0,5.65,53.5
3,85.253,55.08,0,0,1.0,1.0,1.0,0.02,79.9,0,5.74,71.3
4,85.1578,53.96,0,0,1.0,1.0,1.0,0.02,80.5,0,5.89,89.2
5,85.2321,52.87,0,0,1.0,1.0,1.0,0.02,81.0,0,6.24,107.0
6,84.6326,50.24,0,0,1.2433,1.0,1.0,0.07687,73.7,1,7.69,124.8
7,84.4403,47.36,0,0,1.2558,1.0,1.0,0.11988,74.9,1,9.92,142.7
8,84.1267,44.83,0,0,1.2564,1.0,1.0,0.11625,71.8,2,11.3,160.5
9,83.8668,43.35,0,0,1.2564,1.0,1.0,0.10192,72.8,2,12.27,178.3
10,83.6792,42.4,0,0,1.2564,1.0,1.0,0.08963,73.8,2,12.76,196.2
11,83.5562,41.54,0,0,1.2564,1.0,1.0,0.07919,74.7,2,12.99,214.0
12,83.4872,41.01,0,0,1.2564,1.0,1.0,0.07031,75.5,2,13.01,231.8
13,83.4656,40.71,0,0,1.2564,1.0,1.0,0.06276,76.3,2,12.88,249.7
14,83.4846,40.64,0,0,1.2564,1.0,1.0,0.05635,77.0,2,12.66,267.5
15,83.5384,40.76,0,0,1.2564,1.0,1.0,0.0509,77.6,2,12.36,285.3
16,83.622,41.03,0,0,1.2564,1.0,1.0,0.04626,78.2,2,12.03,303.1
17,83.7312,41.38,0,0,1.2564,1.0,1.0,0.04232,78.8,2,11.69,321.0
18,83.5289,40.55,0,0,1.2564,1.0,1.7222,0.07627,79.7,2,12.25,338.8
19,82.6185,38.67,0,0,1.2444,1.0,1.7514,0.11746,75.4,3,13.32,356.6
20,82.2086,37.78,0,0,1.2564,1.0,1.7252,0.10293,76.3,3,14.02,374.5
21,81.6439,36.92,0,0,1.2671,1.0,1.7543,0.1011,73.6,4,14.29,392.3
22,81.2774,36.72,0,0,1.2674,1.0,1.7557,0.09254,74.4,4,14.52,410.1
23,80.9873,36.57,0,0,1.2957,1.0,1.7571,0.08324,75.2,4,14.49,424.0
24,80.7379,36.78,0,0,1.3636,1.0,1.7586,0.07884,76.0,4,14.37,437.9
25,80.3765,36.58,0,0,1.3647,1.0,1.76,0.08299,73.7,5,14.18,451.8
26,80.0843,36.88,0,0,1.3659,1.0,1.7614,0.07373,74.4,5,14.04,465.7
27,79.8734,37.29,0,0,1.434,1.0,1.6581,0.06589,75.0,5,13.78,479.4
28,79.6728,37.57,0,0,1.6332,1.0,1.6597,0.06876,75.8,5,13.65,492.5
29,79.4922,37.79,0,0,1.6332,1.0,1.6613,0.07069,76.5,5,13.56,505.7
30,79.3699,38.15,0,0,1.6332,1.0,1.6628,0.06319,77.2,5,13.34,518.8
31,79.2977,38.61,0,0,1.6332,1.0,1.6644,0.05681,77.9,5,13.04,531.9
32,79.1032,38.31,0,0,2.3299,1.0,1.666,0.0795,78.8,5,13.34,545.1
33,79.0807,39.13,0,0,1.0,1.0011,1.6675,0.04515,79.3,5,12.76,558.2
34,79.2434,40.86,0,0,1.0,1.0,1.6691,0.00632,79.8,5,11.7,570.5
35,79.3976,42.13,0,0,1.0,1.0,1.6707,0.0109,80.3,5,10.91,582.8
