tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,85.5328,58.32,0,0,1.0,1.0,1.0,0.02,78.3,0,5.8,17.8
1,85.4378,57.52,0,0,1.0,1.0,1.0,0.02,78.8,0,5.64,35.7
2,85.347,56.3,0,0,1.0,1.0,1.0,0.02,79.4,0,5.65,53.5
3,85.253,55.08,0,0,1.0,1.0,1.0,0.02,79.9,0,5.74,71.3
4,85.1578,53.96,0,0,1.0,1.0,1.0,0.02,80.5,0,5.89,89.2
5,85.2321,52.87,0,0,1.0,1.0,1.0,0.02,81.0,0,6.24,107.0
6,84.1467,48.02,0,0,2.3046,1.0,1.4608,0.15549,74.0,1,9.48,124.8
7,82.9737,41.19,0,0,2.3789,1.0,1.4851,0.27368,75.2,1,14.72,142.7
8,81.4138,34.74,0,0,2.4179,1.0,1.4863,0.27776,72.9,2,18.68,160.5
9,80.3577,29.78,0,0,2.4293,1.0,1.4496,0.27191,74.2,2,21.81,178.3
10,79.2271,25.65,0,1,2.4404,1.7356,1.4496,0.28303,75.5,2,24.48,196.2
11,77.9369,21.05,0,1,2.4142,1.7755,1.4496,0.30431,72.3,3,26.71,214.0
12,76.8471,18.81,0,3,2.4143,1.7775,1.4496,0.26715,73.5,3,27.78,231.8
13,75.6849,17.49,0,4,2.4143,1.7776,1.4496,0.25124,71.4,4,27.92,249.7
14,74.7996,15.79,0,6,2.407,1.8691,1.4693,0.2427,68.8,5,27.82,267.5
15,74.2372,15.49,0,7,2.441,1.8697,1.4496,0.22907,69.4,5,27.6,282.5
16,73.7905,17.13,0,7,2.4045,1.9531,1.4864,0.21437,70.0,5,27.26,297.6
17,73.6334,17.26,0,8,2.4045,1.9537,1.4864,0.20501,70.6,5,26.82,312.6
18,73.0728,20.46,0,6,2.4045,1.9543,1.4864,0.19922,67.9,6,26.22,322.9
19,72.8296,22.11,0,5,2.427,1.9029,1.4864,0.18305,68.8,6,25.59,333.1
20,72.6073,25.36,0,4,2.427,1.9029,1.4864,0.16554,69.8,6,24.68,346.1
21,72.4227,26.16,0,3,2.5435,1.9029,1.4864,0.15208,70.8,6,23.81,359.1
22,72.1042,27.64,0,2,2.5435,1.9026,1.4864,0.13849,71.9,6,22.87,372.1
23,71.4881,29.06,0,1,2.543,1.9024,1.4864,0.13195,70.0,7,21.7,387.5
24,70.8857,29.02,0,1,2.5994,1.8199,1.4496,0.12384,65.6,8,20.68,402.5
25,70.6761,29.54,0,2,2.543,1.902,1.4864,0.11014,66.5,8,19.85,417.1
26,70.5389,31.94,0,1,2.5488,1.8194,1.4496,0.09801,67.4,8,18.84,431.7
27,70.4636,32.35,0,1,2.5488,1.8194,1.4496,0.08551,68.2,8,17.84,446.3
28,70.424,32.84,0,1,2.5488,1.8194,1.4496,0.0776,68.9,8,16.94,460.7
29,70.4471,33.56,0,1,2.5265,1.8194,1.4496,0.07029,69.7,8,16.1,475.1
30,70.4556,34.26,0,1,2.5265,1.7768,1.4496,0.06131,70.4,8,15.31,489.6
31,70.5258,36.86,0,0,2.5265,1.7768,1.4496,0.05107,71.1,8,14.36,503.7
32,70.5352,37.38,0,0,2.5265,1.7767,1.4496,0.04947,71.8,8,13.69,517.5
33,70.534,37.74,0,0,2.5265,1.7765,1.4496,0.04907,72.5,8,13.2,531.2
34,70.5877,38.73,0,0,2.5265,1.7763,1.4496,0.03409,73.1,8,12.45,543.7
35,70.684,39.73,0,0,2.5265,1.7762,1.4496,0.02687,73.7,8,11.71,556.2
