tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation
0,29.954,61.75,0,0,1.0,1.0,1.0,0.02
1,32.1094,60.4,0,0,1.0,1.0,1.0,0.02
2,34.2459,59.4,0,0,1.0,1.0,1.0,0.02
3,36.2908,58.64,0,0,1.0,1.0,1.0,0.02
4,38.203,57.99,0,0,1.025,1.0,1.0,0.02391
5,39.9011,57.43,0,0,1.045,1.0,1.0,0.02637
6,41.5805,56.86,0,0,1.091,1.0,1.0,0.03229
7,43.201,56.35,0,0,1.1278,1.0,1.0,0.03572
8,44.7977,55.88,0,0,1.1572,1.0,1.0,0.03744
9,46.3957,55.36,0,0,1.1808,1.0,1.0,0.038
10,48.0127,54.94,0,0,1.1996,1.0,1.0,0.0378
11,49.6608,54.64,0,0,1.2147,1.0,1.0,0.03709
12,51.3477,54.44,0,0,1.2268,1.0,1.0,0.03608
13,53.0782,54.32,0,0,1.2364,1.0,1.0,0.03489
14,53.3314,53.49,0,0,1.2801,1.084,1.099,0.06987
15,52.6664,51.75,0,0,1.3898,1.1881,1.2052,0.1089
16,51.7103,50.19,0,0,1.4621,1.2615,1.2902,0.12657
17,50.3379,48.46,0,0,1.5762,1.3628,1.3761,0.14782
18,49.1492,47.37,0,0,1.6266,1.4111,1.4179,0.14488
19,48.1246,46.41,0,0,1.7078,1.4825,1.4783,0.14984
20,47.596,46.06,0,0,1.7166,1.497,1.5087,0.13654
21,47.1996,45.61,0,0,1.7798,1.5512,1.5419,0.1346
22,47.1576,45.7,0,0,1.7895,1.5619,1.5595,0.12148
23,47.5971,46.14,0,0,1.7819,1.5605,1.5736,0.10715
24,48.1052,46.24,0,0,1.832,1.602,1.6029,0.10612
25,48.8395,46.85,0,0,1.8313,1.6025,1.5993,0.09277
26,49.7684,47.14,0,0,1.8716,1.6356,1.6235,0.09135
27,51.0523,47.98,0,0,1.8475,1.6195,1.6248,0.07725
28,52.3471,48.14,0,0,1.8846,1.6492,1.6348,0.07582
29,53.8447,48.78,0,0,1.8733,1.6402,1.6339,0.06556
30,55.7042,49.53,0,0,1.849,1.6232,1.6331,0.05498
31,57.4976,49.72,0,0,1.8857,1.6522,1.6505,0.05762
32,59.4128,50.3,0,0,1.8742,1.6426,1.6374,0.04864
33,61.3995,50.46,0,0,1.9059,1.6677,1.6539,0.05126
34,63.6778,51.09,0,0,1.875,1.6452,1.6491,0.04139
35,65.8574,51.22,0,0,1.9065,1.6697,1.6543,0.04373
