tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation
0,30.8312,63.3,0,0,1.0,1.0,1.0,0.02
1,32.5302,61.28,0,0,1.04,1.035,1.0,0.03172
2,34.0403,59.48,0,0,1.087,1.078,1.0,0.04351
3,35.7606,58.2,0,0,1.1096,1.0624,1.0,0.04097
4,37.5279,57.29,0,0,1.1277,1.0499,1.0,0.03854
5,39.3427,56.67,0,0,1.1421,1.0399,1.0,0.03628
6,40.4063,55.65,0,0,1.1762,1.0669,1.085,0.05849
7,41.3037,54.63,0,0,1.1962,1.0536,1.1785,0.06957
8,41.9085,53.91,0,0,1.2122,1.0428,1.2533,0.07454
9,42.4917,53.16,0,0,1.225,1.0343,1.3131,0.07568
10,43.1105,52.51,0,0,1.2353,1.0274,1.361,0.07443
11,43.7224,52.04,0,0,1.2435,1.0219,1.3993,0.07175
12,44.4264,51.75,0,0,1.25,1.0176,1.4299,0.06824
13,45.1984,51.62,0,0,1.2553,1.014,1.4545,0.06434
14,46.0757,51.55,0,0,1.2595,1.0112,1.4741,0.0603
15,47.0567,51.49,0,0,1.2628,1.009,1.4898,0.05632
16,48.1376,51.53,0,0,1.2655,1.0072,1.5023,0.05251
17,49.3133,51.66,0,0,1.2677,1.0058,1.5123,0.04893
18,50.5784,51.83,0,0,1.2694,1.0046,1.5204,0.04562
19,51.9271,52.04,0,0,1.2708,1.0037,1.5268,0.04259
20,53.3538,52.27,0,0,1.2719,1.0029,1.5319,0.03986
21,54.8531,52.5,0,0,1.2727,1.0024,1.5361,0.0374
22,56.4201,52.72,0,0,1.2734,1.0019,1.5393,0.0352
23,58.0498,52.94,0,0,1.274,1.0015,1.542,0.03325
24,59.738,53.15,0,0,1.2744,1.0012,1.5441,0.03153
25,61.4806,53.34,0,0,1.2748,1.001,1.5458,0.03001
26,63.2738,53.52,0,0,1.2751,1.0008,1.5471,0.02868
27,65.1143,53.63,0,0,1.2753,1.0006,1.5482,0.02751
28,66.9989,53.79,0,0,1.2755,1.0005,1.5491,0.02649
29,68.9249,53.88,0,0,1.2757,1.0004,1.5497,0.0256
30,70.8896,54.02,0,0,1.2758,1.0003,1.5503,0.02483
31,72.8909,54.09,0,0,1.2759,1.0003,1.5507,0.02416
32,74.9265,54.15,0,0,1.2759,1.0002,1.5511,0.02358
33,76.9948,54.27,0,0,1.276,1.0002,1.5514,0.02308
34,79.0939,54.31,0,0,1.2761,1.0001,1.5516,0.02265
35,81.2224,54.35,0,0,1.2761,1.0001,1.5518,0.02227
