tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,117.5418,51.76,0,0,1.0,1.0,1.0,0.02017,68.8,0,6.37,110.1,0
1,117.2332,51.8,0,0,1.0,1.177,1.0,0.02736,66.8,1,6.09,220.2,0
2,117.5192,51.71,0,0,1.0,1.229,1.0,0.03447,67.4,1,6.06,330.3,0
3,117.8053,51.67,0,0,1.0,1.2296,1.0,0.03407,68.0,1,6.02,440.4,0
4,118.0924,51.7,0,0,1.0,1.2301,1.0,0.0322,68.6,1,5.95,550.5,0
5,118.3803,51.78,0,0,1.0,1.2307,1.0,0.03061,69.1,1,5.85,660.6,0
6,118.5483,50.84,0,0,1.1183,1.508,1.36,0.0706,70.0,1,6.65,770.7,0
7,118.6147,49.17,0,0,1.1186,1.5092,1.3609,0.10488,71.2,1,8.02,880.7,0
8,118.7067,48.11,0,0,1.1186,1.5098,1.3609,0.09272,72.2,1,8.8,990.8,0
9,118.8186,47.43,0,0,1.1186,1.5103,1.3769,0.0829,73.2,1,9.19,1100.9,0
10,118.9444,46.81,0,0,1.1186,1.5109,1.3769,0.0748,74.6,1,9.36,1211.0,0
11,119.0723,46.09,0,0,1.1186,1.5114,1.4197,0.0688,76.0,1,9.46,1321.1,0
12,119.2023,45.65,0,0,1.1186,1.5119,1.4197,0.06377,77.3,1,9.41,1431.2,0
13,118.7236,45.42,0,0,1.1186,1.5125,1.4066,0.05851,77.9,2,9.25,1541.3,0
14,118.8534,45.42,0,0,1.1186,1.513,1.4023,0.05302,79.1,2,9.01,1651.4,0
15,118.3771,45.5,0,0,1.1186,1.5136,1.3955,0.04948,78.6,3,8.73,1761.5,0
16,117.9024,45.67,0,0,1.1186,1.5141,1.3955,0.04657,79.2,4,8.46,1871.6,0
17,118.0273,45.96,0,1,1.1186,1.4516,1.3956,0.04199,80.3,4,8.16,1981.7,0
18,118.1498,46.31,0,1,1.1186,1.454,1.3987,0.03831,81.5,4,7.85,2091.8,0
19,118.2693,46.63,0,1,1.1186,1.4392,1.3988,0.03636,82.6,4,7.57,2201.9,0
20,118.3858,46.93,0,1,1.1186,1.4394,1.3988,0.03462,83.8,4,7.32,2312.0,0
21,118.4959,47.18,0,1,1.127,1.437,1.3957,0.03365,84.9,4,7.1,2419.5,0
22,118.6021,47.41,0,1,1.1136,1.4399,1.3988,0.03259,86.1,4,6.92,2527.0,0
23,118.7,47.62,1,0,1.2831,1.4293,1.3988,0.03697,87.3,4,6.88,2634.5,0.001
24,118.789,47.57,2,0,1.2696,1.4209,1.3989,0.04046,88.5,4,6.95,2738.6,0.0025
25,118.8701,47.55,3,0,1.277,1.4211,1.3989,0.03835,89.7,4,6.99,2837.3,0.0058
26,118.3489,47.51,2,0,1.263,1.4194,1.3989,0.03767,90.4,5,6.96,2930.8,0.0107
27,118.4196,47.54,5,0,1.2728,1.3877,1.3872,0.03515,91.7,5,6.94,3020.7,0.0126
28,117.889,47.51,4,0,1.2827,1.3658,1.3872,0.03411,91.7,6,6.88,3107.4,0.0155
29,117.9331,47.5,4,0,1.2914,1.3659,1.3872,0.03352,92.9,6,6.84,3192.4,0.0261
30,117.3887,47.38,1,0,1.3107,1.3661,1.3872,0.0349,93.4,7,6.77,3273.5,0.0347
31,117.4139,47.33,1,0,1.2973,1.365,1.3873,0.03526,94.7,7,6.75,3353.3,0.0395
32,117.4066,47.19,1,0,1.3109,1.3808,1.388,0.03805,95.9,7,6.78,3430.8,0.0477
33,117.3852,47.1,3,0,1.2383,1.3734,1.3873,0.03849,97.2,7,6.83,3508.3,0.0507
34,117.3643,47.15,1,1,1.244,1.352,1.3873,0.03272,98.4,7,6.71,3583.8,0.0596
35,117.3974,47.35,1,1,1.1989,1.3656,1.3903,0.02711,99.6,7,6.49,3656.9,0.0683
