tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,117.5418,51.76,0,0,1.0,1.0,1.0,0.02017,68.8,0,6.37,110.1,0
1,117.2332,51.8,0,0,1.0,1.177,1.0,0.02736,66.8,1,6.09,220.2,0
2,117.5192,51.71,0,0,1.0,1.229,1.0,0.03447,67.4,1,6.06,330.3,0
3,117.8053,51.67,0,0,1.0,1.2296,1.0,0.03407,68.0,1,6.02,440.4,0
4,118.0924,51.7,0,0,1.0,1.2301,1.0,0.0322,68.6,1,5.95,550.5,0
5,118.3803,51.78,0,0,1.0,1.2307,1.0,0.03061,69.1,1,5.85,660.6,0
6,118.5483,50.84,0,0,1.1183,1.508,1.36,0.0706,70.0,1,6.65,770.7,0
7,118.6147,49.17,0,0,1.1186,1.5092,1.3609,0.10488,71.2,1,8.02,880.7,0
8,118.7067,48.11,0,0,1.1186,1.5098,1.3609,0.09272,72.2,1,8.8,990.8,0
9,118.8186,47.43,0,0,1.1186,1.5103,1.3769,0.0829,73.2,1,9.19,1100.9,0
10,118.9444,46.81,0,0,1.1186,1.5109,1.3769,0.07454,74.2,1,9.36,1211.0,0
11,119.0814,46.11,0,0,1.1186,1.5114,1.4065,0.06789,75.0,1,9.44,1321.1,0
12,119.2295,45.7,0,0,1.1186,1.5119,1.3998,0.062,75.8,1,9.37,1431.2,0
13,119.3894,45.55,0,0,1.1186,1.5125,1.3998,0.05601,76.5,1,9.19,1541.3,0
14,119.5589,45.57,0,0,1.1186,1.513,1.3998,0.05113,77.2,1,8.94,1651.4,0
15,119.1248,45.66,0,0,1.1186,1.5136,1.3998,0.04785,76.1,2,8.65,1761.5,0
16,119.306,45.89,0,0,1.1186,1.5141,1.3999,0.04414,76.7,2,8.38,1871.6,0
17,119.4917,46.21,0,0,1.1186,1.4779,1.3999,0.04013,77.3,2,8.08,1981.7,0
18,119.6819,46.58,0,1,1.1186,1.4382,1.3999,0.03578,77.9,2,7.75,2091.8,0
19,119.8755,46.92,0,1,1.1186,1.4358,1.3999,0.03287,78.4,2,7.44,2201.9,0
20,120.0718,47.25,0,1,1.1186,1.4335,1.4,0.03127,79.0,2,7.16,2312.0,0
21,120.2715,47.56,0,1,1.1226,1.4186,1.3776,0.02901,79.5,2,6.91,2421.3,0
22,120.4706,47.74,0,1,1.2749,1.4188,1.3776,0.0322,80.1,2,6.78,2528.8,0.0005
23,120.6682,47.77,0,1,1.2771,1.4113,1.3776,0.03576,80.7,2,6.76,2632.1,0.001
24,120.8613,47.99,1,0,1.2883,1.4038,1.3733,0.03375,81.2,2,6.71,2726.7,0.0024
25,121.0595,48.13,1,0,1.2736,1.4013,1.3616,0.0313,81.8,2,6.62,2818.1,0.0024
26,121.2597,48.24,2,0,1.2784,1.3863,1.3616,0.02898,82.3,2,6.52,2904.2,0.0025
27,121.4535,48.36,4,0,1.2658,1.3838,1.3616,0.02745,82.9,2,6.46,2985.9,0.0037
28,121.025,48.4,4,0,1.2774,1.382,1.3616,0.02754,82.4,3,6.38,3065.8,0.0057
29,121.2091,48.45,3,0,1.2948,1.3503,1.3617,0.02689,82.9,3,6.31,3145.5,0.0123
30,121.3777,48.48,4,0,1.2803,1.3361,1.3658,0.02558,83.4,3,6.23,3224.9,0.0177
31,121.5471,48.55,3,0,1.291,1.3247,1.3617,0.02501,84.0,3,6.15,3301.9,0.0229
32,121.7085,48.61,3,1,1.2538,1.3201,1.3621,0.02349,84.5,3,6.06,3377.6,0.0367
33,121.8664,48.71,4,1,1.2154,1.319,1.3621,0.02102,85.0,3,5.93,3453.2,0.0465
34,122.023,48.77,6,1,1.2182,1.3136,1.3621,0.01956,85.6,3,5.84,3527.9,0.058
35,122.1852,48.89,6,1,1.2263,1.3126,1.3621,0.01717,86.1,3,5.72,3601.8,0.0764
