tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,117.5418,51.76,0,0,1.0,1.0,1.0,0.02017,68.8,0,6.37,110.1,0
1,117.2332,51.8,0,0,1.0,1.177,1.0,0.02736,66.8,1,6.09,220.2,0
2,117.5192,51.71,0,0,1.0,1.229,1.0,0.03447,67.4,1,6.06,330.3,0
3,117.8053,51.67,0,0,1.0,1.2296,1.0,0.03407,68.0,1,6.02,440.4,0
4,118.0924,51.7,0,0,1.0,1.2301,1.0,0.0322,68.6,1,5.95,550.5,0
5,118.2598,50.73,0,0,1.1183,1.5074,1.36,0.07195,69.4,1,6.75,660.6,0
6,118.3259,49.06,0,0,1.1186,1.5087,1.3609,0.10601,70.6,1,8.13,770.7,0
7,118.421,47.99,0,0,1.1186,1.5092,1.3609,0.09368,71.7,1,8.9,880.7,0
8,118.5356,47.32,0,0,1.1186,1.5098,1.3769,0.08366,72.7,1,9.28,990.8,0
9,118.6649,46.72,0,0,1.1186,1.5103,1.3769,0.07518,73.6,1,9.45,1100.9,0
10,118.8038,46.02,0,0,1.1186,1.5109,1.4196,0.06885,74.5,1,9.53,1211.0,0
11,118.9516,45.6,0,0,1.1186,1.5114,1.4197,0.06347,75.3,1,9.47,1321.1,0
12,119.1107,45.44,0,0,1.1186,1.5119,1.4197,0.05748,76.0,1,9.3,1431.2,0
13,119.2796,45.46,0,0,1.1186,1.5125,1.4197,0.05238,76.7,1,9.05,1541.3,0
14,119.4523,45.44,1,0,1.2864,1.513,1.4198,0.05364,77.4,1,8.91,1651.4,0.0011
15,119.0174,45.34,1,0,1.2864,1.5136,1.4198,0.0556,76.4,2,8.83,1761.5,0.0021
16,119.1995,45.44,1,1,1.2864,1.5143,1.3975,0.05004,77.1,2,8.67,1871.6,0.0033
17,119.3874,45.69,0,1,1.2864,1.4876,1.3975,0.0447,77.7,2,8.41,1981.7,0.0044
18,119.583,46.11,0,1,1.1186,1.4814,1.3975,0.03588,78.2,2,8.01,2091.8,0.0044
19,119.7845,46.67,0,1,1.1186,1.45,1.3975,0.02824,78.8,2,7.54,2201.9,0.0044
20,119.9889,47.17,0,1,1.1186,1.4377,1.3844,0.026,79.4,2,7.13,2312.0,0.0044
21,120.1952,47.59,0,1,1.1226,1.438,1.3801,0.02484,79.9,2,6.79,2416.8,0.0044
22,120.3953,48.08,0,0,1.1304,1.4156,1.3733,0.02404,80.5,2,6.51,2516.5,0.0044
23,120.5961,48.35,0,0,1.1354,1.3981,1.3733,0.02311,81.0,2,6.27,2614.1,0.0044
24,120.7963,48.55,0,0,1.1421,1.3831,1.3733,0.02268,81.6,2,6.08,2709.5,0.0044
25,120.9802,48.56,3,0,1.3278,1.3702,1.3733,0.02838,82.1,2,6.13,2800.7,0.008
26,121.1546,48.41,4,0,1.341,1.3692,1.3733,0.03375,82.7,2,6.29,2891.4,0.0137
27,121.3253,48.29,3,0,1.3469,1.3771,1.3733,0.0329,83.3,2,6.39,2977.9,0.0197
28,120.8693,48.17,2,0,1.3661,1.3603,1.3734,0.03278,82.7,3,6.41,3063.6,0.0246
29,121.0273,48.13,1,0,1.3492,1.3604,1.3734,0.03098,83.3,3,6.39,3148.6,0.0318
30,121.1867,48.13,1,0,1.3724,1.3527,1.3726,0.02979,83.8,3,6.35,3231.0,0.0368
31,121.3476,48.15,4,0,1.3663,1.3428,1.3727,0.02852,84.3,3,6.33,3310.9,0.0444
32,121.4934,48.14,5,0,1.3272,1.3409,1.3727,0.02794,84.9,3,6.33,3388.3,0.0577
33,121.6342,48.13,4,1,1.3275,1.3253,1.3727,0.0277,85.4,3,6.29,3464.1,0.0676
34,121.7732,48.12,3,1,1.3016,1.3278,1.3727,0.02672,85.9,3,6.23,3539.5,0.0794
35,121.8941,48.09,4,1,1.3208,1.3254,1.3727,0.02532,86.5,3,6.17,3615.0,0.0944
