tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,117.5418,51.76,0,0,1.0,1.0,1.0,0.02017,68.8,0,6.37,110.1,0
1,117.2332,51.8,0,0,1.0,1.177,1.0,0.02736,66.8,1,6.09,220.2,0
2,117.5192,51.71,0,0,1.0,1.229,1.0,0.03447,67.4,1,6.06,330.3,0
3,117.8053,51.67,0,0,1.0,1.2296,1.0,0.03407,68.0,1,6.02,440.4,0
4,118.0924,51.7,0,0,1.0,1.2301,1.0,0.0322,68.6,1,5.95,550.5,0
5,118.3803,51.78,0,0,1.0,1.2307,1.0,0.03061,69.1,1,5.85,660.6,0
6,118.6522,51.68,0,0,1.0671,1.2641,1.0602,0.03686,69.7,1,5.91,770.7,0
7,118.9111,51.48,0,0,1.0673,1.2647,1.0604,0.04221,70.3,1,6.07,880.7,0
8,119.1715,51.39,0,0,1.0673,1.2653,1.0604,0.03917,70.8,1,6.12,990.8,0
9,119.4333,51.35,0,0,1.0673,1.2658,1.0604,0.03656,71.4,1,6.11,1100.9,0
10,119.6944,51.3,0,0,1.0673,1.2664,1.0604,0.03434,71.9,1,6.07,1211.0,0
11,119.9567,51.25,0,0,1.0673,1.2669,1.0604,0.03246,72.5,1,6.01,1321.1,0
12,120.2203,51.24,0,0,1.0673,1.2675,1.0604,0.03087,73.1,1,5.93,1431.2,0
13,120.4849,51.25,0,0,1.0673,1.268,1.0604,0.02951,73.6,1,5.84,1541.3,0
14,120.7505,51.27,0,0,1.0673,1.2686,1.0604,0.02837,74.2,1,5.75,1651.4,0
15,120.4004,51.24,0,0,1.0673,1.2692,1.0604,0.02827,73.1,2,5.65,1761.5,0
16,120.6639,51.27,0,0,1.0673,1.2697,1.0604,0.02729,73.6,2,5.58,1871.6,0
17,120.9265,51.34,0,0,1.0673,1.2449,1.0604,0.02577,74.1,2,5.49,1981.7,0
18,121.1891,51.46,0,0,1.0673,1.1827,1.0604,0.02274,74.6,2,5.35,2091.8,0
19,121.4529,51.63,0,0,1.0673,1.1536,1.0604,0.02001,75.1,2,5.18,2201.9,0
20,121.716,51.77,0,0,1.0673,1.1513,1.0604,0.01933,75.6,2,5.04,2312.0,0
21,121.969,51.84,0,0,1.0727,1.1441,1.0604,0.01958,76.1,2,4.94,2420.7,0
22,122.2109,51.74,1,0,1.2391,1.1418,1.0604,0.0256,76.6,2,5.02,2529.1,0.0014
23,122.4486,51.52,2,0,1.2444,1.1351,1.0604,0.03072,77.1,2,5.22,2634.5,0.0034
24,122.6783,51.35,4,0,1.2474,1.1353,1.0604,0.02945,77.6,2,5.37,2735.7,0.0087
25,122.9045,51.2,3,0,1.2612,1.1455,1.0604,0.02917,78.1,2,5.48,2834.5,0.0145
26,123.1353,51.14,3,0,1.2435,1.1207,1.0604,0.02753,78.6,2,5.52,2930.2,0.018
27,123.3642,51.11,0,0,1.2596,1.1165,1.0604,0.02577,79.1,2,5.45,3017.8,0.022
28,122.9669,51.05,2,0,1.2613,1.1029,1.0604,0.02604,78.5,3,5.42,3102.2,0.0262
29,123.1844,51.01,1,0,1.2776,1.1021,1.0604,0.02549,79.0,3,5.39,3184.7,0.0303
30,123.3843,50.97,0,0,1.2811,1.0926,1.0604,0.02521,79.5,3,5.34,3265.0,0.0413
31,123.5881,50.95,2,0,1.2899,1.078,1.0604,0.02438,79.9,3,5.32,3344.2,0.0526
32,123.794,50.97,6,0,1.2619,1.075,1.0604,0.02227,80.4,3,5.33,3421.1,0.065
33,123.9742,50.93,11,0,1.2619,1.0751,1.0604,0.02068,80.9,3,5.36,3497.3,0.0829
34,124.1491,50.82,7,0,1.2696,1.0751,1.0726,0.02246,81.4,3,5.34,3572.5,0.1009
35,124.297,50.58,2,0,1.2838,1.1143,1.0604,0.02519,81.9,3,5.34,3647.4,0.1223
