tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,85.7513,58.34,0,0,1.0,1.0,1.0,0.0204,78.2,0,5.67,17.8,0
1,85.8476,57.51,0,0,1.0,1.0,1.0,0.02074,78.7,0,5.44,35.7,0
2,85.9391,56.13,0,0,1.0,1.0,1.0,0.02103,79.1,0,5.42,53.5,0
3,86.0246,54.84,0,0,1.0,1.0,1.0,0.02127,79.6,0,5.5,71.3,0
4,86.1079,53.47,0,0,1.0,1.0,1.0,0.02149,80.0,0,5.67,89.2,0
5,86.1878,52.1,0,0,1.0,1.0,1.0,0.02167,80.5,0,6.16,107.0,0
6,85.6846,47.92,0,0,2.3618,1.0,1.5558,0.12878,81.7,0,9.05,124.8,0
7,84.612,41.74,0,0,2.393,1.0,1.535,0.22048,83.0,0,13.36,142.7,0
8,83.6936,36.82,0,0,2.3657,1.0,1.5573,0.19224,84.3,0,16.15,160.5,0
9,82.9049,33.39,0,0,2.3657,1.0,1.5573,0.16849,85.6,0,17.77,178.3,0
10,82.2309,31.17,0,0,2.3657,1.0,1.5573,0.14865,87.5,0,18.55,196.2,0
11,81.6487,29.79,0,1,2.3657,1.0,1.5573,0.13184,89.4,0,18.79,214.0,0
12,81.1359,29.01,0,1,2.3657,1.0,1.6317,0.12161,91.2,0,18.75,231.8,0
13,80.6897,28.64,0,1,2.3657,1.0,1.5573,0.1112,93.0,0,18.49,249.7,0
14,79.8872,28.18,0,1,2.3657,1.0,1.5573,0.11009,85.1,1,18.06,267.5,0
15,79.5269,28.29,0,2,2.3657,1.0,1.5573,0.10075,86.7,1,17.75,285.3,0
16,79.2178,28.64,0,2,2.3657,1.0,1.5333,0.09275,88.1,1,17.34,300.4,0
17,78.9441,30.52,0,1,2.3657,1.0,1.5333,0.08407,89.6,1,16.76,315.4,0
18,78.7111,30.85,0,2,2.3657,1.0,1.5333,0.07561,91.1,1,16.17,330.5,0
19,78.5554,31.33,0,2,2.3657,1.0,1.5333,0.0697,92.2,1,15.6,345.5,0
20,78.4165,31.85,0,2,2.3657,1.0,1.5332,0.06626,93.3,1,15.1,360.6,0
21,78.3204,34.16,0,1,2.3283,1.0,1.4292,0.0586,94.5,1,14.41,378.4,0
22,78.2582,34.63,0,1,2.3283,1.0,1.4292,0.05203,95.6,1,13.82,395.2,0
23,78.1955,34.98,0,1,2.3283,1.0,1.4292,0.05129,96.7,1,13.37,412.1,0
24,78.0883,36.58,0,0,2.3283,1.0,1.4292,0.04958,98.1,1,12.93,427.4,0
25,77.983,36.72,0,0,2.3283,1.0,1.4292,0.04883,99.6,1,12.57,442.7,0
26,77.859,36.87,0,0,2.4843,1.0,1.4292,0.05137,101.0,1,12.34,458.0,0
27,77.7276,37.03,0,0,2.3863,1.0,1.4291,0.05169,102.5,1,12.19,473.1,0
28,77.5992,37.22,0,0,2.3863,1.0,1.4394,0.04938,104.0,1,12.01,488.2,0
29,77.4138,37.19,0,0,2.978,1.0,1.4496,0.06132,105.6,1,12.11,503.3,0
30,77.1776,36.89,0,0,2.978,1.0,1.4496,0.07173,107.4,1,12.4,518.4,0
31,76.9343,36.69,0,0,2.978,1.0,1.4496,0.07097,109.2,1,12.6,533.4,0
32,76.7223,36.89,0,0,2.978,1.0,1.4496,0.06182,111.0,1,12.54,548.5,0
33,76.5413,37.37,0,0,2.978,1.0,1.4496,0.05337,112.7,1,12.28,563.6,0
34,76.3518,37.72,0,0,2.978,1.0,1.4496,0.0547,114.4,1,12.11,578.7,0
35,76.1132,37.86,0,0,3.645,1.0,1.4496,0.06551,116.3,1,12.18,592.2,0
