tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,85.7513,58.34,0,0,1.0,1.0,1.0,0.0204,78.2,0,5.67,17.8,0
1,85.8476,57.51,0,0,1.0,1.0,1.0,0.02074,78.7,0,5.44,35.7,0
2,85.9391,56.13,0,0,1.0,1.0,1.0,0.02103,79.1,0,5.42,53.5,0
3,86.0246,54.84,0,0,1.0,1.0,1.0,0.02127,79.6,0,5.5,71.3,0
4,86.1079,53.47,0,0,1.0,1.0,1.0,0.02149,80.0,0,5.67,89.2,0
5,86.1878,52.1,0,0,1.0,1.0,1.0,0.02167,80.5,0,6.16,107.0,0
6,85.6846,47.92,0,0,2.3618,1.0,1.5558,0.12878,81.7,0,9.05,124.8,0
7,84.612,41.74,0,0,2.393,1.0,1.535,0.22048,83.0,0,13.36,142.7,0
8,83.6936,36.82,0,0,2.3657,1.0,1.5573,0.19224,84.3,0,16.15,160.5,0
9,82.9049,33.39,0,0,2.3657,1.0,1.5573,0.16849,85.6,0,17.77,178.3,0
10,82.2309,31.17,0,0,2.3657,1.0,1.5573,0.14796,86.9,0,18.55,196.2,0
11,81.6334,29.74,0,1,2.3657,1.0,1.662,0.13305,88.2,0,18.83,214.0,0
12,81.0889,28.87,0,1,2.3657,1.0,1.754,0.12453,89.5,0,18.87,231.8,0
13,80.6053,28.39,0,1,2.3657,1.0,1.7541,0.11469,90.7,0,18.69,249.7,0
14,80.226,28.18,0,1,2.3657,1.0,1.5573,0.10012,91.9,0,18.22,267.5,0
15,79.9355,28.71,0,2,2.3657,1.0,1.5573,0.08776,93.0,0,17.59,285.3,0
16,79.6921,29.38,0,2,2.3657,1.0,1.5333,0.08117,94.0,0,16.96,300.4,0
17,79.482,31.74,0,1,2.3657,1.0,1.5333,0.07363,95.0,0,16.26,315.4,0
18,79.3032,32.09,0,1,2.3657,1.0,1.5333,0.0678,95.9,0,15.63,330.5,0
19,79.1553,32.61,0,1,2.3657,1.0,1.5573,0.06175,96.8,0,15.01,345.5,0
20,79.0345,33.16,0,1,2.3657,1.0,1.5573,0.05669,97.7,0,14.45,360.6,0
21,78.9328,35.46,0,0,2.3225,1.0,1.5573,0.05241,98.6,0,13.76,378.4,0
22,78.8577,35.94,0,0,2.2371,1.0,1.5573,0.04717,99.4,0,13.2,396.2,0
23,78.8016,36.37,0,0,2.2371,1.0,1.5573,0.04351,100.3,0,12.7,414.1,0
24,78.7066,36.58,0,0,2.4293,1.0,1.7283,0.05012,101.2,0,12.47,429.2,0
25,78.5804,36.71,0,0,2.3807,1.0,1.7286,0.05489,102.1,0,12.38,444.4,0
26,78.4738,36.93,0,0,2.3807,1.0,1.7288,0.05108,103.1,0,12.21,458.2,0
27,78.4148,37.28,0,0,2.3807,1.0,1.5767,0.04333,103.9,0,11.93,472.0,0
28,78.3515,37.52,0,0,2.8722,1.0,1.5573,0.04752,104.8,0,11.8,485.6,0
29,78.2817,37.59,0,0,2.8722,1.0,1.4496,0.05172,105.8,0,11.79,498.4,0
30,78.2528,37.83,0,0,2.8722,1.0,1.4496,0.04444,106.7,0,11.62,511.2,0
31,78.2799,38.75,0,0,2.5455,1.0,1.4496,0.03107,107.5,0,11.15,523.9,0
32,78.3205,39.26,1,0,2.9273,1.0,1.4496,0.02572,108.5,0,10.92,536.7,0.0031
33,77.9095,39.2,1,0,2.9273,1.0,1.4496,0.04319,96.3,1,10.9,549.2,0.0062
34,77.8867,39.35,1,0,2.9273,1.0,1.4496,0.04105,97.0,1,11.07,561.6,0.0106
35,77.8699,39.44,1,0,2.9273,1.0,1.4496,0.03925,97.8,1,11.15,574.1,0.015
