tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,85.7513,58.34,0,0,1.0,1.0,1.0,0.0204,78.2,0,5.67,17.8,0
1,85.8476,57.51,0,0,1.0,1.0,1.0,0.02074,78.7,0,5.44,35.7,0
2,85.9391,56.13,0,0,1.0,1.0,1.0,0.02103,79.1,0,5.42,53.5,0
3,86.0246,54.84,0,0,1.0,1.0,1.0,0.02127,79.6,0,5.5,71.3,0
4,86.1079,53.47,0,0,1.0,1.0,1.0,0.02149,80.0,0,5.67,89.2,0
5,85.6072,49.25,0,0,2.3618,1.0,1.5558,0.12861,81.2,0,8.58,107.0,0
6,84.5415,42.97,0,0,2.393,1.0,1.535,0.22033,82.5,0,12.96,124.8,0
7,83.6261,38.12,0,0,2.3657,1.0,1.5573,0.19211,83.8,0,15.77,142.7,0
8,82.8399,34.45,0,0,2.3657,1.0,1.5573,0.16837,85.2,0,17.47,160.5,0
9,82.1681,32.03,0,0,2.3657,1.0,1.5573,0.14785,86.5,0,18.31,178.3,0
10,81.5724,30.35,0,1,2.3657,1.0,1.6618,0.13294,87.7,0,18.66,196.2,0
11,81.0699,29.47,0,1,2.3657,1.0,1.5573,0.11973,89.0,0,18.62,214.0,0
12,80.6389,29.08,0,1,2.3657,1.0,1.6683,0.10869,90.2,0,18.35,231.8,0
13,80.2696,29.03,0,1,2.3657,1.0,1.5573,0.09919,91.4,0,17.95,249.7,0
14,79.9735,29.12,0,1,2.3657,1.0,1.5573,0.08868,92.5,0,17.39,267.5,0
15,79.7194,29.64,0,2,2.3657,1.0,1.5573,0.08223,93.5,0,16.83,285.3,0
16,79.4954,31.86,0,1,2.3657,1.0,1.5573,0.0751,94.5,0,16.19,300.4,0
17,79.3037,32.1,0,1,2.3657,1.0,1.5573,0.06905,95.5,0,15.6,315.4,0
18,79.14,32.49,0,1,2.3657,1.0,1.5573,0.06391,96.4,0,15.05,330.5,0
19,79.0006,32.94,0,1,2.3657,1.0,1.5573,0.05954,97.3,0,14.54,345.5,0
20,78.882,33.43,0,1,2.3657,1.0,1.5573,0.05592,98.2,0,14.07,360.6,0
21,78.3648,35.11,0,0,2.3283,1.0,1.5573,0.06134,88.4,1,13.5,377.9,0
22,78.2542,35.23,0,0,2.3283,1.0,1.5573,0.05588,89.0,1,13.24,395.1,0
23,78.161,35.41,0,0,2.3283,1.0,1.5573,0.05197,89.7,1,12.96,409.5,0
24,78.0913,35.65,0,0,2.3283,1.0,1.5573,0.04666,90.4,1,12.65,423.9,0
25,78.0187,35.9,1,0,2.6554,1.0,1.535,0.04778,91.1,1,12.64,438.2,0.0021
26,77.915,35.94,0,0,2.8301,1.0,1.5573,0.05494,91.9,1,12.56,452.6,0.0042
27,77.7949,35.85,2,0,2.8301,1.0,1.5573,0.05512,92.7,1,12.86,466.1,0.008
28,77.6945,35.89,0,0,2.8849,1.0,1.535,0.05125,93.4,1,12.64,479.7,0.012
29,77.6644,36.42,0,0,2.269,1.0,1.5573,0.03875,94.0,1,12.18,492.9,0.012
30,77.6565,36.98,1,0,2.6093,1.0,1.535,0.03287,94.7,1,11.92,506.2,0.0137
31,77.6503,37.52,1,0,2.6093,1.0,1.535,0.03284,95.4,1,11.72,519.4,0.0155
32,77.6715,38.09,1,0,2.6093,1.0,1.535,0.02675,96.1,1,11.43,532.6,0.0174
33,77.6666,38.48,1,0,2.6093,1.0,1.535,0.02839,96.8,1,11.21,545.9,0.023
34,77.6669,38.75,1,0,2.6093,1.0,1.535,0.03144,97.5,1,11.1,559.1,0.0269
35,77.6981,39.13,0,0,2.6093,1.0,1.4308,0.02668,98.1,1,10.66,572.3,0.0288
