tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2,war_casualties_m
0,85.7513,58.34,0,0,1.0,1.0,1.0,0.0204,78.2,0,5.67,17.8,0
1,85.8476,57.51,0,0,1.0,1.0,1.0,0.02074,78.7,0,5.44,35.7,0
2,85.9391,56.13,0,0,1.0,1.0,1.0,0.02103,79.1,0,5.42,53.5,0
3,86.0246,54.84,0,0,1.0,1.0,1.0,0.02127,79.6,0,5.5,71.3,0
4,86.1079,53.47,0,0,1.0,1.0,1.0,0.02149,80.0,0,5.67,89.2,0
5,86.1878,52.1,0,0,1.0,1.0,1.0,0.02167,80.5,0,6.16,107.0,0
6,86.0858,49.8,0,0,1.2345,1.0,1.0,0.06087,81.2,0,7.5,124.8,0
7,85.8179,46.96,0,0,1.2351,1.0,1.0,0.09495,82.3,0,9.3,142.7,0
8,85.5889,44.67,0,0,1.2351,1.0,1.0,0.08527,83.3,0,10.52,160.5,0
9,85.3919,42.89,0,0,1.2351,1.0,1.0,0.07698,84.3,0,11.31,178.3,0
10,85.2214,41.54,0,0,1.2351,1.0,1.0,0.06991,85.1,0,11.78,196.2,0
11,84.9431,40.03,0,0,1.2351,1.0,1.4177,0.07958,86.1,0,12.4,214.0,0
12,84.5695,38.5,0,0,1.2351,1.0,1.418,0.08786,87.2,0,13.07,231.8,0
13,84.2465,37.46,0,0,1.2351,1.0,1.4183,0.07951,88.1,0,13.42,249.7,0
14,83.9672,36.82,0,0,1.2351,1.0,1.4185,0.07245,89.0,0,13.52,267.5,0
15,83.7254,36.48,0,0,1.2351,1.0,1.4188,0.06659,89.9,0,13.46,285.3,0
16,83.5157,36.36,0,0,1.2351,1.0,1.4191,0.06163,90.8,0,13.31,303.1,0
17,83.3331,36.42,0,0,1.2351,1.0,1.4193,0.05747,91.6,0,13.09,321.0,0
18,83.1735,36.6,0,0,1.2351,1.0,1.4196,0.05396,92.4,0,12.85,338.8,0
19,83.0332,36.83,0,0,1.2351,1.0,1.4198,0.05099,93.2,0,12.6,356.6,0
20,82.9097,37.02,0,0,1.2351,1.0,1.4201,0.04847,94.1,0,12.36,374.5,0
21,82.8009,37.24,0,0,1.2351,1.0,1.4204,0.04633,94.9,0,12.12,392.3,0
22,82.7053,37.49,0,0,1.2351,1.0,1.4206,0.04452,95.7,0,11.9,410.0,0
23,82.6212,37.75,0,0,1.2351,1.0,1.4209,0.043,96.5,0,11.68,426.2,0
24,82.1024,37.39,0,0,1.2811,1.0,1.4211,0.0532,86.5,1,11.53,441.7,0
25,82.0016,37.54,1,0,1.15,1.0,1.4214,0.04711,87.2,1,11.74,457.2,0.0037
26,81.9397,37.95,1,0,1.15,1.0,1.4217,0.03912,87.9,1,11.69,472.6,0.0076
27,81.9085,38.33,2,0,1.15,1.0,1.2567,0.03314,88.6,1,11.64,488.1,0.0141
28,81.8917,38.8,3,0,1.15,1.0,1.0,0.02186,89.3,1,11.58,503.5,0.0238
29,81.9273,39.29,1,0,1.15,1.0,1.0,0.01488,90.0,1,11.23,519.0,0.0336
30,82.0226,39.56,0,0,1.15,1.0,1.0,0.01685,90.6,1,10.74,533.1,0.0396
31,82.1036,39.8,0,0,1.15,1.0,1.0,0.02108,91.2,1,10.39,547.3,0.041
32,82.1652,39.93,0,1,1.15,1.0,1.0,0.0247,91.8,1,10.17,561.1,0.0424
33,82.2536,40.19,0,1,1.0,1.0,1.0,0.01944,92.3,1,9.94,573.2,0.0424
34,82.3595,40.5,0,1,1.0,1.0,1.0,0.01488,92.9,1,9.72,585.0,0.0424
35,82.4502,40.8,0,1,1.0,1.0,1.0,0.01726,93.4,1,9.52,596.7,0.0424
